data_year,groupb_arrestee_id,weapon_code,weapon_id
2024,53307138,01,51
2024,52633393,01,51
2024,52633400,01,51
2024,52633390,01,51
2024,52633396,01,51
2024,52633406,01,51
2024,52633366,01,51
2024,52633374,01,51
2024,52633378,01,51
2024,52633382,01,51
2024,52633370,01,51
2024,52633397,01,51
2024,52633399,01,51
2024,52633402,01,51
2024,52633369,01,51
2024,52633373,01,51
2024,52633377,01,51
2024,52633380,01,51
2024,52633385,01,51
2024,52633368,01,51
2024,52633372,01,51
2024,52633376,01,51
2024,52633379,01,51
2024,52633384,01,51
2024,52633388,01,51
2024,52633394,01,51
2024,52633398,01,51
2024,52633403,01,51
2024,52633391,01,51
2024,52633404,01,51
2024,52633412,01,51
2024,52633414,01,51
2024,52633408,01,51
2024,52633386,01,51
2024,52633371,01,51
2024,52633375,01,51
2024,52633381,01,51
2024,53307116,01,51
2024,53307106,01,51
2024,53307117,01,51
2024,53307159,01,51
2024,53307168,01,51
2024,53307185,01,51
2024,53307233,01,51
2024,52967781,01,51
2024,52967807,01,51
2024,52967814,01,51
2024,52967817,01,51
2024,52967806,01,51
2024,52967778,01,51
2024,52967784,01,51
2024,52967796,01,51
2024,52967801,01,51
2024,52967809,01,51
2024,52967821,01,51
2024,52967812,01,51
2024,52967815,01,51
2024,52967818,01,51
2024,53753065,01,51
2024,53753057,01,51
2024,53753075,01,51
2024,53753077,01,51
2024,53753052,01,51
2024,53753058,01,51
2024,53753060,01,51
2024,53753070,01,51
2024,53753081,01,51
2024,53753104,01,51
2024,53753074,01,51
2024,53753056,01,51
2024,53753064,01,51
2024,53753092,01,51
2024,53753076,01,51
2024,53307112,01,51
2024,53307125,01,51
2024,53307093,01,51
2024,53307097,01,51
2024,53307098,01,51
2024,53307101,01,51
2024,53307150,01,51
2024,53307129,01,51
2024,53307137,01,51
2024,53753154,01,51
2024,53753087,01,51
2024,53753107,01,51
2024,53753071,01,51
2024,53753097,01,51
2024,53753079,01,51
2024,53753072,01,51
2024,53753095,01,51
2024,53753062,01,51
2024,53753089,01,51
2024,53753084,01,51
2024,53753068,01,51
2024,53753101,01,51
2024,53753078,01,51
2024,53753137,01,51
2024,53753156,01,51
2024,53753162,01,51
2024,53753099,01,51
2024,53753139,01,51
2024,53753219,01,51
2024,53753091,01,51
2024,53753083,01,51
2024,53753069,01,51
2024,53753102,01,51
2024,53753096,01,51
2024,53753184,01,51
2024,53753125,01,51
2024,53753193,01,51
2024,53753122,01,51
2024,53753136,01,51
2024,53753133,01,51
2024,53753146,01,51
2024,53753126,01,51
2024,53753080,01,51
2024,53753123,01,51
2024,54681530,01,51
2024,54681462,01,51
2024,54681616,01,51
2024,54681474,01,51
2024,53753112,01,51
2024,53753161,01,51
2024,53753114,01,51
2024,53753082,01,51
2024,53753085,01,51
2024,53753088,01,51
2024,53753086,01,51
2024,53753094,01,51
2024,53753103,01,51
2024,53753109,01,51
2024,53753090,01,51
2024,53753098,01,51
2024,53753100,01,51
2024,53753105,01,51
2024,53753118,01,51
2024,53753132,01,51
2024,53753149,01,51
2024,53753160,01,51
2024,53753106,01,51
2024,53753111,01,51
2024,53753117,01,51
2024,53753130,01,51
2024,53753178,01,51
2024,54681558,01,51
2024,54681668,01,51
2024,54681598,01,51
2024,54681518,01,51
2024,54681480,01,51
2024,54681586,01,51
2024,54681655,01,51
2024,54681494,01,51
2024,54681647,01,51
2024,54681570,01,51
2024,54681682,01,51
2024,54681667,01,51
2024,54681521,01,51
2024,54681608,01,51
2024,54681533,01,51
2024,54681525,01,51
2024,54681541,01,51
2024,54681553,01,51
2024,54681683,01,51
2024,54681487,01,51
2024,54681676,01,51
2024,54681560,01,51
2024,54681637,01,51
2024,54681652,01,51
2024,54681660,01,51
2024,54681527,01,51
2024,54681552,01,51
2024,54681581,01,51
2024,54681567,01,51
2024,54681591,01,51
2024,54681649,01,51
2024,54681523,01,51
2024,54681532,01,51
2024,54681557,01,51
2024,54681580,01,51
2024,54681603,01,51
2024,54681531,01,51
2024,54681550,01,51
2024,54681575,01,51
2024,54681517,01,51
2024,54681520,01,51
2024,54681543,01,51
2024,54681569,01,51
2024,54681063,01,51
2024,54681578,01,51
2024,54681609,01,51
2024,54681626,01,51
2024,54681539,01,51
2024,54681562,01,51
2024,54681588,01,51
2024,54681607,01,51
2024,54681564,01,51
2024,54681594,01,51
2024,54681618,01,51
2024,54681635,01,51
2024,54681631,01,51
2024,54681643,01,51
2024,55428261,01,51
2024,55428351,01,51
2024,55428327,01,51
2024,55428265,01,51
2024,55428317,01,51
2024,55428215,01,51
2024,55428350,01,51
2024,54681534,01,51
2024,54681645,01,51
2024,54681547,01,51
2024,54681639,01,51
2024,54681678,01,51
2024,54681674,01,51
2024,54681670,01,51
2024,54681582,01,51
2024,55428216,01,51
2024,55428271,01,51
2024,55428408,01,51
2024,55428235,01,51
2024,55428323,01,51
2024,55428318,01,51
2024,55428335,01,51
2024,55428337,01,51
2024,55428291,01,51
2024,55428344,01,51
2024,55428441,01,51
2024,55428329,01,51
2024,55428334,01,51
2024,55428423,01,51
2024,55428372,01,51
2024,55428400,01,51
2024,55428413,01,51
2024,55428419,01,51
2024,55428483,01,51
2024,55428489,01,51
2024,55428362,01,51
2024,55428414,01,51
2024,55428470,01,51
2024,55428451,01,51
2024,55428467,01,51
2024,55428306,01,51
2024,55428303,01,51
2024,55428391,01,51
2024,55428445,01,51
2024,55428345,01,51
2024,55428227,01,51
2024,55428287,01,51
2024,55428411,01,51
2024,55428312,01,51
2024,55428396,01,51
2024,55428248,01,51
2024,55428338,01,51
2024,55428313,01,51
2024,55428333,01,51
2024,55428428,01,51
2024,55428363,01,51
2024,55428472,01,51
2024,55428293,01,51
2024,55428264,01,51
2024,55428354,01,51
2024,55428387,01,51
2024,55428464,01,51
2024,55428510,01,51
2024,55428311,01,51
2024,55428343,01,51
2024,55428359,01,51
2024,55428487,01,51
2024,56168894,01,51
2024,55428457,01,51
2024,55428437,01,51
2024,55428381,01,51
2024,55428485,01,51
2024,55428477,01,51
2024,55428393,01,51
2024,55428348,01,51
2024,55428365,01,51
2024,55428370,01,51
2024,55428384,01,51
2024,55428402,01,51
2024,55428394,01,51
2024,55428440,01,51
2024,55428421,01,51
2024,55428436,01,51
2024,55428426,01,51
2024,55428420,01,51
2024,56168942,01,51
2024,56168838,01,51
2024,56168887,01,51
2024,56168995,01,51
2024,56168886,01,51
2024,56169006,01,51
2024,56168926,01,51
2024,56168968,01,51
2024,56168938,01,51
2024,56168881,01,51
2024,56168843,01,51
2024,56168914,01,51
2024,56168873,01,51
2024,56169136,01,51
2024,56168848,01,51
2024,56168869,01,51
2024,56168984,01,51
2024,56168925,01,51
2024,56168842,01,51
2024,56168875,01,51
2024,56168983,01,51
2024,56168927,01,51
2024,56168936,01,51
2024,56168876,01,51
2024,56169002,01,51
2024,56168961,01,51
2024,56168832,01,51
2024,56168853,01,51
2024,56168888,01,51
2024,56169053,01,51
2024,56168830,01,51
2024,56168866,01,51
2024,56168946,01,51
2024,56169068,01,51
2024,56168917,01,51
2024,56168971,01,51
2024,56169029,01,51
2024,56506087,01,51
2024,56506086,01,51
2024,56506053,01,51
2024,56506240,01,51
2024,56506176,01,51
2024,56506094,01,51
2024,56506048,01,51
2024,56506118,01,51
2024,56506073,01,51
2024,56506246,01,51
2024,56506061,01,51
2024,55428524,01,51
2024,55428529,01,51
2024,55428469,01,51
2024,55428471,01,51
2024,55428537,01,51
2024,56506050,01,51
2024,56506098,01,51
2024,56506114,01,51
2024,56506058,01,51
2024,56506135,01,51
2024,56506084,01,51
2024,56506384,01,51
2024,56506266,01,51
2024,56506143,01,51
2024,56506209,01,51
2024,56506371,01,51
2024,56506105,01,51
2024,56506290,01,51
2024,56506109,01,51
2024,56506270,01,51
2024,56506180,01,51
2024,56506138,01,51
2024,56506208,01,51
2024,56506150,01,51
2024,56506113,01,51
2024,56506228,01,51
2024,56506303,01,51
2024,56506423,01,51
2024,56506126,01,51
2024,56506314,01,51
2024,56506400,01,51
2024,56506203,01,51
2024,56506108,01,51
2024,56506068,01,51
2024,56506178,01,51
2024,56506391,01,51
2024,56506295,01,51
2024,56506056,01,51
2024,56506129,01,51
2024,56506184,01,51
2024,56506142,01,51
2024,56506088,01,51
2024,56506171,01,51
2024,56506051,01,51
2024,56506103,01,51
2024,56506262,01,51
2024,56506268,01,51
2024,56506054,01,51
2024,56506154,01,51
2024,56506159,01,51
2024,56506261,01,51
2024,56506100,01,51
2024,56506197,01,51
2024,56506102,01,51
2024,56506097,01,51
2024,56506252,01,51
2024,56506147,01,51
2024,56506293,01,51
2024,56506217,01,51
2024,56506379,01,51
2024,56506202,01,51
2024,56506199,01,51
2024,56506306,01,51
2024,56169014,01,51
2024,56169009,01,51
2024,56168970,01,51
2024,56168957,01,51
2024,56168951,01,51
2024,56168964,01,51
2024,56168947,01,51
2024,56168959,01,51
2024,56168924,01,51
2024,56168935,01,51
2024,56168954,01,51
2024,56168975,01,51
2024,56168930,01,51
2024,56168949,01,51
2024,56168945,01,51
2024,56168931,01,51
2024,56168950,01,51
2024,56506325,01,51
2024,56506224,01,51
2024,56506279,01,51
2024,56506368,01,51
2024,56506174,01,51
2024,56506366,01,51
2024,56506263,01,51
2024,56506273,01,51
2024,56506164,01,51
2024,56506365,01,51
2024,56506251,01,51
2024,56506280,01,51
2024,56506256,01,51
2024,56506309,01,51
2024,56506234,01,51
2024,56506392,01,51
2024,56506272,01,51
2024,56506426,01,51
2024,56506286,01,51
2024,56506220,01,51
2024,56506405,01,51
2024,56506406,01,51
2024,56506331,01,51
2024,56506427,01,51
2024,56506318,01,51
2024,56506225,01,51
2024,56506248,01,51
2024,56506402,01,51
2024,56506425,01,51
2024,56506360,01,51
2024,56506320,01,51
2024,56506236,01,51
2024,56506244,01,51
2024,56506255,01,51
2024,56506193,01,51
2024,56506206,01,51
2024,56506200,01,51
2024,56506216,01,51
2024,56506260,01,51
2024,56506201,01,51
2024,56506214,01,51
2024,56506222,01,51
2024,56506191,01,51
2024,56506194,01,51
2024,56506207,01,51
2024,56506218,01,51
2024,56506227,01,51
2024,56506232,01,51
2024,56506198,01,51
2024,56506205,01,51
2024,56506212,01,51
2024,56506233,01,51
2024,56506238,01,51
2024,56506247,01,51
2024,56506258,01,51
2024,56506235,01,51
2024,56506239,01,51
2024,56506242,01,51
2024,56506254,01,51
2024,56506259,01,51
2024,56506219,01,51
2024,56506231,01,51
2024,56506243,01,51
2024,56506213,01,51
2024,56506226,01,51
2024,56506237,01,51
2024,56506249,01,51
2024,56506241,01,51
2024,56506250,01,51
2024,56506223,01,51
2024,56506230,01,51
2024,56506269,01,51
2024,56506285,01,51
2024,56506245,01,51
2024,56506253,01,51
2024,56506257,01,51
2024,56506277,01,51
2024,56506294,01,51
2024,56506264,01,51
2024,56506292,01,51
2024,56506332,01,51
2024,56506304,01,51
2024,56506323,01,51
2024,56506390,01,51
2024,56506398,01,51
2024,56506275,01,51
2024,56506287,01,51
2024,56506282,01,51
2024,56506274,01,51
2024,56506278,01,51
2024,56506291,01,51
2024,56506299,01,51
2024,56506327,01,51
2024,56506349,01,51
2024,56506267,01,51
2024,56506276,01,51
2024,56506289,01,51
2024,56506307,01,51
2024,56506341,01,51
2024,56506265,01,51
2024,56506271,01,51
2024,56506284,01,51
2024,56506298,01,51
2024,56506321,01,51
2024,56506288,01,51
2024,56506300,01,51
2024,56506308,01,51
2024,56506281,01,51
2024,56506297,01,51
2024,56506330,01,51
2024,56506350,01,51
2024,56506364,01,51
2024,56506312,01,51
2024,56506342,01,51
2024,56506357,01,51
2024,56506374,01,51
2024,56506328,01,51
2024,56506355,01,51
2024,56506383,01,51
2024,56506338,01,51
2024,56506359,01,51
2024,56506373,01,51
2024,56506305,01,51
2024,56506283,01,51
2024,53753187,01,51
2024,53753194,01,51
2024,53753199,01,51
2024,53753151,01,51
2024,53753119,01,51
2024,53753131,01,51
2024,53753210,01,51
2024,53753110,01,51
2024,53753115,01,51
2024,53753134,01,51
2024,53753143,01,51
2024,53753152,01,51
2024,53753165,01,51
2024,53753171,01,51
2024,54682550,01,51
2024,54682559,01,51
2024,55428535,01,51
2024,53753150,01,51
2024,53753140,01,51
2024,53753204,01,51
2024,53753213,01,51
2024,53753224,01,51
2024,53753208,01,51
2024,53753216,01,51
2024,53753218,01,51
2024,53753220,01,51
2024,53753158,01,51
2024,53753211,01,51
2024,53753206,01,51
2024,53753214,01,51
2024,53753148,01,51
2024,53753159,01,51
2024,53753168,01,51
2024,53753174,01,51
2024,53753183,01,51
2024,54682563,01,51
2024,54682554,01,51
2024,54682496,01,51
2024,54682491,01,51
2024,54682503,01,51
2024,54682487,01,51
2024,54682498,01,51
2024,54682540,01,51
2024,54682542,01,51
2024,54682495,01,51
2024,54682516,01,51
2024,54682529,01,51
2024,54682536,01,51
2024,54682524,01,51
2024,54682532,01,51
2024,54682494,01,51
2024,54682500,01,51
2024,54682509,01,51
2024,54682490,01,51
2024,54682504,01,51
2024,54682523,01,51
2024,54682501,01,51
2024,55428380,01,51
2024,54682521,01,51
2024,54682531,01,51
2024,54682541,01,51
2024,54682512,01,51
2024,54682527,01,51
2024,54682533,01,51
2024,54682547,01,51
2024,54682488,01,51
2024,54682499,01,51
2024,54682515,01,51
2024,54682492,01,51
2024,54682507,01,51
2024,54682505,01,51
2024,54682520,01,51
2024,54682510,01,51
2024,54682551,01,51
2024,55428447,01,51
2024,55428502,01,51
2024,54682493,01,51
2024,54682502,01,51
2024,54682517,01,51
