data_year,criminal_act_id,offense_id
2024,9,245859693
2024,2,243883535
2024,9,239607869
2024,9,245859746
2024,6,228184636
2024,9,245859728
2024,9,239608144
2024,9,239607767
2024,9,245859804
2024,9,243883601
2024,9,245859911
2024,6,245859617
2024,9,224432767
2024,9,239608088
2024,6,245859850
2024,9,239608407
2024,9,245859649
2024,9,239608356
2024,9,239608237
2024,9,239608268
2024,9,239608414
2024,6,245859930
2024,9,245859996
2024,9,239608199
2024,9,245859718
2024,9,239608351
2024,9,245859805
2024,6,245859847
2024,1,243883649
2024,9,224432783
2024,6,224432803
2024,9,245860046
2024,9,245859747
2024,6,245859797
2024,9,245859885
2024,1,245859948
2024,9,245860021
2024,9,245859791
2024,9,245859869
2024,9,239608729
2024,9,239608374
2024,6,245859877
2024,9,239608660
2024,9,243883423
2024,9,245859962
2024,9,245860003
2024,6,245859953
2024,6,245859998
2024,8,245860059
2024,9,245859915
2024,9,245860152
2024,6,245860153
2024,9,245859918
2024,9,243883575
2024,9,245860009
2024,9,245860081
2024,9,243883772
2024,9,245860143
2024,9,245860197
2024,6,245860280
2024,9,230559119
2024,6,224432916
2024,6,245860329
2024,9,243883753
2024,9,243883821
2024,9,243883795
2024,9,243883858
2024,9,230559202
2024,1,243883735
2024,9,243883765
2024,6,245860149
2024,9,245860211
2024,9,245860373
2024,9,243883707
2024,9,243883773
2024,6,243883800
2024,9,243883866
2024,9,243883931
2024,9,245860099
2024,9,243884127
2024,9,224432677
2024,9,243883884
2024,3,245860236
2024,9,245860294
2024,9,243884145
2024,9,243884146
2024,9,243884193
2024,6,243883988
2024,9,230559287
2024,9,243884005
2024,8,243884081
2024,8,245860348
2024,6,243884355
2024,6,243884077
2024,9,243884381
2024,9,243884048
2024,9,243884097
2024,9,243884142
2024,6,226249536
2024,9,243884256
2024,6,245860221
2024,3,230559237
2024,6,243884319
2024,9,243884132
2024,9,243884195
2024,9,243884172
2024,9,243884214
2024,6,245860274
2024,9,243884269
2024,6,243884362
2024,9,243884450
2024,9,243884573
2024,9,243884556
2024,9,243884640
2024,9,243884641
2024,6,243884642
2024,9,243884364
2024,9,245860300
2024,9,243884515
2024,9,243884516
2024,9,245860378
2024,9,243884608
2024,9,226249546
2024,9,245860157
2024,6,245860359
2024,9,245860408
2024,6,245860245
2024,6,245860325
2024,6,245860584
2024,9,245860285
2024,9,228184622
2024,6,245860638
2024,9,245860266
2024,9,239609613
2024,9,245860309
2024,9,245860682
2024,3,245860262
2024,9,245860349
2024,9,245860405
2024,1,245860578
2024,6,245860667
2024,9,245860282
2024,9,245860391
2024,9,245860440
2024,9,245860511
2024,9,245860479
2024,9,245860585
2024,9,245860712
2024,9,245860331
2024,9,245860390
2024,9,245860438
2024,6,243884625
2024,6,245860659
2024,8,245860694
2024,9,245860529
2024,6,245860695
2024,6,245860696
2024,9,245860460
2024,6,245860669
2024,2,245860718
2024,9,245860427
2024,9,245860520
2024,9,245860615
2024,6,245860470
2024,6,245860651
2024,9,224432774
2024,9,245860760
2024,9,245860821
2024,9,243884670
2024,9,245860867
2024,3,245860716
2024,6,245860855
2024,9,245861022
2024,9,245860993
2024,9,245860707
2024,9,245860778
2024,9,245860779
2024,9,245861091
2024,9,245860747
2024,9,245860848
2024,9,245860874
2024,9,245860802
2024,6,230559306
2024,6,230559307
2024,3,230559308
2024,9,245860949
2024,9,245860989
2024,9,245861036
2024,9,245861121
2024,3,245860843
2024,6,245861176
2024,9,245860835
2024,9,245860890
2024,9,245861161
2024,6,245861162
2024,9,245861264
2024,9,245861093
2024,9,245861098
2024,9,245861154
2024,9,245861211
2024,6,245861212
2024,6,245861190
2024,6,245861238
2024,9,245861261
2024,9,245861135
2024,9,245861183
2024,6,245861248
2024,9,245861301
2024,9,245861330
2024,9,245861465
2024,6,245861185
2024,9,224432734
2024,9,245861297
2024,6,245861347
2024,9,245861487
2024,9,245861294
2024,9,245861326
2024,9,245861422
2024,9,245861454
2024,9,245861388
2024,9,224432798
2024,9,245861611
2024,9,224432752
2024,9,245861335
2024,9,245861408
2024,9,245861483
2024,9,230559462
2024,9,245861430
2024,9,245861459
2024,9,245861460
2024,3,228184451
2024,6,228184452
2024,9,245861331
2024,9,245861327
2024,9,245861542
2024,9,245861569
2024,9,245861585
2024,9,245861586
2024,9,245861630
2024,8,245861412
2024,9,245861490
2024,9,245861538
2024,9,243884676
2024,6,245861605
2024,6,245861387
2024,6,245861559
2024,9,245861615
2024,9,245861613
2024,9,245861653
2024,9,245861764
2024,2,245861453
2024,9,245861554
2024,8,245861680
2024,6,226249526
2024,9,245861572
2024,9,245861573
2024,9,245861728
2024,9,245861530
2024,6,245861635
2024,9,245861705
2024,6,245861706
2024,3,245861700
2024,9,245861738
2024,9,245861739
2024,9,245861564
2024,9,243885070
2024,1,243885129
2024,3,243885157
2024,9,245861548
2024,6,245861587
2024,6,224432877
2024,9,245861622
2024,6,245861655
2024,9,243885059
2024,9,243885109
2024,6,245861697
2024,9,245861720
2024,9,243885149
2024,9,243885199
2024,9,226249513
2024,9,243884864
2024,9,243884890
2024,4,243884927
2024,9,243884961
2024,9,243885053
2024,9,245861830
2024,9,243885133
2024,9,226249578
2024,9,243885174
2024,9,243885214
2024,9,224432773
2024,2,243885175
2024,9,243885056
2024,9,243885136
2024,1,230559542
2024,9,245862015
2024,6,230559464
2024,9,245861777
2024,6,230559533
2024,8,230559533
2024,6,245861737
2024,9,245861894
2024,1,245861917
2024,6,245862014
2024,6,245861662
2024,9,245861701
2024,9,245861824
2024,6,230559406
2024,9,230559490
2024,9,245861949
2024,9,245862000
2024,9,226249559
2024,9,226249560
2024,9,245861770
2024,9,226249576
2024,9,245862021
2024,9,228184521
2024,9,228184522
2024,1,245861879
2024,9,245861915
2024,9,245862097
2024,9,230559680
2024,9,245861878
2024,9,230559316
2024,9,245861916
2024,9,245861975
2024,9,245862152
2024,6,230559404
2024,9,245862259
2024,9,245862211
2024,9,230559454
2024,6,245862294
2024,6,245862295
2024,9,245862357
2024,6,230559516
2024,6,245862383
2024,1,230559593
2024,9,245862271
2024,2,226249548
2024,9,245862125
2024,3,245862182
2024,8,245862175
2024,9,245862223
2024,9,226249568
2024,9,230559694
2024,9,245862443
2024,9,245862339
2024,9,245862369
2024,9,245862407
2024,6,245862491
2024,1,245862193
2024,9,245862304
2024,9,245862610
2024,9,245862257
2024,3,245862302
2024,1,245862350
2024,9,245862490
2024,9,230559447
2024,6,245862574
2024,7,245862611
2024,9,245862331
2024,9,245862332
2024,4,245862387
2024,1,245862566
2024,9,245862607
2024,2,230559540
2024,1,245862638
2024,9,245862307
2024,9,245862590
2024,9,245862479
2024,9,230559625
2024,6,245862457
2024,9,245862632
2024,9,245862395
2024,9,245862436
2024,6,245862392
2024,9,230559788
2024,9,245862468
2024,9,245862608
2024,6,230559896
2024,9,245862785
2024,9,245862466
2024,9,245862557
2024,6,245862591
2024,9,228184510
2024,9,224432812
2024,6,235512835
2024,9,230559693
2024,4,235512916
2024,9,245862809
2024,9,245862810
2024,9,245862811
2024,9,230559834
2024,9,230559835
2024,1,230559681
2024,9,230559885
2024,2,226249714
2024,9,230559803
2024,9,230560033
2024,9,230559785
2024,9,228184531
2024,6,230560002
2024,9,230560061
2024,9,230560188
2024,9,230559801
2024,9,230559935
2024,9,230560106
2024,9,230560107
2024,9,230559944
2024,9,230560054
2024,9,230560141
2024,6,230560228
2024,9,230560316
2024,9,230560338
2024,9,230560438
2024,9,230560404
2024,9,224432912
2024,9,230560482
2024,9,230560252
2024,9,230560313
2024,9,230560492
2024,9,230560548
2024,9,235513029
2024,2,230560199
2024,6,235513110
2024,6,235513175
2024,8,230560337
2024,9,230560479
2024,1,230560480
2024,9,230560498
2024,2,230560537
2024,9,230560584
2024,6,239610221
2024,9,230560522
2024,9,230560532
2024,3,239610294
2024,9,224432747
2024,9,230560703
2024,9,235513386
2024,9,230560789
2024,9,235513032
2024,9,239610136
2024,9,230560645
2024,9,230560646
2024,9,235513126
2024,9,235513206
2024,9,235513309
2024,9,230560690
