data_year,victim_id,injury_id
2024,231384755,5
2024,225148572,5
2024,231384805,5
2024,231384790,4
2024,225148860,4
2024,231384872,5
2024,229423591,4
2024,231384984,4
2024,209958726,5
2024,225148801,3
2024,225149157,4
2024,231384709,4
2024,225149102,4
2024,225148972,4
2024,225149005,4
2024,225149163,5
2024,225149164,5
2024,225149165,5
2024,225149166,4
2024,225149167,5
2024,231385073,4
2024,225148924,5
2024,225149098,5
2024,231384873,5
2024,209958744,4
2024,231385129,4
2024,231385130,4
2024,231385131,4
2024,231384806,5
2024,231384956,4
2024,231384957,5
2024,231384958,5
2024,231384959,5
2024,231385097,5
2024,231385098,5
2024,231385100,5
2024,231384939,4
2024,225149492,5
2024,225149121,4
2024,225149416,5
2024,229423387,5
2024,231385039,4
2024,231385080,4
2024,231384989,5
2024,231385244,5
2024,231384991,5
2024,229423565,4
2024,231385086,5
2024,231385164,4
2024,229423758,4
2024,231385233,4
2024,231385292,5
2024,231385293,5
2024,229423741,4
2024,229423809,4
2024,229423845,5
2024,216083374,4
2024,229423751,4
2024,231385071,4
2024,231385311,4
2024,231385479,4
2024,229423695,5
2024,229423759,5
2024,229423853,5
2024,229423920,5
2024,231385183,4
2024,229424115,5
2024,229423871,4
2024,231385397,4
2024,231385397,7
2024,229424132,5
2024,229424133,4
2024,229424184,5
2024,216083461,4
2024,216083462,4
2024,229423991,5
2024,229424378,5
2024,229424034,5
2024,229424080,4
2024,229424128,5
2024,229424247,4
2024,231385262,4
2024,229424118,4
2024,229424186,4
2024,229424162,5
2024,229424203,5
2024,229424263,5
2024,229424451,4
2024,229424579,5
2024,229424563,5
2024,229424656,3
2024,229424360,4
2024,229424361,4
2024,231385403,5
2024,231385404,5
2024,229424405,5
2024,229424523,5
2024,229424524,5
2024,229424525,4
2024,231385484,5
2024,229424617,5
2024,229424618,4
2024,229424619,5
2024,211782210,5
2024,231385251,4
2024,231385516,4
2024,231385386,5
2024,213706603,4
2024,231385413,5
2024,231385414,5
2024,231385811,4
2024,231385455,4
2024,231385383,5
2024,231385500,4
2024,231385549,5
2024,231385626,5
2024,231385593,5
2024,231385704,5
2024,231385705,5
2024,231385706,5
2024,231385707,5
2024,231385840,4
2024,231385435,5
2024,231385498,5
2024,231385547,4
2024,231385649,5
2024,231385568,4
