data_year,arrestee_id,nibrs_arrestee_weapon_id,weapon_id
2024,63546343,,51
2024,61780591,,51
2024,63546362,,51
2024,58577828,,51
2024,63546355,,51
2024,63546383,,51
2024,63546400,,51
2024,63546429,,51
2024,63546324,,51
2024,63546325,,51
2024,57492396,,51
2024,63546404,,51
2024,63546427,,51
2024,63546333,,51
2024,61780679,,51
2024,63546345,,51
2024,61780670,,51
2024,61780702,,51
2024,61780749,,51
2024,63546462,,51
2024,63546353,,51
2024,63546384,,51
2024,63546403,,51
2024,57492398,,51
2024,63546480,,51
2024,63546363,,51
2024,63546380,,51
2024,63546419,,52
2024,63546423,,51
2024,63546444,,51
2024,63546471,,51
2024,63546378,,51
2024,63546379,,51
2024,57492414,,51
2024,63546409,,51
2024,61780819,,51
2024,61780727,,51
2024,63546414,,52
2024,63546415,,51
2024,63546416,,52
2024,63546430,,52
2024,57492394,,51
2024,63546451,,51
2024,63546465,,51
2024,63546488,,51
2024,63546446,,52
2024,63546447,,51
2024,63546463,,51
2024,61780793,,51
2024,63546483,,51
2024,63546437,,51
2024,57492426,,51
2024,61780836,,51
2024,63546487,,51
2024,63546526,,51
2024,63546438,,51
2024,62973701,,51
2024,63546467,,51
2024,63546498,,51
2024,63546522,,51
2024,63546558,,51
2024,63546523,,51
2024,63546541,,51
2024,63546581,,51
2024,63546582,,51
2024,59242121,,51
2024,63546452,,51
2024,63546597,,51
2024,61780865,,51
2024,62973742,,51
2024,62973755,,51
2024,59242146,,51
2024,62973749,,51
2024,63546461,,51
2024,63546489,,51
2024,63546552,,51
2024,63546591,,51
2024,63546614,,51
2024,62973732,,52
2024,62973756,,51
2024,62973757,,51
2024,62973781,,51
2024,63546477,,51
2024,63546505,,51
2024,57492420,,51
2024,63546564,,51
2024,63546588,,51
2024,62973860,,51
2024,59242162,,51
2024,59242163,,51
2024,62973824,,52
2024,62973848,,51
2024,62973892,,52
2024,62973815,,51
2024,62973839,,51
2024,62973900,,51
2024,62973832,,51
2024,62973842,,51
2024,62973852,,51
2024,58001952,,51
2024,62973871,,51
2024,63546532,,51
2024,63546556,,52
2024,59242155,,52
2024,62973885,,51
2024,62973889,,51
2024,62973890,,51
2024,62973849,,51
2024,62973907,,51
2024,62973857,,51
2024,62973862,,51
2024,62973873,,51
2024,62973898,,51
2024,62973895,,51
2024,62973916,,5
2024,62973943,,51
2024,62973956,,52
2024,62973957,,5
2024,63546589,,51
2024,63546599,,51
2024,62973937,,51
2024,62973935,,51
2024,63546616,,51
2024,58001957,,51
2024,63546631,,51
2024,63546569,,51
2024,63546584,,52
2024,58577820,,51
2024,63546719,,51
2024,63546593,,51
2024,63546739,,51
2024,63546575,,51
2024,63546628,,51
2024,63546673,,51
2024,63546734,,52
2024,63546583,,51
2024,63546623,,51
2024,63546624,,51
2024,63546643,,51
2024,63546655,,51
2024,63546695,,51
2024,63546725,,51
2024,63546752,,51
2024,63546598,,51
2024,63546621,,51
2024,63546641,,51
2024,63546694,,51
2024,63546706,,51
2024,63546729,,51
2024,63546675,,52
2024,63546746,,5
2024,63546747,,51
2024,63546646,,51
2024,63546735,,52
2024,63546637,,51
2024,63546669,,51
2024,63546650,,51
2024,63546726,,51
2024,63546776,,51
2024,63546789,,51
2024,62973966,,51
2024,63546807,,51
2024,63546732,,51
2024,63546804,,51
2024,63546836,,51
2024,63546848,,51
2024,63546840,,51
2024,63546862,,51
2024,63546751,,51
2024,63546793,,51
2024,63546780,,52
2024,63546866,,51
2024,63546768,,51
2024,63546801,,51
2024,63546812,,51
2024,63546813,,51
2024,63546814,,51
2024,63546815,,51
2024,63546787,,51
2024,59242166,,51
2024,63546805,,51
2024,63546839,,51
2024,63546882,,51
2024,63546853,,51
2024,63546784,,51
2024,63546800,,51
2024,63546898,,51
