data_year,bias_id,offense_id
2024,88,245859693
2024,88,243883535
2024,88,239607973
2024,88,239608065
2024,88,239607869
2024,88,245859746
2024,88,239608011
2024,88,228184636
2024,88,228184639
2024,88,245859728
2024,88,239608144
2024,88,239607767
2024,88,235512598
2024,88,239607843
2024,88,245859804
2024,88,245859840
2024,88,243883601
2024,88,245859911
2024,88,239608125
2024,88,245859617
2024,88,224432767
2024,88,239607999
2024,88,239608088
2024,88,239608158
2024,88,239608249
2024,88,239608212
2024,88,239608279
2024,88,245859849
2024,88,245859850
2024,88,239608407
2024,88,239608072
2024,88,245859905
2024,88,239608447
2024,88,245859649
2024,88,239608184
2024,88,245859696
2024,88,239608356
2024,88,239608357
2024,88,239608151
2024,88,239608237
2024,88,239608268
2024,88,239608367
2024,88,239608455
2024,88,239608414
2024,88,245859930
2024,88,245859996
2024,88,239608199
2024,88,239608200
2024,88,245859718
2024,88,239608351
2024,88,245859805
2024,88,239608411
2024,88,245859847
2024,88,243883649
2024,88,243883650
2024,88,239608508
2024,88,224432783
2024,88,224432803
2024,88,245860046
2024,88,245859747
2024,88,239608299
2024,88,245859797
2024,88,245859885
2024,88,245859886
2024,88,245859899
2024,88,224432822
2024,88,239608501
2024,88,239608564
2024,88,239608524
2024,88,245859948
2024,88,245860021
2024,88,243883632
2024,88,243883633
2024,88,245859791
2024,88,245859792
2024,88,224432850
2024,88,245859869
2024,88,239608729
2024,88,239608374
2024,88,239608451
2024,88,245859877
2024,88,239608660
2024,88,245859912
2024,88,243883423
2024,88,224432748
2024,88,224432712
2024,88,245859962
2024,88,245860003
2024,88,245860072
2024,88,239608886
2024,88,245859953
2024,88,239608825
2024,88,245859998
2024,88,239608955
2024,88,239608586
2024,88,239608625
2024,88,245860059
2024,88,243883481
2024,88,245859915
2024,88,243883556
2024,88,243883557
2024,88,224432902
2024,88,239608780
2024,88,239608829
2024,88,243883552
2024,88,245860065
2024,88,245860066
2024,88,245860152
2024,88,245860153
2024,88,245859918
2024,88,245859967
2024,88,245860014
2024,88,243883575
2024,88,245860009
2024,88,245860010
2024,88,243883671
2024,88,245860081
