data_year,victim_id,injury_id
2024,223964438,5
2024,223964461,4
2024,210986896,5
2024,210986903,5
2024,223964519,5
2024,223964520,5
2024,223964463,4
2024,223964507,4
2024,210986904,4
2024,213176032,4
2024,223964553,4
2024,223964578,4
2024,223964596,4
2024,232198177,5
2024,210986926,5
2024,232198262,5
2024,232198263,5
2024,225836380,4
2024,232198231,5
2024,225836377,5
2024,213176059,4
2024,225836448,4
2024,232198198,4
2024,232198275,5
2024,225836381,5
2024,232198292,4
2024,232198306,5
2024,213176064,4
2024,232198417,4
2024,232198320,4
2024,232198331,5
2024,232198335,5
2024,213176073,5
2024,209228547,5
2024,209228557,5
2024,210986958,4
2024,232198347,5
2024,232198367,4
2024,232198339,5
2024,232198506,5
2024,232198395,4
2024,210986971,5
2024,213176138,4
2024,210986975,5
2024,209228565,5
2024,210986986,4
2024,214860682,5
2024,210986993,5
2024,214860700,4
2024,214860726,2
2024,210986960,4
2024,214860761,4
2024,214860762,4
2024,216927403,4
2024,216927417,5
2024,213176081,4
2024,213176089,5
2024,213176095,4
2024,216927463,5
2024,216927479,4
2024,216927488,5
2024,216927496,4
2024,216927430,4
2024,213176133,4
2024,213176134,4
2024,213176135,4
2024,213176136,4
2024,213176142,5
2024,216927515,5
2024,216927459,5
2024,216927467,4
2024,223964511,5
2024,209228600,5
2024,223964559,5
2024,223964560,5
2024,223964561,5
2024,219127966,4
2024,219127970,5
2024,214860767,5
2024,223964636,5
2024,219127989,4
2024,214860746,5
2024,223964681,4
2024,223964698,4
2024,223964699,4
2024,223964749,4
2024,223964713,5
2024,223964765,4
2024,223964627,5
2024,223964628,5
2024,232198377,4
2024,214860787,4
2024,225836460,4
2024,225836461,4
2024,209228602,4
2024,209228591,4
2024,223964697,5
2024,214860821,4
2024,232198379,5
2024,214860774,4
2024,214860776,4
2024,223964771,5
2024,216927552,5
2024,223964656,4
2024,209228604,5
2024,232198402,5
2024,232198411,6
2024,232198412,4
2024,216927570,5
2024,216927582,4
2024,216927593,4
2024,232198576,4
2024,232198577,4
2024,209228613,5
2024,209228614,4
2024,225836525,5
2024,225836544,4
2024,225836546,4
2024,225836550,5
2024,232198393,5
2024,210987040,5
2024,216927623,4
2024,232198401,5
2024,232198547,4
2024,216927594,5
2024,216927595,5
2024,232198432,4
2024,223964695,5
2024,232198440,4
2024,232198580,4
2024,219128035,5
2024,219128025,5
2024,216928401,4
2024,219128048,4
2024,216928560,4
2024,216927562,4
2024,216927584,4
2024,216927609,5
2024,216927610,4
2024,210987037,4
2024,216927648,5
2024,216927580,4
2024,210987048,5
2024,219128022,4
2024,213176176,2
2024,219128044,4
2024,219127981,5
2024,219127999,4
2024,219128033,4
2024,219128046,5
2024,223964784,4
2024,223964901,4
2024,210987009,4
2024,210987011,4
2024,209228592,5
2024,209228593,5
2024,223964824,5
2024,223964839,5
2024,223964874,5
2024,232198447,5
2024,223966049,5
