data_year,weapon_id,offense_id,nibrs_weapon_id
2024,41,238426465,
2024,41,238426488,
2024,41,225453600,
2024,41,225453605,
2024,41,238426548,
2024,41,238426549,
2024,41,238426490,
2024,38,238426535,
2024,41,225453606,
2024,41,227649346,
2024,41,238426584,
2024,41,238426607,
2024,41,238426624,
2024,41,246674453,
2024,41,225453627,
2024,41,246674544,
2024,21,240305515,
2024,41,246674512,
2024,41,240305512,
2024,37,227649373,
2024,41,240305585,
2024,41,246674476,
2024,41,246674557,
2024,41,240305516,
2024,41,246674573,
2024,41,246674587,
2024,41,227649378,
2024,41,246674699,
2024,41,246674601,
2024,41,246674609,
2024,41,246674614,
2024,41,227649386,
2024,41,223689601,
2024,41,223689611,
2024,41,225453657,
2024,41,246674626,
2024,41,246674645,
2024,41,246674619,
2024,42,246674792,
2024,41,246674676,
2024,38,225453668,
2024,38,227649450,
2024,41,225453672,
2024,41,223689619,
2024,41,225453683,
2024,41,229336968,
2024,41,225453690,
2024,41,229336985,
2024,37,229337013,
2024,41,225453659,
2024,41,229337042,
2024,41,231403947,
2024,41,231403960,
2024,41,227649394,
2024,38,227649403,
2024,41,227649409,
2024,41,231404007,
2024,41,231404024,
2024,41,231404033,
2024,41,231404040,
2024,38,231403974,
2024,41,227649448,
2024,41,227649449,
2024,41,227649456,
2024,41,231404055,
2024,41,231404003,
2024,37,231404011,
2024,5,233605830,
2024,41,238426539,
2024,41,223689653,
2024,41,238426591,
2024,41,233605796,
2024,41,233605800,
2024,41,229337048,
2024,41,238426665,
2024,41,233605819,
2024,41,229337027,
2024,41,238426710,
2024,41,238426729,
2024,41,238426780,
2024,41,238426744,
2024,41,238426798,
2024,5,225453727,
2024,41,238426657,
2024,36,246674654,
2024,41,229337067,
2024,37,240305597,
2024,41,240305598,
2024,41,223689656,
2024,41,223689644,
2024,41,238426728,
2024,41,229337104,
2024,5,246674656,
2024,5,246674659,
2024,41,229337057,
2024,38,238426804,
2024,41,231404087,
2024,41,238426685,
2024,41,223689659,
2024,41,246674684,
2024,41,246674693,
2024,41,246674694,
2024,41,231404106,
2024,41,231404120,
2024,41,231404130,
2024,41,246674860,
2024,41,223689667,
2024,41,240305662,
2024,41,240305681,
2024,41,240305685,
2024,41,246674672,
2024,41,225453737,
2024,41,231404160,
2024,41,246674683,
2024,41,246674832,
2024,41,231404131,
2024,41,246674714,
2024,41,238426725,
2024,41,246674721,
2024,41,246674863,
2024,41,233605867,
2024,41,233605858,
2024,41,231404900,
2024,41,233605881,
2024,41,231405057,
2024,41,231404098,
2024,41,231404121,
2024,41,231404146,
2024,41,225453735,
2024,41,231404183,
2024,39,231404117,
2024,41,225453746,
2024,38,233605853,
2024,5,227649488,
2024,41,233605879,
2024,41,233605810,
2024,41,233605831,
2024,41,233605866,
2024,41,233605883,
2024,41,238426817,
2024,41,238426936,
