data_year,victim_id,offense_id
2024,225836423,240305560
2024,210986892,225453595
2024,223964438,238426465
2024,223964448,238426475
2024,223964461,238426488
2024,223964415,238426442
2024,210986896,225453600
2024,223964427,238426454
2024,223964441,238426468
2024,223964440,238426467
2024,210986903,225453605
2024,223964459,238426487
2024,223964460,238426487
2024,223964470,238426498
2024,223964482,238426510
2024,223964496,238426524
2024,210986910,225453613
2024,223964519,238426548
2024,223964520,238426549
2024,223964533,238426561
2024,223964545,238426574
2024,223964564,238426593
2024,223964577,238426606
2024,223964594,238426622
2024,223964463,238426490
2024,223964473,238426501
2024,223964489,238426517
2024,223964507,238426535
2024,223964525,238426554
2024,213176083,227649396
2024,210986904,225453606
2024,209228531,223689584
2024,213176032,227649346
2024,223964541,238426570
2024,223964553,238426584
2024,213176040,227649354
2024,225836365,240305499
2024,223964547,238426575
2024,225836387,240305522
2024,225836387,240305523
2024,225836388,240305523
2024,225836389,240305524
2024,223964578,238426607
2024,223964596,238426624
2024,223964609,238426636
2024,223964621,238426650
2024,223964486,238426514
2024,232198177,246674453
2024,210986911,225453614
2024,223964642,238426670
2024,232198215,246674498
2024,232198215,246674499
2024,232198216,246674497
2024,210986921,225453623
2024,210986926,225453627
2024,232198237,246674519
2024,232198262,246674544
2024,232198263,246674544
2024,210986933,225453633
2024,225836451,240305588
2024,209228539,223689593
2024,225836464,240305601
2024,225836483,240305620
2024,225836496,240305633
2024,225836380,240305515
2024,232198231,246674512
2024,232198252,246674534
2024,225836479,240305616
2024,225836377,240305512
2024,225836386,240305521
2024,225836400,240305537
2024,225836418,240305555
2024,225836431,240305567
2024,225836431,240305568
2024,232198269,246674550
2024,232198165,246674441
2024,225836426,240305563
2024,213176059,227649373
2024,225836440,240305578
2024,225836448,240305585
2024,225836463,240305600
2024,232198198,246674476
2024,232198275,246674557
2024,225836381,240305516
2024,232198292,246674573
2024,225836411,240305548
2024,232198306,246674587
2024,213176064,227649378
2024,232198232,246674513
2024,232198429,246674711
