data_year,nibrs_month_id,agency_id,month_num,inc_data_year,reported_status,report_date,update_flag,orig_format,data_home,ddocname,did,month_pub_status
2024,45063011,8082,10,2024,I,,,F,,2024_10_ME0010000_24-1236-OF_INC,286117459,
2024,45063011,8082,10,2024,I,2024-10-14,,F,,2024_10_ME0010000_24-1238-OF_INC,286117479,
2024,45063011,8082,10,2024,I,2024-10-15,,F,,2024_10_ME0010000_24-1240-OF_INC,303664568,
2024,45063011,8082,10,2024,I,,,F,,2024_10_ME0010000_24-1241-OF_INC,303664399,
2024,45063011,8082,10,2024,I,,,F,,2024_10_ME0010000_24-1245-OF_INC,286117480,
2024,44885918,8082,2,2024,I,,,F,,2024_02_ME0010000_24-124-OF_INC,250880442,
2024,45063011,8082,10,2024,I,2024-10-17,,F,,2024_10_ME0010000_24-1250-OF_INC,286117490,
2024,45063011,8082,10,2024,I,,,F,,2024_10_ME0010000_24-1252-OF_INC,286117509,
2024,45063011,8082,10,2024,I,,,F,,2024_10_ME0010000_24-1253-OF_INC,286117521,
2024,45063011,8082,10,2024,I,,,F,,2024_10_ME0010000_24-1256-OF_INC,303664454,
2024,45063011,8082,10,2024,I,,,F,,2024_10_ME0010000_24-1257-OF_INC,303664570,
2024,45063011,8082,10,2024,I,,,F,,2024_10_ME0010000_24-1265-OF_INC,286117420,
2024,45063011,8082,10,2024,I,,,F,,2024_10_ME0010000_24-1272-OF_INC,303664601,
2024,45063011,8082,10,2024,I,,,F,,2024_10_ME0010000_24-1276-OF_INC,286117454,
2024,45063011,8082,10,2024,I,,,F,,2024_10_ME0010000_24-1278-OF_INC,303664621,
2024,44908342,8082,3,2024,I,,,F,,2024_03_ME0010000_24-127-AR_INC,250880449,
2024,45063011,8082,10,2024,I,,,F,,2024_10_ME0010000_24-1280-OF_INC,303664506,
2024,45063011,8082,10,2024,I,2024-10-24,,F,,2024_10_ME0010000_24-1283-OF_INC,303664929,
2024,45063011,8082,10,2024,I,,,F,,2024_10_ME0010000_24-1287-OF_INC,286117500,
2024,45063011,8082,10,2024,I,,,F,,2024_10_ME0010000_24-1292-OF_INC,303664945,
2024,45063011,8082,10,2024,I,,,F,,2024_10_ME0010000_24-1299-OF_INC,303664529,
2024,45063011,8082,10,2024,I,,,F,,2024_10_ME0010000_24-1300-OF_INC,303664556,
2024,45063011,8082,10,2024,I,,,F,,2024_10_ME0010000_24-1307-OF_INC,303664593,
2024,44885918,8082,2,2024,I,,,F,,2024_02_ME0010000_24-130-OF_INC,244658627,
2024,45104076,8082,11,2024,I,,,F,,2024_11_ME0010000_24-1313-OF_INC,303664878,
2024,45063011,8082,10,2024,I,,,F,,2024_10_ME0010000_24-1314-OF_INC,286117557,
2024,45063011,8082,10,2024,I,,,F,,2024_10_ME0010000_24-1316-OF_INC,303664895,
2024,45063011,8082,10,2024,I,,,F,,2024_10_ME0010000_24-1319-OF_INC,303664909,
2024,44885918,8082,2,2024,I,,,F,,2024_02_ME0010000_24-131-OF_INC,244658632,
2024,44908342,8082,3,2024,I,,,F,,2024_03_ME0010000_24-132-AR_INC,250880455,
2024,44885918,8082,2,2024,I,,,F,,2024_02_ME0010000_24-132-OF_INC,244658566,
2024,45104076,8082,11,2024,I,,,F,,2024_11_ME0010000_24-1333-OF_INC,303664563,
2024,45104076,8082,11,2024,I,,,F,,2024_11_ME0010000_24-1335-OF_INC,303664999,
2024,45104076,8082,11,2024,I,,,F,,2024_11_ME0010000_24-1350-OF_INC,303665026,
2024,45104076,8082,11,2024,I,,,F,,2024_11_ME0010000_24-1363-OF_INC,303664612,
2024,45104076,8082,11,2024,I,,,F,,2024_11_ME0010000_24-1371-OF_INC,303664634,
2024,45104076,8082,11,2024,I,,,F,,2024_11_ME0010000_24-1382-OF_INC,303664650,
2024,45104076,8082,11,2024,I,,,F,,2024_11_ME0010000_24-1385-OF_INC,303664652,
2024,45104076,8082,11,2024,I,,,F,,2024_11_ME0010000_24-1390-OF_INC,303664663,
2024,45104076,8082,11,2024,I,,,F,,2024_11_ME0010000_24-1393-OF_INC,303664672,
