data_year,bias_id,offense_id
2024,88,240305560
2024,88,225453595
2024,88,238426465
2024,88,238426475
2024,88,238426488
2024,88,238426442
2024,88,225453600
2024,88,238426454
2024,88,238426468
2024,88,238426467
2024,88,225453605
2024,88,238426487
2024,88,238426498
2024,88,238426510
2024,88,238426524
2024,88,225453613
2024,88,238426548
2024,88,238426549
2024,88,238426561
2024,88,238426574
2024,88,238426593
2024,88,238426606
2024,88,238426622
2024,88,238426490
2024,88,238426501
2024,88,238426517
2024,88,238426535
2024,88,238426554
2024,88,227649396
2024,88,225453606
2024,88,223689584
2024,88,227649346
2024,88,238426570
2024,88,238426584
2024,88,227649354
2024,88,240305499
2024,88,238426575
2024,88,240305522
2024,88,240305523
2024,88,240305524
2024,88,238426607
2024,88,238426624
2024,88,238426636
2024,88,238426650
2024,88,238426514
2024,88,246674453
2024,88,225453614
2024,88,238426670
2024,88,246674497
2024,88,246674498
2024,88,246674499
2024,88,225453623
2024,88,225453627
2024,88,246674519
2024,88,246674544
2024,88,225453633
2024,88,240305588
2024,88,223689593
2024,88,240305601
2024,88,240305620
2024,88,240305633
2024,88,240305515
2024,88,246674512
2024,88,246674534
2024,88,240305616
2024,88,240305512
2024,88,240305521
2024,88,240305537
2024,88,240305555
2024,88,240305567
2024,88,240305568
2024,88,246674550
2024,88,246674441
2024,88,240305563
2024,88,227649373
2024,88,240305578
2024,88,240305585
2024,88,240305600
2024,88,246674476
2024,88,246674557
2024,88,240305516
2024,88,246674573
2024,88,240305548
2024,88,246674587
2024,88,227649378
2024,88,246674513
2024,88,246674711
2024,88,240305583
2024,88,246674719
2024,88,246674529
2024,88,246674546
2024,88,246674570
2024,88,225453650
2024,88,246674688
2024,88,240305628
2024,88,246674699
2024,88,246674705
2024,88,225453656
2024,88,227649383
2024,88,225453604
2024,88,246674555
2024,88,246674738
2024,88,246674752
2024,88,246674582
2024,88,246674593
2024,88,246674601
2024,88,246674603
2024,88,246674609
2024,88,246674614
2024,88,246674615
2024,88,246674575
2024,88,227649386
2024,88,223689601
2024,88,223689611
2024,88,246674841
2024,88,246674612
2024,88,227649427
2024,88,225453657
2024,88,246674617
2024,88,246674620
2024,88,246674626
2024,88,246674645
2024,88,246674619
2024,88,246674623
2024,88,246674629
2024,88,227649438
2024,88,246674650
2024,88,246674792
2024,88,227649444
2024,88,246674807
2024,88,246674814
2024,88,246674821
2024,88,246674667
2024,88,246674676
2024,88,225453668
2024,88,246674649
2024,88,227649450
2024,88,225453672
2024,88,223689619
2024,88,223689624
2024,88,225453675
2024,88,225453683
2024,88,229336968
2024,88,229336978
2024,88,225453690
2024,88,229336985
2024,88,225453646
2024,88,225453654
2024,88,229337004
2024,88,229337013
2024,88,225453659
2024,88,229337026
2024,88,231404076
2024,88,225453684
2024,88,225453714
2024,88,229337033
2024,88,225453691
2024,88,229337042
2024,88,223689573
2024,88,225453700
2024,88,231403930
2024,88,231403940
2024,88,227649372
2024,88,231403947
2024,88,238426734
2024,88,227649379
2024,88,231403960
2024,88,225453710
2024,88,227649384
2024,88,227649394
2024,88,231403971
2024,88,227649403
2024,88,227649389
2024,88,227649399
2024,88,231403980
2024,88,231403989
2024,88,227649409
2024,88,231404007
2024,88,231404016
2024,88,227649418
2024,88,231404024
2024,88,227649433
2024,88,223689638
2024,88,231404033
2024,88,227649439
2024,88,231404040
