data_year,victim_id,circumstances_id,justifiable_force_id
2024,223968240,21,1
2024,225839238,21,1
2024,232199263,21,1
2024,232199587,21,1
2024,232203763,21,1
2024,232203817,20,3
2024,223969761,21,4
2024,232205210,21,5
2024,232203067,21,6
2024,225839609,21,7
