data_year,arrestee_id,nibrs_arrestee_weapon_id,weapon_id
2024,61443161,,51
2024,61443173,,51
2024,58427312,,51
2024,57295056,,51
2024,58427291,,51
2024,58427298,,51
2024,61443212,,51
2024,61443213,,51
2024,61443179,,51
2024,63796044,,51
2024,63796051,,51
2024,61996046,,51
2024,61996047,,51
2024,61996019,,52
2024,58427307,,51
2024,63796102,,51
2024,63796054,,51
2024,58427308,,51
2024,63796057,,51
2024,63796062,,51
2024,63796067,,51
2024,63796068,,51
2024,58427309,,51
2024,57295059,,51
2024,58427323,,51
2024,63796073,,51
2024,63796070,,51
2024,58427326,,51
2024,58427329,,51
2024,63796133,,51
2024,63796134,,51
2024,58427333,,51
2024,57295067,,51
2024,57785469,,51
2024,58902307,,51
2024,58902311,,51
2024,58902314,,51
2024,57785455,,51
2024,58902322,,51
2024,58902326,,51
2024,58902329,,51
2024,58902331,,51
2024,58902333,,51
2024,57295052,,7
2024,59473461,,51
2024,59473466,,51
2024,59473467,,51
2024,59473469,,51
2024,61443272,,51
2024,59473473,,51
2024,58427311,,51
2024,59473478,,51
2024,59473484,,51
2024,59473489,,51
2024,59473490,,51
2024,58427317,,51
2024,59473502,,51
2024,59473506,,51
2024,59473512,,51
2024,59473517,,51
2024,59473520,,51
2024,59473480,,51
2024,58427331,,51
2024,58902316,,51
2024,60085150,,51
2024,58902319,,51
2024,58427337,,51
2024,58427338,,51
2024,59473492,,51
2024,60085154,,51
2024,59473524,,51
2024,59473499,,51
2024,59473503,,51
2024,60085157,,51
2024,58427342,,51
2024,58427335,,51
2024,59473514,,51
2024,61443219,,51
2024,60085147,,51
2024,57295063,,51
2024,60085149,,51
2024,61443239,,51
2024,61443253,,51
2024,60085156,,51
2024,61443260,,13
2024,61443268,,51
2024,61443281,,51
2024,61443292,,51
2024,61443278,,51
2024,61443287,,51
2024,61443293,,51
2024,61443302,,51
2024,57785487,,7
2024,61443237,,51
2024,61443243,,51
2024,61443264,,51
2024,61996091,,51
2024,61996040,,51
2024,57295075,,51
2024,61443267,,51
2024,61443279,,51
2024,63796078,,5
2024,61443295,,51
2024,61443304,,51
2024,57295071,,51
2024,61443309,,51
2024,63796081,,51
2024,57295074,,51
2024,61443246,,51
2024,63796085,,51
2024,61996048,,51
2024,61996049,,52
2024,61996052,,51
2024,57295076,,51
2024,63796088,,51
2024,63796092,,51
2024,61443318,,51
2024,59473547,,51
2024,59473550,,51
2024,59473551,,51
2024,59473552,,51
2024,61996081,,51
2024,63796157,,51
2024,57295078,,51
2024,57295079,,51
2024,61996057,,52
2024,61996061,,51
2024,61996064,,51
2024,61996068,,51
2024,61996070,,51
2024,63796160,,51
2024,63796084,,51
2024,57785495,,51
2024,59473558,,51
2024,63796087,,51
2024,63796142,,51
2024,63796143,,51
2024,59473529,,51
2024,59473530,,51
2024,63796146,,51
2024,63796148,,51
2024,63796149,,51
2024,59473543,,51
2024,63796154,,51
2024,63796097,,51
2024,63796100,,51
2024,63796103,,51
2024,63796105,,51
2024,63796159,,7
2024,59473540,,51
2024,59473546,,51
2024,59473549,,51
2024,59474007,,51
2024,59473958,,51
2024,59473986,,51
2024,63796101,,51
2024,57785493,,51
2024,59473565,,51
2024,60085163,,51
2024,57785502,,51
2024,57785506,,51
2024,57785507,,51
2024,60085166,,51
2024,60085167,,51
2024,58427344,,5
2024,60085173,,51
2024,60085158,,51
2024,57785512,,51
2024,57785516,,51
2024,61443349,,51
2024,57785475,,51
2024,57785477,,51
2024,61996063,,51
2024,57295072,,7
2024,61443354,,51
2024,61443379,,51
2024,57785496,,51
2024,61443384,,51
2024,61443727,,51
2024,61443403,,51
2024,63796104,,7
2024,61997223,,51
2024,57505855,,51
2024,58486638,,51
2024,58486736,,51
2024,59022563,,51
2024,60007639,,51
2024,60508353,,51
2024,60508354,,51
2024,62118432,,51
2024,62118434,,51
2024,56632105,,51
2024,56632124,,51
2024,56632198,,51
2024,63797880,,51
2024,63797881,,51
2024,63797882,,51
2024,63797883,,51
2024,57295605,,51
2024,57295612,,51
2024,56632205,,51
2024,56632222,,51
2024,57786111,,51
2024,57295622,,51
2024,57786115,,51
2024,56632298,,51
2024,58428077,,51
2024,57786090,,51
2024,57295607,,51
2024,57295625,,51
2024,56632189,,51
2024,60566375,,51
2024,57295626,,51
2024,56632303,,51
2024,57295631,,51
2024,63797784,,52
2024,56632192,,51
2024,57295659,,51
2024,56632250,,51
2024,57295627,,51
2024,57295636,,51
2024,57295688,,51
2024,57295703,,51
2024,57295706,,51
2024,56632208,,51
2024,57295769,,51
2024,57295691,,51
2024,57295647,,9
2024,56632267,,51
2024,57295656,,51
2024,60086165,,51
2024,57295731,,51
2024,63797796,,51
2024,63797797,,51
2024,56632197,,51
2024,57295657,,5
2024,56632386,,51
2024,56632387,,51
2024,57295689,,51
2024,57786101,,51
2024,61444749,,51
2024,57295692,,51
2024,57295733,,51
2024,57295738,,53
2024,58902797,,51
2024,57295723,,51
2024,57295715,,51
2024,57295716,,51
2024,57295717,,51
2024,57786108,,51
2024,57786109,,51
2024,63797815,,51
2024,63797822,,51
2024,57295680,,51
2024,57295698,,51
2024,57295713,,51
2024,57295726,,51
2024,57295745,,51
2024,57295746,,51
2024,57295747,,51
2024,63797809,,51
2024,57295773,,51
2024,57295743,,51
2024,56632316,,51
2024,56632363,,52
2024,57295730,,51
2024,57295756,,51
2024,57295705,,51
2024,58428052,,51
2024,58428053,,51
2024,59474305,,51
2024,57295768,,51
2024,58428059,,51
2024,57295771,,51
2024,57295849,,51
2024,63797848,,51
2024,57295772,,51
2024,57786107,,53
2024,61997291,,1
2024,57295810,,51
2024,57786119,,51
2024,57786124,,51
2024,57786125,,51
2024,57786234,,51
2024,57786235,,51
2024,57786236,,5
2024,57786236,,9
2024,57786238,,51
2024,57786239,,51
2024,58428026,,51
2024,57295785,,51
2024,57295799,,51
2024,57295802,,5
2024,57786106,,51
2024,57786237,,51
2024,57295784,,51
2024,57295801,,51
2024,63797858,,51
2024,57786240,,51
2024,57295781,,51
2024,57786241,,51
2024,57295787,,1
2024,58428068,,51
2024,57786120,,51
2024,57786121,,51
2024,57786122,,5
2024,58428048,,52
2024,57786130,,51
2024,57786133,,51
2024,57786134,,51
2024,57786166,,51
2024,57786191,,51
2024,57786117,,51
2024,58902800,,51
2024,63797887,,51
2024,57295780,,51
2024,57295783,,51
2024,57295793,,51
2024,57295798,,51
2024,63797877,,51
2024,57786164,,51
2024,57295822,,51
2024,58428080,,51
2024,57786148,,51
2024,57295791,,51
2024,57786135,,51
2024,57786136,,51
2024,57786145,,52
2024,57295804,,51
2024,57786151,,51
2024,57295818,,51
2024,57295821,,51
2024,57786175,,51
2024,57786129,,51
2024,57786140,,51
2024,57786147,,51
2024,61444734,,51
2024,57786162,,51
2024,57295808,,51
2024,63797913,,51
2024,63797914,,51
2024,57786178,,51
2024,57786179,,51
2024,57786181,,51
2024,57295829,,51
2024,58428070,,51
2024,57786139,,51
2024,57786150,,51
2024,63797888,,51
2024,63797895,,51
2024,57295803,,51
2024,61997202,,51
2024,61997203,,51
2024,58428076,,51
2024,57786218,,51
2024,58428079,,51
2024,58428088,,51
2024,57786174,,51
2024,57786195,,51
2024,57786202,,5
2024,57786142,,51
2024,57786156,,51
2024,57786160,,51
2024,58428046,,5
2024,57786173,,51
2024,57786183,,51
2024,57786184,,51
2024,58902799,,51
2024,57786192,,51
2024,61444695,,51
2024,58902816,,51
2024,57786177,,51
2024,58428089,,51
2024,57786149,,52
2024,58428064,,51
2024,58428066,,51
2024,58902821,,51
2024,58428096,,51
2024,59474334,,51
2024,61997226,,51
2024,57786190,,51
2024,58428072,,51
2024,57786205,,51
2024,58428113,,51
2024,63797925,,51
2024,58428126,,51
2024,58428095,,51
2024,57786214,,51
2024,57786215,,51
2024,58902817,,51
2024,58428117,,51
2024,60566379,,51
2024,58428105,,51
2024,58428107,,51
2024,58428118,,51
2024,59474347,,51
2024,59474348,,51
2024,57786210,,51
2024,57786211,,51
2024,57786169,,51
2024,60566393,,51
2024,60566394,,52
2024,57786189,,51
2024,58902825,,51
2024,57786212,,51
2024,58428103,,51
2024,57786226,,51
2024,58428128,,51
2024,63797938,,51
2024,58428149,,51
2024,63797963,,51
2024,63797950,,51
2024,58428145,,51
2024,58428094,,51
2024,58428109,,51
2024,58428124,,51
2024,58428164,,51
2024,58902854,,51
2024,58428185,,51
2024,58428093,,51
2024,58428097,,51
2024,58428110,,51
2024,60086194,,52
2024,60086195,,51
2024,60086196,,51
2024,58428133,,51
2024,60086172,,51
2024,58428162,,51
2024,59474329,,51
2024,61997170,,13
2024,63797971,,51
2024,63798008,,51
2024,58902841,,51
2024,60086181,,51
2024,58428168,,51
2024,58902849,,51
2024,63798015,,51
2024,58902860,,51
2024,59474335,,52
2024,58428152,,5
2024,58428154,,5
2024,58428156,,51
2024,58428167,,51
2024,58902837,,53
2024,58428174,,51
2024,63797985,,51
2024,60086170,,51
2024,58428183,,51
2024,60566429,,51
2024,58902858,,51
2024,60566406,,51
2024,61444707,,5
2024,58428184,,51
2024,60086188,,51
2024,58902840,,51
2024,58428151,,51
2024,58428159,,51
2024,58428171,,53
2024,58428175,,51
2024,58902846,,51
2024,58902861,,51
2024,58428192,,51
2024,63797990,,51
2024,58902876,,51
2024,58428160,,51
2024,58428165,,51
2024,58428169,,51
2024,58428189,,51
2024,58428190,,51
2024,61444741,,51
2024,58902882,,51
2024,59474332,,51
2024,58902890,,51
2024,58902891,,52
2024,58902903,,51
2024,60086186,,51
2024,58902873,,52
2024,58903073,,51
2024,58903074,,51
2024,58903076,,51
2024,58902866,,51
2024,60566422,,52
2024,58902888,,51
2024,58902899,,51
2024,58902909,,51
2024,58902885,,51
2024,59474341,,52
2024,59474351,,51
2024,59474352,,51
2024,59474361,,51
2024,58902910,,52
2024,58902915,,5
2024,58902917,,51
2024,63798045,,51
2024,59474364,,51
2024,58902901,,51
2024,63798049,,51
2024,60086175,,5
2024,60086175,,52
2024,58902889,,52
2024,58902904,,51
2024,63798030,,51
2024,59474385,,5
2024,63798031,,51
2024,58902914,,51
2024,60086189,,7
2024,60566385,,51
2024,58902895,,51
2024,58902907,,51
2024,58902912,,51
2024,63798032,,51
2024,59474365,,51
2024,59474366,,51
2024,60086200,,51
2024,63798019,,51
2024,60086183,,51
2024,58902935,,51
2024,58902926,,51
2024,58902934,,51
2024,60566380,,51
2024,59474367,,51
2024,58902931,,52
2024,58902933,,51
2024,63798034,,51
2024,63800697,,51
2024,57785943,,51
2024,60567035,,51
2024,57785958,,51
2024,63800705,,51
2024,63800706,,51
2024,61997234,,51
2024,63800699,,51
2024,63800700,,51
2024,57785975,,51
2024,63800701,,51
