data_year,criminal_act_id,offense_id
2023,6,208947023
2023,6,224163851
2023,6,224163876
2023,6,224163900
2023,6,224163778
2023,6,224163806
2023,9,224163776
2023,6,224163788
2023,6,224163807
2023,7,224163828
2023,6,224163849
2023,6,224163869
2023,6,208947079
2023,6,224163909
2023,6,224163848
2023,6,224163867
2023,6,224163890
2023,6,208665587
2023,2,208665608
2023,6,208665616
2023,6,208665625
2023,6,208946955
2023,6,224160494
2023,9,224160519
2023,6,224160541
2023,9,224160558
2023,6,224160603
2023,6,224160604
2023,9,224160628
2023,7,224158511
2023,6,224158647
2023,6,224158676
2023,6,224158417
2023,6,208663243
2023,6,224158444
2023,9,224158470
2023,6,224158471
2023,9,208663272
2023,9,208663240
2023,6,208663231
2023,6,224158523
2023,6,208945561
2023,9,208945581
2023,12,208945585
2023,9,224158415
2023,9,224158642
2023,6,208945615
2023,2,224158571
2023,6,208945626
2023,6,208663320
2023,9,224158695
2023,9,208663301
2023,9,208945635
2023,9,224158490
2023,6,224158531
2023,7,224158465
2023,9,224158569
2023,7,224158593
2023,9,224158479
2023,6,224158660
2023,6,224158661
2023,6,224158730
2023,3,208663279
2023,3,208663280
2023,6,224158599
2023,6,224158625
2023,2,224158710
2023,6,224158710
2023,1,208341773
2023,12,201070011
2023,12,218073336
2023,1,218073345
2023,6,218073405
2023,8,224163821
2023,6,224163838
2023,14,224163811
2023,9,218073428
2023,6,201070025
2023,8,203022105
2023,5,204535508
2023,6,218073459
2023,12,201070052
2023,6,201070076
2023,6,224163850
2023,6,224163892
2023,6,204535639
2023,14,204535449
2023,6,203022565
2023,9,208663723
2023,9,208663747
2023,1,208945726
2023,3,208663572
2023,6,208663668
2023,8,208663668
2023,6,208663676
2023,9,208663613
2023,8,201068556
2023,6,208663761
2023,6,208945665
2023,6,208663788
2023,6,224158853
2023,6,224158854
2023,6,208945675
2023,1,201068575
2023,3,208663627
2023,8,208663627
2023,6,208663635
2023,6,208663643
2023,9,208663653
2023,9,208945679
2023,6,208663698
2023,3,208663706
2023,6,208945689
2023,6,208945714
2023,9,208663756
2023,6,208945727
2023,6,208945732
2023,9,208663665
2023,4,208663697
2023,6,208663724
2023,6,208663736
2023,8,208663753
2023,6,208945745
2023,6,208663722
2023,1,208945651
2023,6,208945651
2023,7,224158958
2023,9,208663696
2023,9,208663719
2023,6,208945667
2023,6,224158757
2023,1,208945717
2023,6,208945717
2023,6,208945662
2023,1,208945677
2023,6,208945682
2023,9,208945693
2023,6,208945706
2023,9,208945661
2023,12,224158871
2023,9,208945678
2023,7,224158900
2023,9,208945694
2023,6,208945723
2023,6,208945664
2023,6,224158892
2023,6,208945684
2023,6,224158834
2023,6,224158894
2023,6,208945691
2023,8,208945691
2023,6,201068233
2023,6,208663820
2023,9,224158889
2023,9,224158954
2023,6,224158794
2023,6,224158795
2023,12,224158869
2023,2,224158903
2023,6,224158929
2023,6,224158899
2023,6,224158921
2023,6,224159007
2023,6,224158800
2023,2,224158823
2023,6,208663882
2023,6,224159053
2023,9,224159077
2023,8,224159026
2023,8,224159002
2023,8,224159010
2023,6,208663776
2023,9,224159163
2023,6,224159094
2023,6,224159029
2023,6,224159123
2023,9,224159241
2023,9,201068256
2023,9,224159266
2023,6,224159361
2023,2,224159042
2023,6,224159180
2023,6,224159228
2023,6,224159256
2023,6,224159086
2023,6,224159109
2023,6,224159202
2023,6,224159235
2023,1,224159265
2023,1,224159162
2023,1,224159191
2023,1,224159214
2023,1,224159243
2023,6,208663823
2023,14,208663833
2023,9,224159322
2023,6,208663768
2023,6,208663779
2023,6,208663808
2023,6,224159106
2023,9,208663826
2023,6,221358579
2023,6,218074201
2023,6,218074193
2023,6,218074259
2023,6,218074274
2023,7,224289840
2023,6,218074298
2023,6,218074278
2023,6,218074294
2023,6,218074204
2023,3,218074211
2023,6,218074241
2023,3,218074252
2023,6,218074260
2023,6,218074321
2023,3,218074341
2023,7,218074356
2023,3,218074209
2023,3,218074222
2023,7,218074266
2023,6,218074280
2023,3,218074251
2023,6,218074295
2023,6,218074318
2023,6,218074351
2023,6,218074235
2023,6,221358636
2023,6,218074254
2023,12,218074267
2023,3,218074247
2023,3,218074262
2023,6,221358817
2023,6,221358599
2023,3,221358618
2023,6,221358702
2023,6,221358734
2023,6,221358771
2023,8,221358838
2023,6,221358866
2023,6,221358919
2023,6,218074322
2023,6,221358684
2023,9,221358705
2023,6,221358769
2023,6,221358852
2023,5,221358876
2023,6,224289778
2023,6,224289786
2023,5,221358913
2023,6,221358915
2023,6,221358916
2023,6,224289833
2023,6,224289834
2023,6,224289847
2023,6,224289852
2023,6,224289859
2023,6,221358930
2023,6,224289871
2023,6,218074348
2023,6,224289836
2023,6,224289837
2023,6,224289858
2023,6,218074361
2023,6,224289861
2023,7,221358958
2023,6,224289869
2023,6,224289873
2023,6,224289849
2023,9,224289854
2023,6,224289856
2023,6,224289868
2023,3,224289872
2023,6,218074369
2023,6,218074233
2023,7,224289878
2023,5,224289879
2023,7,218074268
2023,1,224289881
2023,7,218074283
2023,6,218074306
2023,6,218074327
2023,6,218074350
2023,9,224161443
2023,9,224161444
2023,6,224161517
2023,2,224161577
2023,6,224161617
2023,7,224161617
2023,6,224161618
2023,6,224161665
2023,6,224161712
2023,6,224161330
2023,3,224161370
2023,6,224161370
2023,6,224161371
2023,6,224161478
2023,6,224161526
2023,7,224161564
2023,9,224161609
2023,6,224161648
2023,6,224161703
2023,5,224161637
2023,9,224161734
2023,6,224161735
2023,6,224161736
2023,9,224161423
2023,6,224161678
2023,3,224161718
2023,6,224161718
2023,6,224289506
2023,6,224289510
2023,6,224289509
2023,6,224289513
2023,9,224289540
2023,6,224289543
2023,4,204534932
2023,9,204534937
2023,9,204534942
2023,6,221356983
2023,6,221357001
2023,6,218072863
2023,7,218072874
2023,7,218072890
2023,9,218072951
2023,9,218072802
2023,8,208342644
2023,6,208342650
2023,6,208945955
2023,7,208945906
2023,6,208945910
2023,7,218072985
2023,6,208945934
2023,8,208946939
2023,5,208946855
2023,8,224163550
2023,3,224163571
2023,6,224163632
2023,7,224163553
2023,6,224163504
2023,6,203022133
2023,7,203022133
2023,6,208665336
2023,6,224163744
2023,6,224163603
2023,7,224163603
2023,7,208946938
2023,9,208341388
2023,12,214298304
2023,6,224158307
2023,6,218075079
2023,6,221359829
2023,6,221359897
2023,4,198511414
2023,6,201070528
2023,6,208947396
2023,8,208947415
2023,6,201070553
2023,6,208344599
2023,9,208947438
2023,3,221359929
2023,6,208344605
2023,6,208947472
2023,8,214298954
2023,6,214298961
2023,8,198511382
2023,6,208947482
2023,12,218075236
2023,6,218075191
2023,6,208947497
2023,6,208947517
2023,3,201070538
2023,6,214299033
2023,6,198511392
2023,6,214298906
2023,6,214298927
2023,6,201070575
2023,6,218075212
2023,6,218075241
2023,6,218075257
2023,6,218075300
2023,6,218075330
2023,6,218074120
2023,6,202413484
2023,8,208342975
2023,6,204536325
