data_year,weapon_id,offense_id,nibrs_weapon_id
2023,38,208665584,
2023,38,224163793,
2023,41,224163764,
2023,41,224163776,
2023,41,208665576,
2023,41,224163888,
2023,41,201070043,
2023,41,208665516,
2023,38,208665585,
2023,32,208665598,
2023,41,208947014,
2023,3,224160677,
2023,41,224160519,
2023,32,224160558,
2023,32,224160628,
2023,41,208663251,
2023,41,224158470,
2023,38,208663272,
2023,41,208663281,
2023,41,208663240,
2023,41,208663234,
2023,41,208945550,
2023,41,224158631,
2023,41,208945600,
2023,41,224158693,
2023,41,208945575,
2023,41,224158415,
2023,41,224158642,
2023,41,224158695,
2023,38,224158591,
2023,41,208663301,
2023,21,208945635,
2023,41,208945635,
2023,41,224158492,
2023,41,224158558,
2023,41,224158587,
2023,21,224158592,
2023,41,224158703,
2023,41,224158490,
2023,5,224158530,
2023,41,224158569,
2023,41,224158654,
2023,41,208663327,
2023,41,224158479,
2023,41,224158500,
2023,7,224158661,
2023,41,224158467,
2023,41,224158742,
2023,41,224158790,
2023,41,208663269,
2023,41,208663270,
2023,38,208663270,
2023,3,224158638,
2023,41,208663298,
2023,41,208663325,
2023,21,224163801,
2023,41,224163801,
2023,41,224163802,
2023,41,224163824,
2023,41,224163868,
2023,41,208947902,
2023,38,218073310,
2023,41,218073342,
2023,41,218073411,
2023,41,224163910,
2023,41,218073357,
2023,41,218073393,
2023,41,224163885,
2023,1,224163821,
2023,3,224163838,
2023,41,224163857,
2023,41,224163930,
2023,41,224163907,
2023,41,224163792,
2023,41,201070037,
2023,38,224163844,
2023,41,208947917,
2023,32,204535508,
2023,41,218073464,
2023,41,218073486,
2023,31,218073499,
2023,41,218073514,
2023,41,218073515,
2023,41,224163873,
2023,21,208947963,
2023,41,224163922,
2023,41,224163945,
2023,41,208663723,
2023,41,208663747,
2023,3,208945726,
2023,41,208663615,
2023,41,208663616,
2023,3,208663599,
2023,41,208663608,
2023,38,208663613,
2023,3,208663620,
2023,21,224158854,
2023,41,208663653,
2023,41,208945679,
2023,41,208663744,
2023,41,208663756,
