data_year,property_id,incident_id,prop_loss_id,stolen_count,recovered_count
2023,171164129,175378586,6,,
2023,182556242,188598788,6,,
2023,182556261,188598811,6,,
2023,182556282,188598835,6,,
2023,182556163,188598696,4,,
2023,182556173,188598708,7,,
2023,182556183,188598720,6,,
2023,182556204,188598745,6,,
2023,182556193,188598731,6,,
2023,182556205,188598746,1,,
2023,182556224,188598767,6,,
2023,182556240,188598786,6,,
2023,182556256,188598804,6,,
2023,171164169,175378636,6,,
2023,165243602,168518891,7,,
2023,165243607,168518904,7,,
2023,165243613,168518910,7,,
2023,165243535,168518804,7,,
2023,182556290,188598844,6,,
2023,165243545,168518821,7,,
2023,182556238,188598784,6,,
2023,182556255,188598802,6,,
2023,182556273,188598825,6,,
2023,170953064,175129495,7,,
2023,170953072,175129508,4,,
2023,170953084,175129519,7,,
2023,170953096,175129537,7,,
2023,170953102,175129544,7,,
2023,165243554,168518832,1,,
2023,170953108,175129553,6,,
2023,170953127,175129580,6,,
2023,170953133,175129589,6,,
2023,171164085,175378521,6,,
2023,182553802,188595785,6,,
2023,182553827,188595827,6,,
2023,182553874,188595880,6,,
2023,182553896,188595903,8,,
2023,170951407,175127391,7,,
2023,182552405,188593991,6,,
2023,182552472,188594058,4,,
2023,182552473,188594058,7,,
2023,182552495,188594086,5,,
2023,182552496,188594086,7,,
2023,170951422,175127405,7,,
2023,182552521,188594120,6,,
2023,182552548,188594148,6,,
2023,170951432,175127418,7,,
2023,182552322,188593905,6,,
2023,170951445,175127436,6,,
2023,182552347,188593931,6,,
2023,182552372,188593955,6,,
2023,170951459,175127449,7,,
2023,170951475,175127471,7,,
2023,170951454,175127445,4,,
2023,170951481,175127479,4,,
2023,170951438,175127424,6,,
2023,170951456,175127447,7,,
2023,170951453,175127443,4,,
2023,170951469,175127462,4,,
2023,170951443,175127434,4,,
2023,171163122,175377290,7,,
2023,171163133,175377300,7,,
2023,171163139,175377307,7,,
2023,171163073,175377221,1,,
2023,170951477,175127474,7,,
2023,182552418,188594003,1,,
2023,182552419,188594003,6,,
2023,171163090,175377243,6,,
2023,171163095,175377250,7,,
2023,182552460,188594046,4,,
2023,171163104,175377268,7,,
2023,171163129,175377299,7,,
2023,171163094,175377249,4,,
2023,171163107,175377274,7,,
2023,171163114,175377281,4,,
2023,171163120,175377288,4,,
2023,182552339,188593923,4,,
2023,182552357,188593941,4,,
2023,182552388,188593972,4,,
2023,182552408,188593994,7,,
2023,182552431,188594014,5,,
2023,182552432,188594014,7,,
2023,182552448,188594031,7,,
2023,182552464,188594051,7,,
2023,182552484,188594074,5,,
2023,182552485,188594074,7,,
2023,182552349,188593933,7,,
2023,171163126,175377295,6,,
2023,182552377,188593960,4,,
2023,182552378,188593960,7,,
2023,182552406,188593992,4,,
2023,182552441,188594023,4,,
2023,182552462,188594048,6,,
2023,182552478,188594065,4,,
2023,171163135,175377302,6,,
2023,182552515,188594106,4,,
2023,182552540,188594141,4,,
2023,182552512,188594102,7,,
2023,170951492,175127496,4,,
2023,182552535,188594136,4,,
2023,182552344,188593928,7,,
2023,171163143,175377312,4,,
2023,182552363,188593946,5,,1
2023,182552364,188593946,7,1,
2023,182552389,188593975,4,,
2023,182552390,188593975,5,,
2023,182552391,188593975,7,,
2023,182552423,188594007,7,,
2023,182552513,188594107,7,,
2023,182552551,188594151,4,,
2023,182552426,188594010,5,,
2023,182552427,188594010,7,,
2023,182552453,188594037,5,,
2023,182552454,188594037,7,,
2023,182552442,188594024,7,,
2023,182552369,188593951,6,,
2023,182552504,188594094,4,,
2023,182552505,188594094,7,,
2023,182552554,188594154,7,,
2023,182552351,188593935,4,,
2023,182552467,188594054,7,,
2023,182552498,188594088,4,,
2023,182552517,188594110,7,,
2023,182552532,188594133,5,,
2023,182552589,188594199,6,,
2023,182552601,188594217,7,,
2023,182552395,188593981,7,,
2023,182552574,188594180,7,,
2023,182552620,188594246,1,,
2023,182552382,188593966,7,,
2023,182552400,188593986,7,,
2023,182552446,188594029,4,,
2023,182552463,188594050,4,,
2023,170951466,175127455,1,,
2023,170951470,175127463,1,,
2023,182552482,188594073,4,,
2023,182552483,188594073,6,,
2023,170951474,175127470,4,,
2023,170951479,175127477,4,,
2023,182552509,188594098,6,,
2023,182552546,188594147,5,,
2023,182552547,188594147,7,,
2023,182552486,188594075,4,,
2023,182552575,188594181,6,,
2023,170951505,175127510,7,,
2023,170951507,175127514,4,,
2023,182556176,188598712,7,,
2023,170712813,174844366,7,,
2023,170712824,174844384,4,,
2023,170712841,174844401,1,,
2023,171164822,175379410,4,,
2023,170712673,174844182,4,,
2023,171164844,175379445,1,,
2023,171164845,175379445,4,,
2023,171164854,175379457,7,1,
2023,171164860,175379470,7,,
2023,171164874,175379487,7,,
2023,182556198,188598741,1,,
2023,182556199,188598741,4,,
2023,171164903,175379528,7,,
2023,182556161,188598694,7,1,
2023,182556191,188598728,7,,
2023,171165023,175379678,7,,
2023,177992180,183318245,4,,
2023,177992181,183318245,7,,
2023,171164776,175379349,7,,
2023,171164788,175379366,7,,
2023,177992219,183318302,4,,
2023,177992220,183318302,7,,
2023,171164807,175379391,7,,
2023,177992245,183318326,7,,
2023,177992155,183318222,4,,
2023,177992156,183318222,7,,
2023,171164772,175379346,4,,
2023,165243469,168518712,4,,
2023,165243470,168518712,7,,
2023,177992167,183318234,7,,
2023,177992171,183318239,7,,
2023,177992188,183318254,5,,
2023,177992189,183318254,7,,
2023,177992197,183318265,4,,
2023,177992201,183318274,7,,
2023,177992186,183318253,7,1,
2023,177992195,183318263,4,,
2023,177992202,183318275,7,,
2023,177992209,183318288,4,,
2023,177992214,183318295,4,,
2023,177992222,183318304,5,,
2023,177992223,183318304,7,,
2023,177992165,183318232,4,,
2023,177992174,183318241,4,,
2023,177992175,183318241,7,,
2023,177992243,183318322,4,,
2023,177992268,183318357,7,,
2023,177992289,183318379,4,,
2023,177992190,183318256,7,,
2023,177992198,183318268,7,,
2023,177992211,183318290,7,,
2023,177992221,183318303,7,1,
2023,177992228,183318310,7,,
2023,177992242,183318321,4,,
2023,170712681,174844191,7,,
2023,177992249,183318331,4,,
2023,177992250,183318331,7,,
2023,177992261,183318346,7,,
2023,177992205,183318283,5,,
2023,165243532,168518798,1,,
2023,177992252,183318334,5,,
2023,182556208,188598748,7,,
2023,182556246,188598791,7,,
2023,182556281,188598834,7,,
2023,182556172,188598706,7,,
2023,182556258,188598806,4,,
2023,182556186,188598722,7,,
2023,182556211,188598753,5,,
2023,182556212,188598753,7,,
2023,182556233,188598778,4,,
2023,182556202,188598743,4,,
2023,182556275,188598828,7,,
2023,182556291,188598847,7,,
2023,182556260,188598810,7,,
2023,182556292,188598848,7,,
2023,182556225,188598768,7,,
2023,182556236,188598782,4,,
2023,182556257,188598805,4,,
2023,182556285,188598839,7,,
2023,177992265,183318353,4,,
2023,166722971,170207944,7,,
2023,165243507,168518760,6,,
2023,165243518,168518773,4,,
2023,166723009,170207992,6,,
2023,167851842,171533856,4,,
2023,166723123,170208146,7,,
2023,177992292,183318382,6,,
2023,166723167,170208201,7,,
2023,166723177,170208210,4,,
2023,166723321,170208374,7,1,
2023,167851853,171533869,7,,
2023,165243536,168518806,6,,
2023,167851862,171533883,7,,
2023,177992324,183318429,1,,
2023,182556241,188598787,6,,
2023,167851933,171533975,4,,
2023,167851934,171533975,7,,
2023,170712709,174844231,4,,
2023,170712710,174844231,7,,
2023,167851822,171533835,4,,
2023,182556274,188598827,5,,
2023,167851929,171533970,6,,
2023,167851793,171533799,7,,
2023,170712726,174844249,7,,
2023,166723357,170208422,6,,
2023,170951746,175127847,4,,
2023,170713687,174845503,6,,
2023,170713683,174845500,7,,
2023,175158729,180035944,7,,
2023,175158742,180035957,4,,
2023,166723192,170208228,5,,
2023,177992362,183318485,4,,
2023,175158632,180035823,4,,
2023,177992371,183318496,7,,
2023,177992384,183318517,4,,
2023,177992400,183318532,4,,
2023,182551232,188592437,6,,
2023,182551248,188592457,6,,
2023,182551294,188592511,7,,
2023,182551344,188592577,1,,
2023,170951221,175127137,7,,
2023,182551367,188592600,6,,
2023,182551372,188592609,7,,
2023,170951225,175127143,1,,
2023,182551205,188592406,1,,
2023,182551235,188592440,7,,
2023,170951229,175127147,7,,
2023,182551280,188592495,1,,
2023,182551299,188592519,4,,
2023,182551322,188592548,7,,
2023,170951234,175127155,4,,
2023,182551342,188592574,7,,
2023,170951508,175127515,6,,
2023,170951519,175127525,4,,
2023,182551411,188592652,5,,2
