data_year,suspect_using_id,offense_id
2023,4,208664710
2023,3,224161786
2023,4,224161806
2023,4,224161825
2023,4,224161868
2023,4,224161905
2023,4,224161934
2023,4,224161959
2023,4,224161973
2023,1,224162000
2023,4,224162050
2023,4,224161990
2023,4,224161991
2023,4,224161992
2023,4,224162021
2023,4,224162022
2023,4,224161819
2023,4,224162018
2023,4,224161872
2023,4,224161845
2023,4,224161915
2023,4,224161916
2023,4,224161960
2023,4,224161999
2023,4,224161892
2023,4,224161920
2023,4,224161921
2023,4,224161922
2023,4,224161947
2023,4,224161967
2023,4,224161890
2023,4,224162015
2023,4,224161832
2023,4,224161855
2023,4,224161886
2023,4,224161878
2023,1,224161906
2023,4,224161926
2023,4,224161938
2023,4,224161962
2023,4,224161993
2023,4,224161997
2023,4,224162072
2023,4,224162073
2023,4,224161995
2023,4,224162010
2023,4,224162017
2023,4,224162046
2023,4,224161864
2023,4,224161887
2023,4,224161910
2023,4,224161930
2023,4,224161957
2023,4,224161987
2023,4,224161988
2023,4,224162007
2023,4,224161989
2023,4,224162016
2023,4,224162044
2023,4,224162092
2023,4,224161879
2023,4,224161880
2023,4,224161898
2023,4,224161966
2023,4,224162171
2023,4,224161889
2023,4,224161911
2023,4,224161940
2023,4,224161923
2023,4,224161946
2023,4,224162009
2023,4,224162033
2023,4,224162070
2023,4,224162121
2023,4,224161976
2023,4,224161977
2023,4,224161978
2023,4,224162006
2023,4,224162024
2023,4,224162053
2023,4,224162087
2023,4,224161909
2023,4,224161924
2023,4,224161948
2023,4,224161969
2023,4,224161970
2023,4,224161932
2023,4,224161951
2023,4,224161984
2023,4,224161985
2023,4,224162013
2023,4,224162030
2023,4,224162101
2023,1,224162137
2023,1,224162138
2023,4,224162157
2023,4,224162147
2023,4,224162186
2023,4,224162052
2023,4,224162208
2023,4,224162243
2023,4,224161975
2023,4,224162020
2023,4,224162042
2023,4,224162078
2023,4,224162107
2023,4,224161996
2023,4,224162004
2023,4,224162049
2023,4,224162090
2023,4,224162124
2023,4,224162150
2023,4,224162027
2023,4,224162179
2023,4,224162180
2023,4,224162219
2023,4,224162193
2023,4,224162230
2023,4,224162274
2023,4,224162314
2023,4,224162008
2023,4,224162029
2023,4,224162063
2023,4,224162103
2023,4,224162130
2023,4,224162061
2023,4,224162111
2023,4,224162141
2023,4,224162165
2023,4,224162198
2023,4,224162199
2023,4,224162249
2023,4,224162081
2023,4,224161986
2023,4,224162295
2023,4,224162325
2023,4,224162032
2023,4,224162312
2023,4,224162125
2023,4,224162153
2023,4,224162189
2023,4,224162055
2023,4,224162088
2023,4,224162120
2023,4,224162151
2023,4,224162178
2023,4,224162227
2023,4,224162220
2023,4,224162356
2023,4,224162390
2023,4,224162038
2023,4,224162200
2023,4,224162286
2023,4,224162336
2023,4,224162231
2023,4,224162262
2023,4,224162048
2023,4,224162079
2023,4,224162105
2023,4,224162139
2023,4,224162209
2023,4,224162133
2023,4,224162134
2023,4,224162175
2023,4,224162226
2023,4,224162253
2023,4,224162278
2023,4,224162177
2023,4,224162334
2023,3,224162389
2023,4,224162453
2023,4,224162454
2023,4,224162082
2023,4,224162409
2023,4,224162433
2023,4,224162492
2023,4,224162128
2023,4,224162148
2023,4,224162187
2023,4,224162256
2023,4,224162280
2023,4,224162277
2023,4,224162324
2023,4,224162380
2023,4,224162225
2023,4,224162473
2023,4,224162530
2023,4,224162590
2023,4,224162168
2023,4,224162169
2023,4,224162434
2023,4,224162275
2023,4,224162292
2023,4,224162293
2023,4,224162332
2023,4,224162353
2023,4,224162393
2023,4,224162447
2023,4,224162244
2023,4,224162520
2023,4,224162482
2023,4,224162443
2023,4,224162502
2023,4,224162541
2023,4,224162558
2023,4,224162224
2023,4,224162270
2023,4,224162308
2023,4,224162346
2023,4,224162384
2023,4,224162271
2023,4,224162309
2023,4,224162345
2023,4,224162397
2023,4,224162398
2023,4,224162459
2023,4,224162501
2023,4,224162548
2023,4,224162571
2023,4,224162596
2023,4,224162597
2023,4,224162637
2023,4,224162668
2023,4,224162320
2023,4,224162364
2023,4,224162412
2023,4,224162451
2023,4,224162524
2023,4,224162279
2023,3,224162566
2023,4,224162294
2023,4,224162321
2023,4,224162371
2023,4,224162399
2023,4,224162426
2023,4,224162462
2023,4,224162519
2023,4,224162565
2023,4,224162606
2023,3,224162197
2023,4,224162206
2023,4,224162667
2023,4,224162633
2023,4,224162316
2023,4,224162342
2023,4,224162386
2023,4,224162436
2023,4,224162497
2023,4,224162574
2023,4,224162608
2023,4,224162644
2023,4,224162539
2023,4,224162509
2023,4,224162331
2023,4,224162378
2023,4,224162410
2023,4,224162475
2023,4,224162431
2023,4,224162472
2023,3,224162673
2023,4,224162564
2023,4,224162605
2023,4,224162641
2023,4,224162522
2023,4,224162678
2023,4,224162354
2023,4,224162402
2023,4,224162529
2023,4,224162598
2023,4,224162653
2023,4,224162383
2023,4,224162553
2023,4,224162486
2023,4,224162537
2023,4,224162582
2023,4,224162508
2023,4,224162555
2023,4,224162424
2023,4,224162600
2023,4,224162651
2023,4,224162688
2023,4,224162706
2023,4,224162721
2023,4,224162432
2023,4,224162406
2023,4,224162435
2023,4,224162496
2023,4,224162536
2023,4,224162552
2023,4,224162583
2023,4,224162394
2023,4,224162586
2023,4,224162587
2023,4,224162666
2023,4,224162682
2023,4,224162703
2023,4,224162413
2023,4,224162458
2023,4,224162718
2023,4,224162476
2023,4,224162517
2023,3,224162621
2023,4,224162624
2023,4,224162625
2023,4,224162639
2023,4,224162640
2023,4,224162671
2023,4,224162710
2023,4,224162711
2023,4,224162738
2023,4,224162546
2023,4,224162569
2023,4,224162444
2023,4,224162445
2023,4,224162489
2023,4,224162518
2023,4,224162765
2023,4,224162538
2023,4,224162556
2023,4,224162602
2023,4,224162603
2023,4,224162604
2023,4,224162655
2023,4,224162686
2023,4,224162687
2023,4,224162709
2023,4,224162487
2023,4,204536180
2023,1,204536186
2023,1,204536023
2023,4,204536028
2023,4,204536034
2023,4,204536055
2023,4,204536065
2023,4,204536085
2023,1,204536100
2023,3,204536110
2023,3,204536111
2023,4,204536127
2023,4,204536149
2023,3,204536150
2023,4,208664489
2023,4,208664963
2023,4,208664989
2023,4,208665008
2023,4,208665022
2023,4,208665035
2023,4,208665054
2023,4,208665065
2023,4,208665084
2023,4,208664473
2023,4,208664476
2023,4,208664480
2023,3,208664486
2023,4,208664488
2023,4,208664495
2023,4,208664501
2023,4,208664506
2023,4,208664515
2023,4,208664509
2023,4,208664521
2023,4,208664533
2023,4,208664474
2023,4,208664479
2023,4,208664483
2023,4,208664487
2023,4,208664494
2023,3,208945898
2023,3,208945899
2023,4,208945908
2023,4,208945913
2023,4,208945835
2023,4,208945844
2023,4,208945860
2023,4,208945867
2023,4,208945874
2023,4,208945885
2023,4,208945868
2023,4,224162428
2023,4,224162480
2023,4,224162500
2023,4,224162542
2023,4,224162589
2023,4,224162627
2023,4,208665108
2023,4,208665119
2023,4,208665131
2023,4,218070911
2023,4,218070931
2023,4,208665100
2023,4,208665115
2023,4,208665125
2023,4,208665132
2023,4,218070948
2023,4,208665155
2023,4,208665163
2023,1,208665186
2023,4,208665198
2023,4,208665211
2023,4,208666137
2023,4,208666160
2023,4,208666197
2023,4,208665167
2023,4,208665859
2023,4,208666235
2023,4,208665942
2023,4,208665976
2023,4,208666017
2023,4,208666018
2023,4,218070973
2023,4,208665190
2023,4,208665205
2023,4,208665223
2023,4,208665124
2023,4,218070585
2023,4,208665146
2023,4,208665906
2023,4,208665908
2023,4,218070587
2023,4,218070592
2023,4,218070593
2023,4,208665182
2023,4,208946749
2023,4,218070596
2023,4,218070597
2023,4,208665210
2023,4,208665151
2023,4,208665240
2023,4,208665241
2023,1,208665259
2023,4,208665130
2023,4,208665143
2023,4,208665160
2023,4,208665161
2023,4,208665175
2023,4,208665189
2023,4,218070601
2023,4,208665227
2023,4,208665236
2023,4,208665260
2023,4,208665268
2023,4,208665206
2023,4,208665162
2023,4,208665177
2023,4,208665191
2023,4,208665192
2023,4,208665208
2023,4,208665224
2023,4,208665244
2023,4,208665283
2023,4,208665284
2023,4,208665298
2023,3,208665307
2023,4,208665173
2023,4,208946760
2023,4,208665254
2023,4,208665255
2023,4,208665272
2023,4,218070892
2023,4,218070588
2023,4,208665201
2023,4,208665212
2023,4,208665231
2023,4,208665246
2023,4,208665253
2023,4,208665273
2023,4,208665207
2023,4,208665225
2023,4,208946763
2023,4,208946777
2023,4,208946778
2023,3,208665239
2023,4,208665252
2023,4,208665267
2023,4,208665288
2023,4,208946791
2023,4,208665309
2023,4,208946800
2023,4,218070590
2023,4,208946813
2023,4,208946814
2023,4,208665340
2023,4,208665238
2023,4,218070594
2023,4,208665257
2023,4,208946678
2023,4,208665271
2023,4,208665287
2023,4,208665315
2023,4,208665328
2023,4,208665329
2023,4,208665209
2023,4,208665228
2023,4,208665308
2023,4,208946687
2023,4,218070595
2023,4,208946692
2023,1,218070600
2023,4,208665345
2023,4,208665367
2023,4,208665382
2023,4,208946731
2023,4,208665342
2023,4,208665296
2023,4,208665277
2023,4,208665290
2023,4,218070922
2023,4,208665317
2023,4,208946752
2023,4,208946762
2023,4,208665331
2023,4,218070953
2023,4,208665402
2023,4,208946689
2023,4,208665341
2023,4,208665366
2023,4,208665388
2023,4,208665408
2023,4,208665422
2023,4,218070976
2023,4,208665274
2023,4,218071007
2023,4,208665289
2023,4,208665310
2023,4,208947363
2023,4,208665323
2023,4,208665337
2023,4,208947408
2023,4,208947442
2023,4,208665294
2023,4,208665357
2023,4,208947471
2023,4,208947496
2023,4,208947525
2023,4,208947556
2023,4,208665417
2023,4,218071027
2023,4,208947582
2023,4,208947583
2023,1,208665293
2023,4,208947617
2023,4,218070604
2023,4,208665326
2023,4,208665376
2023,4,208665397
2023,4,208665398
2023,4,208665399
2023,4,208946782
2023,4,218070610
2023,4,208665380
2023,3,208946794
2023,4,208665400
2023,4,208665413
2023,4,208665432
2023,4,208665410
2023,4,208665333
2023,4,208946803
2023,4,208946823
2023,4,208665349
2023,4,208665352
2023,4,208946838
2023,4,208946714
2023,4,208665387
2023,4,208665406
2023,4,208665420
2023,4,208665424
2023,4,208665425
2023,4,218070616
2023,4,208665441
2023,4,208665453
2023,4,218070617
2023,4,218070606
2023,4,208665466
2023,4,208665436
2023,4,218070611
2023,4,218070612
2023,4,208665486
2023,4,208665487
2023,4,208946720
2023,4,208946734
2023,4,218070615
2023,4,208946747
2023,4,218070619
2023,4,208946801
2023,4,218070624
2023,4,218070631
2023,4,208946811
2023,4,208946812
2023,4,208946758
2023,4,208946773
2023,4,218070633
2023,4,218070636
2023,4,218070641
2023,4,208946787
2023,4,208946799
2023,4,218070646
2023,4,218070608
2023,4,208946809
2023,4,218070613
2023,4,208946828
2023,4,218070618
2023,1,208946839
2023,1,218070622
2023,4,208665355
2023,4,208946790
2023,4,218070626
2023,4,218070630
2023,4,208946802
2023,4,218070632
2023,4,208946820
2023,4,208665385
2023,4,208665407
2023,4,218070605
2023,4,218070637
2023,4,208946852
2023,4,208946864
2023,4,218070642
2023,4,208946878
2023,4,218070609
2023,4,208946885
2023,4,218070614
2023,4,218070620
2023,4,208946916
2023,4,208665423
2023,4,208665439
2023,4,208665440
2023,4,218071035
2023,4,208946920
2023,4,218071044
2023,4,218070623
2023,4,218070628
2023,4,218070629
2023,4,208946798
2023,4,208946816
2023,4,208946830
2023,4,208946841
2023,4,208946854
2023,4,208665450
2023,4,218070635
2023,4,218070638
2023,4,218071008
2023,4,218071015
2023,4,208946871
2023,4,208946883
2023,4,208946891
2023,4,218071056
2023,4,208947569
2023,4,218071045
2023,4,208947632
2023,4,208947674
2023,4,218070651
2023,4,208947705
2023,4,208947734
2023,4,218070652
2023,4,218070654
2023,4,208946905
2023,4,208946825
2023,4,218070665
2023,4,208946837
2023,4,208665488
2023,4,208665499
2023,4,208946846
2023,4,218070666
2023,4,208946861
2023,4,218070671
2023,4,218070672
2023,4,218070673
2023,4,208946866
2023,3,218070678
2023,4,218070679
2023,4,218070680
2023,4,218070689
2023,4,208946888
2023,4,208946897
2023,4,208946907
2023,4,218070677
2023,4,208946847
2023,4,208946848
2023,4,218070681
2023,4,218070682
2023,4,208946857
2023,4,218070684
2023,4,218070685
2023,4,218070686
2023,4,218070688
2023,4,208946881
2023,4,208665510
2023,4,208665511
2023,4,208946892
2023,4,218070690
2023,4,218070693
2023,4,218070695
2023,4,208665356
2023,4,208665386
2023,4,218070709
2023,4,218070698
2023,4,218070700
2023,4,218070701
2023,4,218070704
2023,4,218070705
2023,4,218070706
2023,4,208665411
2023,4,208946826
2023,4,218070708
2023,4,208946843
2023,4,208946858
2023,4,218070711
2023,4,208665434
2023,4,218070737
2023,4,218070746
2023,4,218070751
2023,4,218070753
2023,4,218070756
2023,4,218070757
2023,4,218070758
2023,4,218070712
2023,4,218070714
2023,4,218070715
2023,4,218070720
2023,4,218070722
2023,4,218070725
2023,4,218070727
2023,4,218070728
2023,4,218070732
2023,3,208665377
2023,3,208665378
2023,4,218070735
2023,4,218070738
2023,4,218070739
2023,4,218070745
2023,4,218070748
2023,4,218070718
2023,4,218070721
2023,4,218070723
2023,4,218070724
2023,4,218070731
2023,4,218070733
2023,4,218070736
2023,4,218070743
2023,4,218070747
2023,3,218070749
2023,4,218070770
2023,4,218070755
2023,4,218070759
2023,4,218070761
2023,4,218070762
2023,4,218070773
2023,4,218070765
2023,4,218070767
2023,4,218070789
2023,4,218070793
2023,4,218070798
2023,4,218070769
2023,4,218070771
2023,4,218070774
2023,4,208665405
2023,4,208665418
2023,4,218070776
2023,4,218070782
2023,4,218070783
2023,4,218070786
2023,4,218070788
2023,4,218070791
2023,4,218070796
2023,4,218070797
2023,4,218070787
2023,4,208665435
2023,4,218070790
2023,4,218070792
2023,4,218070799
2023,4,218070800
2023,4,218070803
2023,4,218070804
2023,4,218070807
2023,4,218070813
2023,4,218070815
2023,4,218070818
2023,4,218070824
2023,4,218070827
2023,4,218070832
2023,4,218070838
2023,4,218070805
2023,4,218070808
2023,4,218070814
2023,4,218070816
2023,4,218070820
2023,4,218070828
2023,4,218070833
2023,4,208945876
2023,4,208945888
2023,4,208945891
2023,4,208945841
2023,4,208945846
2023,4,224158946
2023,4,224158966
2023,4,224158983
2023,4,224158726
2023,4,224158756
2023,4,224158779
2023,4,224289270
2023,4,224289272
2023,4,224289276
2023,4,224289282
2023,4,224289286
2023,4,224289291
2023,1,224289297
2023,4,224289301
2023,4,224289268
2023,4,224289269
2023,4,224289273
2023,4,224289275
2023,4,224289279
2023,4,224289283
2023,4,224289287
2023,4,224289290
2023,4,224289294
2023,4,224289303
2023,4,224289308
2023,4,224289309
2023,4,224289271
2023,4,224289274
2023,4,224289277
2023,4,224289278
2023,4,224289281
2023,4,224289285
2023,4,224289288
2023,4,224289293
2023,4,224289295
2023,4,224289298
2023,4,224289299
2023,1,224289305
2023,1,224289306
2023,4,224289280
2023,4,224289284
2023,4,224289289
2023,4,224289292
2023,4,224289296
2023,4,224289300
2023,1,224289304
2023,4,224289307
2023,4,224289310
2023,4,204534362
2023,4,204534363
2023,4,204534365
2023,4,204534368
2023,4,204534371
2023,4,204534372
2023,4,204534374
2023,4,204534385
2023,4,204534386
2023,4,204534388
2023,4,204534390
2023,4,204534392
2023,4,204534394
2023,4,204534396
2023,4,204534399
2023,4,204534401
2023,1,204534406
2023,4,204534391
2023,4,204534397
2023,4,204534400
2023,4,204534403
2023,3,204534407
2023,4,204534410
2023,4,204534412
2023,4,204534417
2023,4,204534420
2023,4,204534402
2023,4,204534408
2023,3,204534409
2023,1,204534413
2023,4,204534423
2023,4,204534426
2023,3,204534435
2023,4,204534437
2023,4,204534440
2023,4,204534443
2023,4,204534422
2023,4,204534425
2023,4,204534430
2023,4,204534434
2023,4,204534438
2023,3,204534441
2023,4,204534444
2023,4,204534446
2023,4,204534448
2023,4,204534414
2023,4,204534419
2023,4,204534424
2023,4,204534428
2023,4,218071582
2023,4,218071588
2023,4,218071602
2023,4,218071611
2023,4,218071619
2023,4,218071627
2023,2,218071639
2023,4,218071568
2023,4,218071678
2023,4,218071584
2023,4,218071587
2023,4,218071606
2023,4,218071618
2023,4,218071624
2023,4,218071636
2023,4,218071646
2023,4,218071684
2023,4,218071700
2023,4,218071715
2023,4,218071621
2023,4,218071626
2023,4,218071635
2023,4,218071645
2023,4,218071654
2023,4,218071669
2023,4,218071659
2023,4,218071671
2023,4,218071681
2023,4,218071682
2023,4,218071691
2023,4,218071705
2023,4,218071718
2023,4,218071725
2023,4,218071743
2023,4,218071638
2023,3,218071734
2023,1,218071744
2023,4,218071657
2023,4,218071667
2023,4,218071677
2023,4,218071685
2023,4,218071699
2023,4,218071712
2023,4,218071730
2023,4,218071755
2023,4,218071765
2023,4,218071776
2023,4,218071788
2023,4,218071798
2023,4,218071704
2023,4,218071716
2023,4,218071728
2023,4,218071747
2023,4,218071748
2023,4,218071740
