data_year,bias_id,offense_id
2023,88,224162428
2023,88,224162480
2023,88,224162500
2023,88,224162542
2023,88,224162589
2023,88,224162627
2023,88,208665108
2023,88,208665119
2023,88,208665131
2023,88,218070911
2023,88,218070931
2023,88,208665100
2023,88,208665115
2023,88,208665125
2023,88,208665132
2023,88,218070948
2023,88,208665155
2023,88,208665163
2023,88,208665186
2023,88,208665198
2023,88,208665211
2023,88,208666137
2023,88,208666160
2023,88,208666197
2023,88,208665167
2023,88,208665859
2023,88,208666235
2023,88,208665942
2023,88,208665976
2023,88,208666017
2023,88,208666018
2023,88,218070973
2023,88,208665190
2023,88,208665205
2023,88,208665223
2023,88,208665124
2023,88,218070585
2023,88,208665146
2023,88,208665906
2023,88,208665908
2023,88,218070587
2023,88,218070592
2023,88,218070593
2023,88,208665182
2023,88,208946749
2023,88,218070596
2023,88,218070597
2023,88,208665210
2023,88,208665151
2023,88,208665240
2023,88,208665241
2023,88,208665259
2023,88,208665130
2023,88,208665143
2023,88,208665160
2023,88,208665161
2023,88,208665175
2023,88,208665189
2023,88,218070601
2023,88,208665227
2023,88,208665236
2023,88,208665260
2023,88,208665268
2023,88,208665206
2023,88,208665162
2023,88,208665177
2023,88,208665191
2023,88,208665192
2023,88,208665208
2023,88,208665224
2023,88,208665244
2023,88,208665283
2023,88,208665284
2023,88,208665298
2023,88,208665307
2023,88,208665173
2023,88,208946760
2023,88,208665254
2023,88,208665255
2023,88,208665272
2023,88,218070892
2023,88,218070588
2023,88,208665201
2023,88,208665212
2023,88,208665231
2023,88,208665246
2023,88,208665253
2023,88,208665273
2023,88,208665207
2023,88,208665225
2023,88,208946763
2023,88,208946777
2023,88,208946778
2023,88,208665239
2023,88,208665252
2023,88,208665267
2023,88,208665288
2023,88,208946791
2023,88,208665309
2023,88,208946800
2023,88,218070590
2023,88,208946813
2023,88,208946814
2023,88,208665340
2023,88,208665238
2023,88,218070594
2023,88,208665257
2023,88,208946678
2023,88,208665271
2023,88,208665287
2023,88,208665315
2023,88,208665328
2023,88,208665329
2023,88,208665209
2023,88,208665228
2023,88,208665308
2023,88,208946687
2023,88,218070595
2023,88,208946692
2023,88,218070600
2023,88,208665345
2023,88,208665367
2023,88,208665382
2023,88,208946731
2023,88,208665342
2023,88,208665296
2023,88,208665277
2023,88,208665290
2023,88,218070922
2023,88,208665317
2023,88,208946752
2023,88,208946762
2023,88,208665331
2023,88,218070953
2023,88,208665402
2023,88,208946689
2023,88,208665341
2023,88,208665366
2023,88,208665388
2023,88,208665408
2023,88,208665422
2023,88,218070976
2023,88,208665274
2023,88,218071007
2023,88,208665289
2023,88,208665310
2023,88,208947363
2023,88,208665323
2023,88,208665337
2023,88,208947408
2023,88,208947442
2023,88,208665294
2023,88,208665357
2023,88,208947471
2023,88,208947496
2023,88,208947525
2023,88,208947556
2023,88,208665417
2023,88,218071027
2023,88,208947582
2023,88,208947583
2023,88,208665293
2023,88,208947617
2023,88,218070604
2023,88,208665326
2023,88,208665376
2023,88,208665397
2023,88,208665398
2023,88,208665399
2023,88,208946782
2023,88,218070610
2023,88,208665380
2023,88,208946794
2023,88,208665400
2023,88,208665413
2023,88,208665432
2023,88,208665410
2023,88,208665333
2023,88,208946803
2023,88,208946823
2023,88,208665349
2023,88,208665352
2023,88,208946838
2023,88,208946714
2023,88,208665387
2023,88,208665406
2023,88,208665420
2023,88,208665424
2023,88,208665425
2023,88,218070616
2023,88,208665441
2023,88,208665453
2023,88,218070617
2023,88,218070606
2023,88,208665466
2023,88,208665436
2023,88,218070611
2023,88,218070612
2023,88,208665486
2023,88,208665487
2023,88,208946720
2023,88,208946734
2023,88,218070615
2023,88,208946747
2023,88,218070619
2023,88,208946801
2023,88,218070624
2023,88,218070631
2023,88,208946811
2023,88,208946812
2023,88,208946758
2023,88,208946773
2023,88,218070633
2023,88,218070636
2023,88,218070641
2023,88,208946787
2023,88,208946799
2023,88,218070646
2023,88,218070608
2023,88,208946809
2023,88,218070613
2023,88,208946828
2023,88,218070618
2023,88,208946839
2023,88,218070622
2023,88,208665355
2023,88,208946790
2023,88,218070626
2023,88,218070630
2023,88,208946802
2023,88,218070632
2023,88,208946820
2023,88,208665385
2023,88,208665407
2023,88,218070605
2023,88,218070637
2023,88,208946852
2023,88,208946864
2023,88,218070642
2023,88,208946878
2023,88,218070609
2023,88,208946885
2023,88,218070614
2023,88,218070620
2023,88,208946916
2023,88,208665423
2023,88,208665439
2023,88,208665440
2023,88,218071035
2023,88,208946920
2023,88,218071044
2023,88,218070623
2023,88,218070628
2023,88,218070629
2023,88,208946798
2023,88,208946816
2023,88,208946830
2023,88,208946841
2023,88,208946854
2023,88,208665450
2023,88,218070635
2023,88,218070638
2023,88,218071008
2023,88,218071015
2023,88,208946871
2023,88,208946883
2023,88,208946891
2023,88,218071056
2023,88,208947569
2023,88,218071045
2023,88,208947632
2023,88,208947674
2023,88,218070651
2023,88,208947705
2023,88,208947734
2023,88,218070652
2023,88,218070654
2023,88,208946905
2023,88,208946825
2023,88,218070665
2023,88,208946837
2023,88,208665488
2023,88,208665499
2023,88,208946846
2023,88,218070666
2023,88,208946861
2023,88,218070671
2023,88,218070672
2023,88,218070673
2023,88,208946866
2023,88,218070678
2023,88,218070679
2023,88,218070680
2023,88,218070689
2023,88,208946888
2023,88,208946897
2023,88,208946907
2023,88,218070677
2023,88,208946847
2023,88,208946848
2023,88,218070681
2023,88,218070682
2023,88,208946857
2023,88,218070684
2023,88,218070685
2023,88,218070686
2023,88,218070688
2023,88,208946881
2023,88,208665510
2023,88,208665511
2023,88,208946892
2023,88,218070690
2023,88,218070693
2023,88,218070695
2023,88,208665356
2023,88,208665386
2023,88,218070709
2023,88,218070698
2023,88,218070700
2023,88,218070701
2023,88,218070704
2023,88,218070705
2023,88,218070706
2023,88,208665411
2023,88,208946826
2023,88,218070708
2023,88,208946843
2023,88,208946858
2023,88,218070711
2023,88,208665434
2023,88,218070737
2023,88,218070746
2023,88,218070751
2023,88,218070753
2023,88,218070756
2023,88,218070757
2023,88,218070758
2023,88,218070712
2023,88,218070714
2023,88,218070715
2023,88,218070720
2023,88,218070722
2023,88,218070725
2023,88,218070727
2023,88,218070728
2023,88,218070732
2023,88,208665377
2023,88,208665378
2023,88,218070735
