data_year,arrestee_id,nibrs_arrestee_weapon_id,weapon_id
2023,52916802,,51
2023,52916798,,51
2023,52986112,,51
2023,57413520,,51
2023,57413508,,51
2023,57413512,,51
2023,57413515,,51
2023,57412354,,51
2023,57412363,,51
2023,57412384,,51
2023,57412406,,51
2023,57412418,,51
2023,57411754,,51
2023,57411755,,51
2023,57411771,,51
2023,57411782,,51
2023,57411792,,51
2023,57411733,,51
2023,57411741,,51
2023,57411749,,51
2023,52916134,,51
2023,52916140,,51
2023,52916136,,7
2023,52985707,,51
2023,52985708,,51
2023,52985709,,51
2023,52985710,,51
2023,52916151,,51
2023,52985715,,52
2023,57411750,,51
2023,57411763,,51
2023,57411757,,5
2023,57411758,,51
2023,57411747,,51
2023,57411788,,51
2023,57411765,,51
2023,57411766,,51
2023,57411778,,52
2023,57411775,,51
2023,57411791,,52
2023,57411796,,51
2023,57413493,,51
2023,52835597,,52
2023,57413501,,51
2023,57413503,,51
2023,57413504,,1
2023,55776410,,51
2023,51845300,,51
2023,55776402,,51
2023,55776409,,51
2023,57413525,,51
2023,50979839,,51
2023,55776419,,1
2023,52986338,,51
2023,50979836,,51
2023,51845296,,51
2023,55776428,,52
2023,55776429,,51
2023,55776435,,51
2023,50979850,,51
2023,55776439,,53
2023,55776441,,51
2023,57413509,,51
2023,57413513,,51
2023,57413517,,51
2023,51845324,,52
2023,57413523,,51
2023,57413530,,51
2023,57413531,,51
2023,52835555,,51
2023,51493998,,3
2023,52916249,,51
2023,52916226,,51
2023,52916231,,51
2023,52916242,,51
2023,52916220,,51
2023,52916221,,51
2023,52916222,,51
2023,52916229,,51
2023,52985721,,51
2023,52916259,,51
2023,57411840,,51
2023,52985722,,51
2023,52916235,,51
2023,52985723,,51
2023,50979419,,51
2023,52985724,,51
2023,52985726,,51
2023,52985727,,51
2023,52985728,,51
2023,52985729,,51
2023,52916250,,51
2023,52985735,,51
2023,52985738,,51
2023,52985719,,51
2023,57411877,,51
2023,57411892,,51
2023,57411806,,51
2023,50979465,,51
2023,57411826,,51
2023,57411858,,51
2023,57411872,,51
2023,57411855,,51
2023,57411871,,51
2023,57411822,,51
2023,57411833,,51
2023,57411857,,51
2023,52916263,,51
2023,52916275,,51
2023,57411867,,51
2023,57411825,,51
2023,57411841,,51
2023,52916268,,52
2023,57411866,,51
2023,57411820,,51
2023,57411832,,51
2023,57411874,,51
2023,50979311,,51
2023,52916288,,51
2023,52916289,,51
2023,57411889,,51
2023,52916257,,51
2023,52916256,,51
2023,52916262,,51
2023,57411967,,51
2023,57411936,,51
2023,52916267,,52
2023,57411906,,51
2023,55776601,,51
2023,57450619,,51
2023,55776604,,3
2023,55776615,,51
2023,55776603,,51
2023,55776608,,51
2023,55776610,,51
2023,55776605,,51
2023,55776609,,51
2023,56657900,,51
2023,56657933,,51
2023,55776614,,51
2023,56657920,,51
2023,56657961,,52
2023,56657966,,51
2023,56657970,,51
2023,56657909,,51
2023,57450629,,51
2023,55776607,,51
2023,57450631,,51
2023,57450632,,51
2023,55776611,,51
2023,57450634,,51
2023,57450635,,51
2023,55776616,,51
2023,57412715,,51
2023,57412743,,52
2023,57412744,,52
2023,57412772,,51
2023,57412792,,51
2023,57412793,,51
2023,57412811,,51
2023,57412819,,51
2023,57412828,,51
2023,57412672,,51
2023,57412689,,3
2023,57412689,,52
2023,57412688,,51
2023,57412707,,51
2023,57412726,,53
2023,57412747,,51
2023,57412763,,51
2023,57412787,,51
2023,57412804,,51
2023,57412839,,51
2023,57412720,,51
2023,57412750,,51
2023,57412778,,51
2023,57412798,,51
2023,57412820,,51
2023,57412835,,51
2023,57412859,,51
2023,57412816,,51
2023,57412829,,51
2023,52835517,,51
2023,57450510,,51
2023,57450512,,51
2023,57450514,,51
2023,57450515,,51
2023,57450513,,51
2023,57450516,,51
2023,57450517,,52
2023,57450519,,51
2023,57450518,,51
2023,57450521,,51
2023,57450523,,51
2023,57450525,,51
2023,57450520,,51
2023,55776273,,51
2023,52985770,,51
2023,55776279,,51
2023,55776285,,51
2023,56657303,,51
2023,56657311,,51
2023,50979278,,51
2023,57411721,,51
2023,52835839,,51
2023,56657323,,51
2023,52835842,,51
2023,52835843,,51
2023,52985773,,51
2023,52985775,,51
2023,52985781,,51
2023,52985769,,52
2023,52985772,,51
2023,55776315,,51
2023,57413458,,51
2023,57413467,,51
2023,57413390,,51
2023,57413416,,51
2023,57413425,,51
2023,57413451,,3
2023,57413481,,51
2023,57413455,,51
2023,57413412,,51
2023,57413401,,51
2023,57413402,,51
2023,57413426,,51
2023,57413429,,51
2023,57413430,,51
2023,57413431,,51
2023,57413460,,51
2023,52986077,,51
2023,51493917,,51
2023,52916721,,51
2023,57413489,,3
2023,57413489,,52
2023,52916732,,51
2023,52986085,,51
2023,57413417,,51
2023,57413440,,51
2023,52835514,,51
2023,52985686,,51
2023,52985684,,51
2023,52835923,,51
2023,50969615,,51
2023,57413247,,51
2023,51493952,,51
2023,52916155,,51
2023,52985578,,51
2023,52916067,,51
2023,57411319,,51
2023,57411308,,51
2023,52916073,,51
2023,52985574,,52
2023,52916087,,51
2023,57411274,,51
2023,57411284,,51
2023,57411298,,51
2023,57411318,,51
2023,52916271,,51
2023,57411351,,51
2023,57411358,,51
2023,52916090,,51
2023,52985581,,51
2023,57411388,,51
2023,52916108,,51
2023,57411338,,51
2023,57411354,,51
2023,52985582,,51
2023,52916103,,51
2023,57411289,,51
2023,57411296,,51
2023,57411304,,51
2023,57411314,,51
2023,52985593,,51
2023,52916112,,51
2023,57411330,,51
2023,52985592,,51
2023,52985591,,51
2023,57411346,,51
2023,57411369,,51
2023,57411386,,51
2023,57411329,,51
2023,52916107,,51
2023,57411335,,51
2023,57411363,,51
2023,52916106,,52
2023,57411293,,51
2023,57411361,,51
2023,57411320,,51
2023,57411339,,51
2023,57411317,,51
2023,57411364,,3
2023,57411378,,51
2023,52916114,,51
2023,57411400,,51
2023,52916116,,51
2023,57411412,,51
2023,52916125,,51
2023,52916111,,51
2023,57411370,,51
2023,52985598,,51
2023,57411498,,51
2023,57411410,,51
2023,57411434,,51
2023,57411446,,51
2023,57411467,,51
2023,57411393,,51
2023,57411427,,51
2023,57411447,,51
2023,57411457,,51
2023,57411455,,51
2023,57411471,,51
2023,57411487,,51
2023,52916115,,51
2023,57411424,,51
2023,52916118,,51
2023,57411437,,51
2023,57411483,,51
2023,57411503,,51
2023,57411504,,51
2023,52916122,,51
2023,52916126,,51
2023,57411545,,51
2023,57411511,,51
2023,57411516,,51
2023,57411532,,9
2023,51844886,,51
2023,57486409,,51
2023,54507367,,51
2023,51844889,,51
2023,52986032,,51
2023,51844891,,52
2023,51844894,,51
2023,54507374,,51
2023,52986022,,51
2023,52834997,,51
2023,52834998,,51
2023,52835003,,51
2023,52986062,,51
2023,50969408,,51
2023,57486411,,51
2023,57486412,,51
2023,50969409,,51
2023,54507357,,51
2023,54507384,,51
2023,55775843,,51
2023,55775916,,51
2023,55775923,,51
2023,54507302,,6
2023,57411057,,3
2023,57411057,,53
2023,55775934,,51
2023,55775889,,51
2023,55775893,,52
2023,55775894,,51
2023,55775898,,51
2023,52835070,,51
2023,55775900,,52
2023,55775903,,52
2023,57411061,,51
2023,52835093,,51
2023,54507318,,51
2023,57411076,,51
2023,52835067,,51
2023,52835072,,51
2023,52835073,,51
2023,57411085,,51
2023,57411097,,51
2023,57411113,,51
2023,52835074,,51
2023,57411123,,51
2023,52835090,,51
2023,57411139,,51
2023,57411154,,51
2023,55775915,,51
2023,57411170,,51
2023,52835092,,51
2023,57411124,,51
2023,55775925,,51
2023,52835083,,51
2023,52835087,,51
2023,52835094,,51
2023,57411133,,51
2023,57411066,,51
2023,57411071,,51
2023,57411078,,51
2023,57411088,,51
2023,57411104,,51
2023,57411106,,51
2023,57411107,,51
2023,57411108,,51
2023,57411126,,51
2023,57411166,,51
2023,57411177,,51
2023,57411193,,51
2023,57411202,,51
2023,57411102,,51
2023,57411115,,51
2023,57411125,,51
2023,57411138,,51
2023,57411152,,51
2023,57411145,,51
2023,57411158,,51
2023,57411175,,51
2023,57411185,,51
2023,57411194,,51
2023,57411211,,51
2023,52835108,,51
2023,52835112,,51
2023,52835141,,51
2023,52835106,,51
2023,52835149,,51
2023,52835110,,51
2023,52835107,,51
2023,52835113,,51
2023,52835120,,51
2023,54507322,,51
2023,54507336,,51
2023,52835148,,51
2023,55775917,,51
2023,54507324,,51
2023,52835130,,51
2023,52835128,,51
2023,54507314,,51
2023,52835143,,51
2023,52835126,,51
2023,52835137,,51
2023,52835156,,51
2023,52835163,,51
2023,54507331,,51
2023,52835147,,51
2023,52835138,,51
2023,52835142,,51
2023,54507342,,51
2023,54507493,,51
2023,52835337,,51
2023,52835165,,51
2023,52835425,,51
2023,52835155,,51
2023,52835196,,51
2023,54507356,,51
2023,52835168,,51
2023,57411110,,51
2023,52835170,,51
2023,54507363,,51
2023,52835173,,51
2023,52835200,,51
2023,54507503,,51
2023,54507521,,53
2023,52835180,,51
2023,52835186,,51
2023,54507519,,51
2023,52835182,,51
2023,54507528,,51
2023,52835198,,51
2023,52835212,,51
2023,52835213,,51
2023,52835189,,51
2023,54507343,,51
2023,52835215,,51
2023,52835224,,51
2023,54507345,,51
2023,52835228,,51
2023,52835229,,51
2023,54507370,,51
2023,54507359,,51
2023,52835245,,51
2023,57411155,,51
2023,52835238,,51
2023,52835239,,51
2023,54507349,,51
2023,54507351,,51
2023,55775928,,51
2023,57411180,,51
2023,52835246,,51
2023,52835247,,51
2023,54507358,,51
2023,54507371,,51
2023,52835256,,51
