data_year,bias_id,offense_id
2024,88,233825258
2024,88,237292220
2024,88,233825261
2024,88,233825262
2024,88,223051392
2024,88,246475650
2024,88,237292222
2024,88,237292223
2024,88,237292224
2024,88,237292225
2024,88,240132313
2024,88,237292227
2024,88,237292228
2024,88,237292229
2024,88,237292230
2024,88,237292231
2024,88,240132315
2024,88,237292233
2024,88,237292234
2024,88,237292235
2024,88,237292236
2024,88,240132316
2024,88,237292238
2024,88,237292239
2024,88,237292240
2024,88,237292241
2024,88,237292242
2024,43,237292243
2024,88,237292244
2024,88,237292245
2024,88,226021375
2024,88,237292246
2024,88,237292247
2024,88,237292248
2024,88,237292249
2024,88,237292250
2024,88,237292251
2024,88,237292252
2024,88,231028179
2024,88,237292253
2024,88,237292254
2024,88,237292255
2024,88,237292256
2024,88,237292257
2024,88,226021376
2024,88,237292258
2024,88,237292259
2024,88,237292260
2024,88,237292261
2024,88,237292262
2024,88,240132318
2024,88,237292264
2024,88,222555267
2024,88,222555268
2024,88,237292265
2024,88,237292266
2024,88,237292267
2024,88,237292268
2024,88,237292269
2024,88,237292270
2024,88,237292271
2024,88,237292272
2024,88,223051394
2024,88,223051395
2024,88,237292273
2024,88,237292274
2024,88,237292275
2024,88,237292276
2024,88,246475651
2024,88,237292277
2024,88,240132320
2024,88,237292279
2024,88,237292280
2024,88,223051396
2024,88,243558627
2024,88,237292282
2024,88,237292283
2024,88,240132321
2024,88,240132322
2024,88,223051397
2024,88,240132323
2024,88,240132324
2024,88,240132328
2024,88,240132329
2024,88,240132330
2024,88,240132331
2024,88,240132333
2024,88,240132334
2024,88,240132335
2024,88,240132336
2024,88,240132338
2024,88,240132339
2024,88,243558628
2024,88,240132341
2024,88,240132343
2024,88,240132344
2024,88,240132345
2024,88,240132347
2024,88,240132348
2024,88,240132349
2024,88,243558629
2024,88,223051398
2024,88,240132352
2024,88,240132355
2024,88,226021377
2024,88,243558630
2024,88,246475652
2024,88,243558631
2024,88,246475653
2024,88,223051400
2024,88,243558633
2024,88,246475654
2024,88,243558635
2024,88,223051401
2024,88,246475655
2024,88,246475656
2024,88,243558638
2024,88,243558639
2024,88,246475658
2024,88,246475661
2024,88,243558642
2024,88,243558643
2024,88,243558644
2024,88,246475662
2024,88,243558646
2024,88,243558647
2024,88,243558648
2024,88,223051402
2024,88,243558649
2024,88,246475664
2024,88,246475666
2024,88,243558652
2024,88,243558653
2024,88,246475668
2024,88,223051403
