data_year,property_id,incident_id,prop_loss_id,stolen_count,recovered_count
2024,189620652,196991254,7,,
2024,189620654,196991257,7,,
2024,181730531,187645078,7,,
2024,192132415,200017307,4,,
2024,192132416,200017308,5,,
2024,192132417,200017308,7,,
2024,192132418,200017309,7,,
2024,192132419,200017310,1,,
2024,194216352,202493872,4,,
2024,192132421,200017313,7,,
2024,192132422,200017314,1,,
2024,192132423,200017315,7,,
2024,192132424,200017316,7,,
2024,192132425,200017318,7,,
2024,192132426,200017321,7,,
2024,194216355,202493875,4,,
2024,192132428,200017323,7,,
2024,192132429,200017324,1,,
2024,192132430,200017325,7,,
2024,192132431,200017326,4,,
2024,192132432,200017330,1,,
2024,183922241,190213187,7,,
2024,192132433,200017331,7,,
2024,192132434,200017332,7,,
2024,192132435,200017333,1,,
2024,192132436,200017334,7,,
2024,192132437,200017335,7,,
2024,192132438,200017336,7,,
2024,192132439,200017337,7,,
2024,187585739,194561439,5,,
2024,192132440,200017338,1,,
2024,192132441,200017339,7,,
2024,192132442,200017340,1,,
2024,192132443,200017341,4,,
2024,183922242,190213188,7,,
2024,192132444,200017342,1,,
2024,192132445,200017344,7,,
2024,192132446,200017345,7,,
2024,192132447,200017346,7,,
2024,192132448,200017348,7,,
2024,181372220,187212381,7,,
2024,192132449,200017349,4,,
2024,192132450,200017350,4,,
2024,192132451,200017351,7,,
2024,192132452,200017352,7,,
2024,192132453,200017353,5,,
2024,192132454,200017353,7,,
2024,192132455,200017354,4,,
2024,192132456,200017355,1,,
2024,181730533,187645080,4,,
2024,192132457,200017356,4,,
2024,192132458,200017357,3,,
2024,192132459,200017357,7,,
2024,198894835,208030387,7,,
2024,192132460,200017358,7,,
2024,194216358,202493879,4,,
2024,192132462,200017360,4,,
2024,192132463,200017361,4,,
2024,181730534,187645081,7,,
2024,196748999,205494367,5,,
2024,196749000,205494367,7,,
2024,192132466,200017363,7,,
2024,192132467,200017364,7,,
2024,194216359,202493880,7,,
2024,194216360,202493881,7,,
2024,181730535,187645082,4,,
2024,194216361,202493882,7,,
2024,194216362,202493883,7,,
2024,194216364,202493887,1,,
2024,194216365,202493888,4,,
2024,194216368,202493892,7,,
2024,194216369,202493893,7,,
2024,194216370,202493894,7,,
2024,194216371,202493897,7,,
2024,194216372,202493899,1,,
2024,194216374,202493902,7,,
2024,194216375,202493903,7,,
2024,194216377,202493905,4,,
2024,194216378,202493906,1,,
2024,194216379,202493907,7,,
2024,196749001,205494369,7,,
2024,194216382,202493913,7,,
2024,183922243,190213189,7,,
2024,196749002,205494370,7,,
2024,196749003,205494371,7,,
2024,198894836,208030389,7,,
2024,196749005,205494373,7,,
2024,196749006,205494375,1,,
2024,181730537,187645086,1,,
2024,198894837,208030391,7,,
2024,198894838,208030392,7,,
2024,196749009,205494378,4,,
2024,196749010,205494379,7,,
2024,198894839,208030394,4,,
2024,198894842,208030396,7,,
2024,196749013,205494382,7,,
2024,196749014,205494383,1,,
2024,196749015,205494384,7,,
2024,198894843,208030397,4,,
2024,196749017,205494386,7,,
2024,196749018,205494387,1,,
2024,196749019,205494387,7,,
2024,181730538,187645087,1,,
2024,196749020,205494388,4,,
2024,198894845,208030399,4,,
2024,198894847,208030401,7,,
2024,196749023,205494392,4,,
2024,198894849,208030403,7,,
2024,181730539,187645088,7,,
2024,181730540,187645089,7,,
2024,181730541,187645090,7,,
2024,181730542,187645091,7,,
2024,181730543,187645092,7,,
2024,181730544,187645093,7,,
2024,181730545,187645094,4,,
2024,181730546,187645095,7,,
2024,181730547,187645096,7,,
2024,198894850,208030404,4,,
2024,181730549,187645098,7,,
