data_year,victim_id,injury_id
2024,222826223,4
2024,219352226,4
2024,222826231,5
2024,225660746,5
2024,222826238,4
2024,222826239,5
2024,222826246,5
2024,222826248,4
2024,222826249,5
2024,222826254,5
2024,222826264,5
2024,225660749,4
2024,225660762,4
2024,225660763,4
2024,225660769,5
2024,229098325,5
2024,225660774,4
2024,208597126,1
2024,208597126,4
2024,225660785,4
2024,231999968,4
2024,231999970,5
2024,208597138,5
2024,208108117,5
2024,211556338,4
2024,211556339,4
2024,225660792,5
2024,211556356,5
2024,216553592,4
2024,213561456,4
2024,208108134,5
2024,213561473,5
2024,211556367,5
2024,231999988,1
2024,231999988,6
2024,231999988,8
2024,225660793,4
2024,215521026,5
2024,225660794,5
2024,215521033,4
2024,215521035,5
2024,215521036,5
2024,216553594,6
2024,215521037,5
2024,215521038,5
2024,208597148,4
2024,215521060,5
2024,215521061,5
2024,215521063,4
2024,215521062,4
2024,215521068,5
2024,219352234,4
2024,216553619,5
2024,219352235,2
2024,219352235,3
2024,219352235,6
2024,216553623,5
2024,216553626,4
2024,219352240,5
2024,219352244,4
2024,219352246,4
2024,219352251,5
2024,219352252,4
2024,222826289,4
2024,222826290,5
2024,211556368,5
2024,219352267,4
2024,219352268,5
2024,219352272,4
2024,222826293,5
2024,218516422,5
2024,218516425,4
2024,218516427,5
2024,218516434,4
2024,218516437,5
2024,218516438,5
2024,218516445,4
2024,219352309,5
2024,219352310,5
2024,230007765,5
2024,219352314,4
2024,206313502,4
2024,219352316,4
2024,223907018,5
2024,223907020,2
2024,223907021,4
2024,223907030,4
2024,225660808,5
2024,208108204,5
2024,223907036,4
2024,226519142,4
2024,232000051,4
2024,232000053,4
2024,223907039,5
2024,226519156,4
2024,225660816,4
2024,225660817,4
2024,225660818,4
2024,225660819,5
2024,226519159,4
2024,226519161,4
2024,226519162,4
2024,226519168,4
2024,208108214,5
2024,210734962,4
2024,210734965,4
2024,210734966,4
2024,210734968,4
2024,212523855,4
2024,210734975,4
2024,216099989,6
2024,212523864,4
2024,212523865,4
2024,212523866,4
2024,214580803,5
2024,214580806,5
2024,214580807,5
2024,216099995,4
2024,216099996,4
2024,216099998,5
2024,214580818,4
2024,206313781,5
2024,214580820,4
2024,216100008,5
2024,218516448,5
2024,216100010,5
2024,224230870,5
2024,213562891,5
2024,213562892,5
2024,224230873,4
2024,213562895,5
2024,213562896,4
2024,208110416,4
2024,225662521,4
2024,225662522,4
2024,215521973,4
2024,225662525,4
2024,228037092,5
2024,228037096,5
2024,228037100,5
2024,228037102,4
2024,228037109,5
2024,219354750,4
2024,215521980,5
2024,217813647,5
2024,217813648,4
2024,217813649,4
2024,208110417,5
2024,217813650,4
2024,217813651,4
2024,217813654,5
2024,206334705,4
2024,219354754,5
2024,219354755,4
2024,219354756,5
2024,219354758,5
2024,219354761,4
2024,219354766,4
2024,221638717,5
2024,208110426,5
2024,224230893,5
2024,224230894,5
2024,221638720,4
2024,221638721,4
2024,224230898,4
2024,224230899,4
2024,224230900,4
2024,224230901,5
2024,225662534,4
2024,225662536,4
2024,209989544,4
2024,225662537,5
2024,209989545,5
2024,228037112,4
2024,228037113,4
2024,228037114,4
2024,230010442,3
2024,209989552,5
2024,211557063,4
2024,206334714,4
2024,213562900,2
2024,213562900,4
2024,208110431,4
2024,211557065,4
2024,211557092,4
2024,215521984,4
2024,211557097,4
2024,211557098,4
2024,211557099,4
2024,213562908,4
2024,209989561,5
2024,209989562,4
2024,213562923,5
2024,213562924,5
2024,209989563,5
2024,213562925,5
2024,213562930,4
2024,206334720,5
2024,213562933,5
2024,209989564,5
2024,209989565,5
2024,215521990,5
2024,209989566,5
2024,215521992,4
2024,217813656,5
2024,217813657,5
2024,217813658,5
2024,206334730,5
2024,208110435,4
2024,219354768,5
2024,211557100,4
2024,217813676,5
2024,211557102,3
2024,219354790,2
2024,211557103,4
2024,206334734,4
2024,219354806,4
2024,221638727,5
2024,221638732,4
2024,221638735,5
2024,221638743,6
2024,213562940,4
2024,213561532,4
2024,207435972,4
2024,213561539,5
2024,215521089,4
2024,213561553,4
2024,213561554,5
2024,215521097,4
2024,215521098,4
2024,207435975,5
2024,208108419,5
2024,208108420,5
2024,208108421,5
2024,208108423,5
2024,208108424,4
2024,208108425,4
2024,215521117,5
2024,215521123,4
2024,215521124,4
2024,215521129,4
2024,208108428,5
2024,219352445,2
2024,215521145,4
2024,215521146,1
2024,215521148,5
2024,215521154,5
2024,208108437,4
2024,221055443,4
2024,217812772,4
2024,219352450,4
2024,223318825,5
2024,217812782,4
2024,217812786,5
2024,210302193,4
2024,217812795,5
2024,210302195,4
2024,210302196,4
2024,210302198,5
2024,217812802,5
2024,217812809,4
2024,219352460,1
2024,219352461,4
2024,212523894,5
2024,219352470,5
2024,219352472,4
2024,210302207,4
2024,210302212,4
2024,219352491,4
2024,219352492,4
2024,207435988,5
2024,223318826,6
2024,219352508,5
2024,219352510,4
2024,221055454,4
2024,219352515,4
2024,210302220,4
2024,210302222,5
2024,221055460,5
2024,221055461,4
2024,221055462,4
2024,221055465,5
2024,210302223,4
2024,212523898,4
2024,221055473,5
2024,221055478,5
2024,223318834,5
2024,223318836,5
2024,212523900,5
2024,212523901,4
2024,208108442,5
2024,232000130,5
2024,223318844,5
2024,213561567,4
2024,212523908,5
2024,225660878,5
2024,213561568,5
2024,223318876,4
2024,223318887,4
2024,225660881,5
2024,208108451,5
2024,223318899,4
2024,223318902,4
2024,212523912,5
2024,213561569,5
2024,225660885,5
2024,223318907,4
2024,223318909,4
2024,227220910,4
2024,223318913,5
2024,212523913,4
2024,227220912,2
2024,227220912,6
2024,227220912,7
2024,225660896,4
2024,225660912,4
2024,225660913,4
2024,225660914,4
2024,225660919,5
2024,225660940,5
2024,212523925,4
2024,225660948,5
2024,225660949,4
2024,227220928,4
2024,227220930,5
2024,227220934,4
2024,227220942,5
2024,229098538,4
2024,212523931,3
2024,227220964,4
2024,212523932,5
2024,208108471,5
2024,227220971,4
2024,227220976,5
2024,208108474,4
2024,212523934,4
2024,208108483,5
2024,213561576,4
2024,213561577,5
2024,207436001,4
2024,213561584,5
2024,213561586,4
2024,213561591,4
2024,213561594,4
2024,213561596,5
2024,215521170,4
2024,215521171,5
2024,215521173,4
2024,210302241,5
2024,215521177,4
2024,207436004,5
2024,207436006,4
2024,215521183,4
2024,207436008,5
2024,210302251,5
2024,223318920,5
2024,223318921,5
2024,215521191,5
2024,217812830,5
2024,217812832,5
2024,217812833,5
2024,217812834,5
2024,210302273,4
2024,219352527,5
2024,217812836,5
2024,212523941,4
2024,217812838,5
2024,217812842,4
2024,210302288,4
2024,217812847,4
2024,217812848,4
2024,207436013,5
2024,212523943,4
2024,219352544,5
2024,219352554,4
2024,219352556,4
2024,221055513,5
2024,210302318,4
2024,219352565,5
2024,219352566,5
2024,221055517,5
2024,207436011,4
2024,221055520,4
2024,221055521,4
2024,221055524,4
2024,221055527,5
2024,221055529,4
2024,207436026,4
2024,217812854,4
2024,207436027,5
2024,212523956,5
2024,221055537,5
2024,232000149,5
2024,223318929,4
2024,223318933,4
2024,221055543,5
2024,213561608,5
2024,223318937,3
2024,223318939,5
2024,223318941,5
2024,223318942,4
2024,223318943,5
2024,212523973,4
2024,212523977,5
2024,223318954,5
2024,223318959,5
2024,213561609,4
2024,229098556,5
2024,223318965,5
2024,223318968,4
2024,223318969,4
2024,225660960,5
2024,225660961,4
2024,213561612,5
2024,212524012,5
2024,225660968,4
2024,207436029,5
2024,225660972,4
2024,225660973,4
2024,212524033,5
2024,225660975,5
2024,213561615,4
2024,225660976,4
2024,225660987,5
2024,225660988,5
2024,225660989,4
2024,227220987,4
2024,227220988,5
2024,227220991,5
2024,227220992,4
2024,227220993,4
2024,227220997,4
2024,227220998,4
2024,212524079,5
2024,213561624,5
2024,213561625,5
2024,212524089,5
2024,229098558,5
2024,229098560,5
2024,227221006,4
2024,207436031,4
2024,229098565,5
2024,229098567,5
2024,213561631,5
