data_year,arrestee_id,nibrs_arrestee_weapon_id,weapon_id
2024,61127431,,51
2024,63724206,,51
2024,61127433,,51
2024,61127434,,51
2024,61941679,,51
2024,62881346,,51
2024,57103735,,51
2024,61941680,,51
2024,62881347,,51
2024,57103736,,51
2024,61941682,,51
2024,63724207,,51
2024,62881348,,51
2024,62881349,,51
2024,57103737,,51
2024,57103738,,51
2024,63724211,,51
2024,57940246,,51
2024,60142105,,1
2024,61941684,,51
2024,61941685,,51
2024,57940250,,51
2024,57940251,,51
2024,59372724,,51
2024,59372725,,51
2024,58534987,,52
2024,58534988,,51
2024,59082089,,51
2024,58534990,,51
2024,58534991,,51
2024,58534992,,51
2024,59082090,,51
2024,59082091,,51
2024,59082092,,51
2024,63724212,,51
2024,63724213,,51
2024,63724214,,51
2024,63724215,,51
2024,63724216,,51
2024,61941686,,51
2024,61941687,,51
2024,59082095,,51
2024,59082096,,51
2024,57103742,,51
2024,59082097,,52
2024,61941688,,51
2024,59082099,,51
2024,59082098,,51
2024,60142112,,51
2024,60142113,,51
2024,59372734,,51
2024,60142114,,51
2024,59372737,,51
2024,59372738,,51
2024,60142115,,51
2024,60142117,,51
2024,60142118,,51
2024,61127438,,51
2024,61127439,,51
2024,61127440,,51
2024,57940253,,51
2024,60142119,,51
2024,60142120,,51
2024,60142121,,51
2024,61127441,,51
2024,61127442,,51
2024,60142122,,51
2024,59920547,,51
2024,60142124,,51
2024,60142125,,51
2024,59920548,,51
2024,59920549,,51
2024,59920550,,51
2024,59920551,,51
2024,60142126,,51
2024,59920553,,51
2024,63146022,,51
2024,62169993,,51
2024,62169994,,51
2024,60142129,,51
2024,56499721,,51
2024,60142130,,51
2024,61427607,,51
2024,63724229,,51
2024,56971889,,51
2024,61427608,,51
2024,61427609,,51
2024,62169995,,51
2024,61941696,,51
2024,56971896,,51
2024,61427611,,51
2024,61941697,,51
2024,58822960,,51
2024,58822961,,51
2024,63724230,,51
2024,61427613,,13
2024,63724231,,51
2024,61427614,,51
2024,62169998,,51
2024,61941698,,51
2024,61941699,,51
2024,61941700,,51
2024,61941701,,51
2024,62170000,,51
2024,62170001,,51
2024,62170002,,51
2024,57708805,,51
2024,62170003,,51
2024,62170004,,51
2024,63146024,,51
2024,63146025,,52
2024,62170007,,52
2024,62170008,,51
2024,62170009,,51
2024,60142131,,51
2024,56971899,,51
2024,58221079,,51
2024,57708807,,51
2024,57708809,,51
2024,57708810,,51
2024,56971901,,51
2024,57708811,,51
2024,57708812,,51
2024,57708813,,51
2024,57708814,,51
2024,58221080,,51
2024,57708816,,51
2024,57708817,,51
2024,59246600,,51
2024,58221082,,51
2024,58221083,,51
2024,58822962,,51
2024,60142132,,51
2024,59246602,,51
2024,59246604,,51
2024,56499782,,51
2024,62170010,,51
2024,59246606,,51
2024,58822964,,51
2024,59246607,,51
2024,58822965,,51
2024,58822966,,51
2024,59246608,,51
2024,59246609,,51
2024,59920554,,51
2024,59920555,,51
2024,59246610,,51
2024,61528750,,51
2024,58535579,,51
2024,61942414,,51
2024,61528751,,51
2024,58535580,,51
2024,58535581,,51
2024,61528752,,51
2024,63147058,,51
2024,60801016,,51
2024,56972703,,51
2024,59082276,,51
2024,59082277,,51
2024,63147059,,51
2024,63147060,,51
2024,62603204,,52
2024,62603205,,51
2024,59082278,,51
2024,59082279,,1
2024,59082279,,5
2024,59082280,,1
2024,59082280,,5
2024,63724558,,51
2024,60142983,,51
2024,59082282,,51
2024,59718107,,51
2024,59718108,,51
2024,59718109,,51
2024,59718110,,51
2024,59718111,,51
2024,59718112,,51
2024,59718113,,51
2024,59718114,,51
2024,59718115,,51
2024,56504712,,51
2024,60142986,,51
2024,60142987,,51
2024,60142988,,51
2024,60142989,,51
2024,61528753,,51
2024,60142990,,51
2024,60142991,,51
2024,60142992,,51
2024,60142993,,51
2024,56504713,,52
2024,60801017,,53
2024,56504714,,51
2024,60801018,,52
2024,61528754,,51
2024,60801020,,51
2024,60801021,,51
2024,56972704,,51
2024,61528755,,51
2024,61528756,,51
2024,61528757,,51
2024,61528758,,51
2024,61528759,,51
2024,63147061,,51
2024,61942416,,51
2024,61942418,,51
2024,56972705,,51
2024,57503257,,51
2024,61942419,,51
2024,61942420,,52
2024,62603206,,51
2024,62603207,,51
2024,63147062,,53
2024,57503258,,1
2024,58535583,,51
2024,58535584,,51
2024,57940564,,51
2024,57503261,,51
2024,58535585,,51
2024,56972706,,51
2024,57940565,,51
2024,56972707,,51
2024,57940566,,51
2024,59082283,,51
2024,56504715,,51
2024,58535586,,51
2024,57503262,,51
2024,57503263,,51
2024,57503264,,51
2024,57503265,,51
2024,57503266,,51
2024,57503267,,51
2024,56972708,,51
2024,59082284,,51
2024,59718116,,51
2024,56972709,,51
2024,59718117,,51
2024,60142994,,51
2024,57940567,,51
2024,59718118,,51
2024,57940568,,51
2024,60801022,,51
2024,62603208,,51
2024,57940569,,53
2024,57940570,,53
2024,57940571,,51
2024,57940572,,51
2024,57940573,,51
2024,60801023,,51
2024,56504717,,51
2024,60801024,,51
2024,60801025,,51
2024,60801026,,51
2024,58535590,,51
2024,58535024,,51
2024,58535025,,51
2024,59082110,,51
2024,56787736,,51
2024,59082111,,52
2024,59082112,,51
2024,56971984,,51
2024,58535027,,51
2024,59082113,,51
2024,60142171,,51
2024,56971986,,51
2024,59082114,,51
2024,59082115,,51
2024,56971988,,51
2024,56971989,,51
2024,59082116,,51
2024,56971990,,51
2024,59717874,,51
2024,59717875,,51
2024,56787737,,51
2024,59717876,,51
2024,56971991,,51
2024,59082119,,51
2024,56971993,,51
2024,62881407,,51
2024,62881408,,51
2024,57587849,,51
2024,59717877,,51
2024,56971995,,51
2024,59717878,,51
2024,60142172,,51
2024,57587850,,51
2024,63724242,,51
2024,62881410,,51
2024,57587851,,51
2024,56971998,,51
2024,56787738,,51
2024,56972000,,51
2024,60142173,,51
2024,59717881,,51
2024,59717882,,51
2024,60142174,,51
2024,60142175,,51
2024,60142176,,51
2024,59717886,,51
2024,57587852,,51
2024,59717887,,51
2024,57587853,,51
2024,59717888,,51
2024,60142177,,51
2024,57587854,,51
2024,57587855,,51
2024,60636475,,51
