data_year,victim_id,offense_id
2024,219352223,233825258
2024,222826223,237292220
2024,219352226,233825261
2024,219352226,233825262
2024,208597118,223051392
2024,231999966,246475650
2024,222826225,237292222
2024,222826226,237292223
2024,222826227,237292224
2024,222826228,237292225
2024,222826229,237292225
2024,225660744,240132313
2024,222826231,237292227
2024,222826232,237292228
2024,222826233,237292229
2024,222826234,237292230
2024,222826235,237292231
2024,225660746,240132315
2024,222826237,237292233
2024,222826238,237292234
2024,222826239,237292235
2024,222826240,237292236
2024,225660747,240132316
2024,222826242,237292238
2024,222826243,237292239
2024,222826244,237292240
2024,222826245,237292241
2024,222826246,237292242
2024,222826247,237292243
2024,222826248,237292244
2024,222826249,237292244
2024,222826250,237292245
2024,211556329,226021375
2024,222826251,237292246
2024,222826252,237292247
2024,222826253,237292247
2024,222826254,237292248
2024,222826255,237292249
2024,222826256,237292250
2024,222826257,237292251
2024,222826258,237292252
2024,216553586,231028179
2024,216553587,231028179
2024,222826259,237292253
2024,222826260,237292254
2024,222826261,237292255
2024,222826261,237292256
2024,222826262,237292257
2024,211556330,226021376
2024,222826263,237292258
2024,222826264,237292259
2024,222826265,237292260
2024,222826266,237292261
2024,222826267,237292262
2024,225660749,240132318
2024,222826269,237292264
2024,208108120,222555267
2024,208108120,222555268
2024,222826270,237292265
2024,222826271,237292266
2024,222826272,237292267
2024,222826273,237292268
2024,222826273,237292269
2024,222826274,237292270
2024,222826275,237292271
2024,222826276,237292272
2024,208597121,223051395
2024,208597122,223051394
2024,222826277,237292273
2024,222826278,237292274
2024,222826278,237292275
2024,222826279,237292276
2024,231999967,246475651
2024,222826280,237292277
2024,222826281,237292277
2024,225660751,240132320
2024,222826283,237292279
2024,222826284,237292280
2024,208597123,223051396
2024,229098324,243558627
2024,222826286,237292282
2024,222826287,237292283
2024,225660752,240132321
2024,225660753,240132322
2024,208597124,223051397
2024,208597125,223051397
2024,225660754,240132323
2024,225660755,240132324
2024,225660760,240132328
2024,225660761,240132329
2024,225660762,240132330
2024,225660763,240132331
2024,225660765,240132333
2024,225660765,240132334
2024,225660766,240132335
2024,225660767,240132336
2024,225660769,240132338
2024,225660770,240132339
2024,229098325,243558628
2024,225660772,240132341
2024,225660774,240132343
2024,225660775,240132344
2024,225660776,240132345
2024,225660778,240132347
2024,225660779,240132348
2024,225660780,240132349
2024,229098326,243558629
2024,229098327,243558629
2024,229098328,243558629
2024,208597126,223051398
2024,225660785,240132352
2024,225660788,240132355
2024,211556331,226021377
2024,229098329,243558630
2024,231999968,246475652
2024,229098330,243558631
2024,231999969,246475653
2024,208597128,223051400
2024,229098332,243558633
2024,231999970,246475654
2024,229098334,243558635
2024,208597129,223051401
2024,231999971,246475655
2024,231999972,246475656
2024,229098337,243558638
2024,229098338,243558639
2024,231999974,246475658
2024,231999977,246475661
2024,229098341,243558642
2024,229098342,243558643
2024,229098343,243558644
2024,231999978,246475662
2024,229098345,243558646
2024,229098346,243558647
2024,229098346,243558648
2024,208597130,223051402
2024,229098347,243558649
2024,231999980,246475664
2024,231999982,246475666
2024,229098350,243558652
2024,229098351,243558653
2024,231999984,246475668
2024,208597131,223051403
2024,208597132,223051404
2024,208597133,223051405
2024,208597134,223051406
2024,208597134,223051407
2024,208597135,223051408
2024,208597136,223051409
2024,208597137,223051410
2024,208597138,223051411
2024,208597139,223051412
2024,208597140,223051413
2024,231999985,246475669
2024,208597142,223051415
2024,211556332,226021378
2024,219352227,233825263
2024,208108117,222555264
2024,211556334,226021380
2024,225660790,240132357
2024,225660790,240132358
2024,225660791,240132359
2024,211556337,226021384
2024,208108127,222555275
2024,211556338,226021385
2024,211556339,226021385
2024,211556340,226021386
2024,225660792,240132360
2024,211556342,226021388
2024,213561444,228035283
2024,213561445,228035283
2024,211556345,226021390
2024,211556345,226021391
2024,211556346,226021393
2024,211556347,226021392
2024,211556348,226021394
2024,211556349,226021394
2024,211556350,226021395
2024,211556351,226021396
2024,211556352,226021397
2024,211556353,226021398
2024,216553588,231028180
2024,208108125,222555273
2024,211556355,226021400
2024,211556356,226021401
2024,211556356,226021402
2024,211556357,226021403
2024,213561446,228035284
2024,211556359,226021405
2024,213561447,228035285
2024,213561448,228035286
2024,208108129,222555277
2024,216553591,231028182
2024,211556363,226021409
2024,211556363,226021410
2024,213561450,228035288
2024,213561450,228035289
2024,213561451,228035290
2024,213561452,228035291
2024,216553592,231028183
2024,213561454,228035293
2024,213561455,228035294
2024,213561456,228035295
2024,213561456,228035296
2024,213561457,228035297
2024,215521005,229999238
2024,213561459,228035299
2024,208108130,222555278
2024,213561460,228035300
2024,213561461,228035301
2024,215521006,229999239
2024,215521007,229999240
2024,215521008,229999240
2024,213561465,228035304
2024,213561466,228035305
2024,208108134,222555282
2024,215521009,229999241
2024,213561468,228035307
2024,213561469,228035308
2024,215521010,229999242
2024,213561470,228035309
2024,215521011,229999243
2024,215521012,229999244
