data_year,criminal_act_id,offense_id
2021,6,162898357
2021,6,162898335
2021,6,162901929
2021,6,171494067
2021,6,171494068
2021,5,171461147
2021,6,163925373
2021,6,163926199
2021,6,163925396
2021,6,170341237
2021,6,167783665
2021,6,170341298
2021,8,171461204
2021,6,163925417
2021,6,179622722
2021,6,179622723
2021,5,171461011
2021,6,171461033
2021,5,166398563
2021,6,166398567
2021,6,171461380
2021,8,171461381
2021,3,171461074
2021,8,167783591
2021,3,171461069
2021,8,174371096
2021,6,166398791
2021,6,167783876
2021,2,171494287
2021,6,170341154
2021,6,167784013
2021,6,167784014
2021,6,167783924
2021,6,167783899
2021,6,169075224
2021,1,169073480
2021,8,170341356
2021,6,170341392
2021,6,170343449
2021,8,170341470
2021,2,171494508
2021,6,171494508
2021,6,171494509
2021,6,171494510
2021,6,170341594
2021,6,170341487
2021,6,170341447
2021,8,171494470
2021,6,174371374
2021,3,171494551
2021,6,171494551
2021,6,174371390
2021,8,174371646
2021,6,174371485
2021,7,174371595
2021,6,174371741
2021,6,174371742
2021,6,174371914
2021,6,174371915
2021,6,174371916
2021,2,174372030
2021,8,177342309
2021,6,174371991
2021,6,174372132
2021,6,174372091
2021,6,174372146
2021,1,174372130
2021,6,174372219
2021,6,174372253
2021,6,175617055
2021,6,175617313
2021,6,177342617
2021,6,175617272
2021,6,178981661
2021,8,177342764
2021,2,179622951
2021,3,177342808
2021,6,177342809
2021,6,177342870
2021,6,174370842
2021,6,167777862
2021,6,169071637
2021,3,169071824
2021,3,169071825
2021,8,171493460
2021,8,171493608
2021,8,171493640
2021,8,171493702
2021,8,171493760
2021,6,171493820
2021,8,171493873
2021,8,171493972
2021,8,171494026
2021,4,174370738
2021,8,174370792
2021,8,174370813
2021,8,175617564
2021,1,178981406
2021,6,171465831
2021,6,162902782
2021,6,162902785
2021,6,162902786
2021,2,162902803
2021,6,162899240
2021,6,162902806
2021,12,162902824
2021,6,162899245
2021,6,162902813
2021,8,166405782
2021,6,162902812
2021,6,162899247
2021,6,162902816
2021,6,162899248
2021,6,162902817
2021,6,162899249
2021,8,171466322
2021,6,171466259
2021,6,171466261
2021,6,166406458
2021,6,163925378
2021,8,163925358
2021,8,174379814
2021,1,166405542
2021,6,167786119
2021,6,167786120
2021,6,167786121
2021,3,166405939
2021,6,166405940
2021,6,166405941
2021,6,166405878
2021,6,166405879
2021,2,166405973
2021,6,167786207
2021,6,167786208
2021,6,166405947
2021,1,171466034
2021,6,167786196
2021,6,167786197
2021,6,167786236
2021,6,167786237
2021,6,170348608
2021,6,170348609
2021,6,167786251
2021,8,171466179
2021,6,171502144
2021,3,174379847
2021,6,167786099
2021,6,167786230
2021,6,167786231
2021,6,167786232
2021,8,167786366
2021,6,169079739
2021,6,169079740
2021,6,170348331
2021,6,169079688
2021,6,170348332
2021,6,170348291
2021,8,170348291
2021,6,170348292
2021,6,170348474
2021,6,170348790
2021,6,170348859
2021,6,170348968
2021,6,170348969
2021,6,170348479
2021,6,179624598
2021,1,174380144
2021,6,171502292
2021,6,171502240
2021,6,171502271
2021,6,171502445
2021,2,174379949
2021,6,171502435
2021,6,171502436
2021,6,173050244
2021,6,173050245
2021,6,173049774
2021,6,173049942
2021,6,173050090
2021,6,173049943
2021,8,174380384
2021,8,173050074
2021,6,173050310
2021,6,175855574
2021,6,175855619
2021,6,174380642
2021,6,177342224
2021,2,174380488
2021,3,175855645
2021,6,175621921
2021,6,174380802
2021,6,174380803
2021,6,179624551
2021,6,175622035
2021,6,175622068
2021,6,174380813
2021,6,175621896
2021,6,175621897
2021,6,175622093
2021,6,175622154
2021,6,175622187
2021,6,175622188
2021,6,176537175
2021,6,176537176
2021,6,176537246
2021,9,174378592
2021,6,175622017
2021,6,175622018
2021,14,175622092
2021,2,175622313
2021,6,175622338
2021,6,175622339
2021,3,176537362
2021,1,163931371
2021,3,166405467
2021,6,163931517
2021,9,174378593
2021,9,162898659
2021,6,163931486
2021,9,176141388
2021,6,163931470
2021,6,163931474
2021,1,163931524
2021,3,163931548
2021,8,166405694
2021,6,163931599
2021,3,167781658
2021,6,166405572
2021,6,162898661
2021,9,180849370
2021,4,174379817
2021,6,163931635
2021,3,163931655
2021,12,169079116
2021,3,166405762
2021,6,166405812
2021,6,176141365
2021,6,167781523
2021,6,166405890
2021,6,169079247
2021,3,166405894
2021,6,166405894
2021,6,166405922
2021,6,166405776
2021,6,174379932
2021,6,174379933
2021,7,167781867
2021,5,166405713
2021,6,166406076
2021,12,169079374
