data_year,weapon_id,offense_id,nibrs_weapon_id
2021,42,162898292,
2021,41,166398542,
2021,4,162898335,
2021,41,166398577,
2021,38,167783594,
2021,41,162898426,
2021,32,163926174,
2021,42,166398607,
2021,42,162898490,
2021,1,171461147,
2021,41,163925384,
2021,42,169072825,
2021,41,163925386,
2021,1,163925401,
2021,1,170341237,
2021,3,167783663,
2021,38,163925414,
2021,9,171461204,
2021,41,178981795,
2021,38,163926221,
2021,3,169072775,
2021,1,171494295,
2021,41,166398931,
2021,21,170341106,
2021,3,171461011,
2021,3,171461033,
2021,38,171494382,
2021,41,174371059,
2021,41,166398691,
2021,42,171461418,
2021,1,167783591,
2021,42,166398609,
2021,41,167783616,
2021,3,174371096,
2021,41,167783788,
2021,42,166398727,
2021,41,167783695,
2021,38,169072923,
2021,41,167783811,
2021,41,167783850,
2021,42,167783597,
2021,41,166398921,
2021,38,167783687,
2021,41,169072908,
2021,41,167783774,
2021,41,169072991,
2021,41,170341153,
2021,38,167783776,
2021,41,169072803,
2021,41,169075245,
2021,38,170341263,
2021,3,167783899,
2021,38,179622777,
2021,42,174371176,
2021,38,169073359,
2021,41,171494413,
2021,38,169073432,
2021,41,171494500,
2021,1,170341392,
2021,41,170341444,
2021,42,169073147,
2021,21,174371223,
2021,38,170343301,
2021,41,171494317,
2021,1,170343449,
2021,41,170343485,
2021,41,171494377,
2021,41,169073129,
2021,3,179622816,
2021,3,170341474,
2021,41,174371402,
2021,38,170341575,
2021,38,170341288,
2021,38,170341324,
2021,3,170341470,
2021,42,170341563,
2021,3,171494510,
2021,1,174371491,
2021,42,170341593,
2021,41,170341631,
2021,41,170341420,
2021,41,170341518,
2021,1,171494470,
2021,42,178981834,
2021,3,174371374,
2021,41,171494682,
2021,38,171494556,
2021,38,177342463,
2021,38,171494736,
2021,41,171494822,
2021,41,171494740,
2021,42,174371337,
2021,38,174371564,
2021,38,171494985,
2021,41,174371396,
2021,41,174371467,
2021,38,174371521,
2021,41,174371571,
2021,3,174371646,
2021,38,174371665,
2021,41,174371657,
2021,42,174371590,
2021,41,174371562,
2021,41,174371586,
2021,38,174371687,
2021,1,174371742,
2021,41,174371839,
2021,41,174371788,
2021,38,174372031,
2021,3,174371916,
2021,41,177342291,
2021,38,179622900,
2021,41,175617356,
2021,42,174372143,
2021,41,174371928,
2021,38,174372018,
2021,41,175616978,
2021,41,175617049,
2021,21,174372146,
2021,42,174372109,
2021,38,174372183,
2021,1,174372219,
2021,42,177342417,
2021,38,174372106,
2021,41,174372121,
2021,38,177342438,
2021,41,175617172,
2021,38,179622858,
2021,21,178981745,
2021,31,178981745,
2021,38,175617143,
2021,38,175617611,
2021,41,175617218,
2021,38,177342610,
2021,41,177342658,
2021,41,178981765,
2021,38,177342728,
2021,41,177342743,
2021,38,177342759,
2021,3,178981661,
2021,41,177342726,
2021,41,178981694,
2021,41,178981727,
2021,5,177342764,
2021,1,177342777,
2021,3,177342752,
2021,41,177342800,
2021,3,179622970,
2021,3,177342809,
2021,41,178981862,
2021,41,178981906,
2021,41,179623144,
2021,41,178981908,
2021,38,177342879,
2021,38,171460766,
2021,42,162898108,
2021,42,171493562,
2021,42,171460780,
2021,42,171457001,
2021,42,171460862,
2021,42,171460834,
2021,41,171493616,
2021,42,169071841,
2021,42,169071720,
2021,9,169071825,
2021,41,171493612,
2021,38,169071868,
2021,41,169072128,
2021,42,178981174,
2021,42,169072157,
2021,41,175616973,
2021,42,174370662,
2021,41,174370883,
2021,42,179620708,
2021,42,174371016,
2021,42,174371075,
2021,38,178981219,
2021,41,175616901,
2021,42,175616966,
2021,39,175617170,
2021,31,175617296,
2021,42,179620727,
2021,42,178981176,
2021,31,178981482,
2021,41,162898283,
2021,41,162899236,
2021,42,162902802,
2021,41,162902808,
2021,41,162902818,
2021,41,163925466,
2021,41,171465808,
2021,38,171465939,
2021,41,171466352,
2021,41,171466363,
2021,42,174380501,
2021,37,171466338,
2021,41,171466366,
2021,3,167786121,
2021,1,166405941,
2021,42,170348799,
2021,31,171466158,
2021,21,166406021,
2021,37,166406021,
2021,3,166405988,
2021,3,167786208,
2021,41,171466159,
2021,41,171502456,
2021,42,167786066,
2021,41,167786111,
2021,9,167786237,
2021,42,171502475,
2021,38,167786232,
2021,41,167786304,
2021,41,171466016,
2021,41,170348796,
2021,32,167782110,
2021,41,169079702,
2021,42,171466110,
2021,42,169079703,
2021,41,169079717,
2021,21,169079687,
2021,21,169079688,
2021,21,171466064,
2021,4,166406452,
2021,41,166406545,
2021,42,170348778,
2021,3,170348790,
2021,3,170348859,
2021,38,167782052,
2021,41,167782074,
2021,41,167782030,
2021,41,170348863,
2021,42,171502277,
2021,38,167782039,
2021,9,173050012,
2021,41,175855594,
2021,41,171502453,
2021,41,171502366,
2021,41,171502177,
2021,41,170348313,
2021,41,170348659,
2021,41,173050054,
2021,41,174380407,
2021,41,173050201,
2021,42,170348367,
2021,41,173050125,
2021,42,175855630,
2021,41,170348792,
2021,31,171502298,
2021,41,174380460,
2021,41,174380516,
2021,42,170348817,
2021,41,175622096,
2021,41,175622127,
2021,41,175622128,
2021,39,175621884,
2021,42,174380765,
2021,38,171502379,
2021,38,171502380,
2021,41,171502175,
2021,41,171502227,
2021,1,176537398,
2021,41,176537130,
2021,41,173049655,
2021,41,174380027,
2021,41,175622083,
2021,42,174380143,
2021,41,174380235,
2021,42,174380267,
2021,41,173049673,
2021,41,178996988,
2021,1,173049774,
2021,3,176537358,
2021,1,178996895,
2021,41,175855738,
2021,41,173049805,
2021,42,174380069,
2021,41,174380128,
2021,41,177342210,
2021,42,174380150,
2021,42,174380244,
2021,42,174380272,
2021,21,175855629,
2021,41,174380832,
2021,3,174380482,
2021,42,175855596,
2021,41,177342278,
2021,3,177342373,
2021,41,177342552,
2021,3,177342434,
2021,41,177342567,
2021,42,177342605,
2021,38,179624661,
2021,42,174378592,
2021,41,163931344,
2021,3,163931388,
2021,41,174379775,
2021,37,174379775,
2021,38,174379775,
2021,41,163931394,
2021,42,163931431,
2021,41,169079142,
2021,41,163931514,
2021,37,177342048,
2021,41,177342049,
2021,3,163931473,
2021,41,163931523,
2021,41,166405763,
2021,42,163931521,
2021,31,166405779,
2021,41,166405779,
2021,41,179622556,
2021,42,163926658,
2021,41,163931579,
2021,42,166405483,
2021,31,166405578,
2021,38,166405578,
2021,42,166405613,
2021,41,163926661,
2021,41,163926655,
2021,3,171501686,
2021,3,174379910,
2021,38,166405721,
2021,37,174378593,
2021,42,162898659,
2021,41,176141388,
2021,32,180849370,
2021,41,179622377,
2021,1,166405812,
2021,41,167781615,
2021,41,166405652,
2021,41,167781646,
2021,42,177342072,
2021,42,166405795,
2021,21,167781810,
2021,41,179622409,
2021,41,166405865,
2021,42,169079330,
2021,3,167781867,
2021,41,166405945,
2021,21,166405713,
2021,38,167781934,
2021,42,166405808,
2021,41,166405902,
2021,21,166405946,
2021,41,166406142,
2021,42,171465759,
2021,9,167781763,
2021,41,179622438,
2021,41,167781727,
2021,41,167781882,
2021,42,167781836,
2021,21,167781923,
2021,41,179622463,
2021,41,174380053,
2021,21,167781774,
2021,39,167781773,
2021,41,167781990,
2021,41,169079476,
2021,38,167781996,
2021,41,179622506,
2021,38,167781988,
2021,42,167782010,
2021,38,169079395,
2021,41,167781946,
2021,21,167782014,
2021,41,174379823,
2021,41,171465816,
2021,41,167782033,
2021,31,167782040,
2021,38,169078400,
2021,3,174380050,
2021,41,174379956,
2021,42,169079376,
2021,41,174380036,
2021,42,176141373,
2021,41,169079526,
2021,41,177342174,
2021,21,169079575,
2021,41,169079391,
2021,21,177342205,
2021,41,177342205,
2021,38,169079581,
2021,21,174380013,
2021,31,169079607,
2021,38,174380102,
2021,21,177342223,
2021,31,177342223,
2021,42,174380247,
2021,42,174380029,
2021,41,174380119,
2021,1,169079666,
2021,41,177342196,
2021,41,174380293,
2021,41,174380389,
2021,3,179622612,
2021,41,174380297,
2021,41,177342358,
2021,38,171465720,
2021,41,174380521,
2021,38,171465754,
2021,41,174380418,
2021,21,167785877,
2021,41,177342421,
2021,21,174380442,
2021,41,177342496,
2021,41,177342093,
2021,41,177342293,
2021,38,173048654,
2021,41,170347322,
2021,1,169078432,
2021,38,169078499,
2021,41,169078632,
2021,42,169078662,
2021,42,169078459,
2021,42,170347461,
2021,42,169078492,
2021,38,170347528,
2021,41,171500775,
2021,41,170347474,
2021,39,170347500,
2021,38,171500979,
2021,41,179622699,
2021,41,179622700,
2021,41,177344586,
2021,41,174380529,
2021,3,174380605,
2021,21,174380643,
2021,41,173048564,
2021,41,174380591,
2021,41,177342201,
2021,41,175621081,
2021,41,173048797,
2021,41,177342228,
2021,41,177342427,
2021,41,174380476,
2021,41,179622514,
2021,38,173048890,
2021,41,175621170,
2021,42,173048746,
2021,41,177342443,
2021,41,174378567,
2021,41,177342248,
2021,38,174378602,
2021,38,175621206,
2021,41,174380530,
2021,38,179622608,
2021,21,179622658,
2021,3,174380666,
2021,3,179622733,
2021,31,174380820,
2021,1,179622461,
2021,39,177344604,
2021,38,174380599,
2021,41,174380807,
2021,31,174380681,
2021,42,174380775,
2021,41,174380816,
2021,41,176141301,
2021,3,175621251,
2021,21,175621295,
2021,41,176141310,
2021,41,176141335,
2021,1,177342519,
2021,41,174380979,
2021,9,177342532,
2021,38,178995134,
2021,39,174380989,
2021,41,176141410,
2021,41,174381067,
2021,41,176141419,
2021,38,173041615,
2021,41,179622496,
2021,41,174381016,
2021,21,179622542,
2021,41,179622565,
2021,42,179622611,
2021,41,177342593,
2021,41,174380874,
2021,41,174380934,
2021,32,174381072,
2021,41,176141518,
2021,41,179622618,
2021,41,179622662,
2021,41,176141544,
2021,41,179622681,
2021,41,176141569,
2021,41,179622580,
2021,42,179622626,
2021,38,176141519,
2021,41,177342657,
2021,41,177342473,
2021,41,177342493,
2021,36,177342534,
2021,31,177342546,
2021,41,177342869,
2021,41,177342521,
2021,41,177342548,
2021,41,177342572,
2021,37,179622554,
2021,41,177342588,
2021,41,179622619,
2021,41,177342780,
2021,1,177342818,
2021,21,179622688,
2021,41,177342832,
2021,4,179622740,
2021,4,179622742,
2021,41,177342599,
2021,38,177342599,
2021,41,177342654,
2021,41,177342611,
2021,41,177342697,
2021,42,179622756,
2021,41,177342635,
2021,38,177342635,
2021,41,177342699,
2021,41,177342716,
2021,41,177342753,
2021,41,177342606,
2021,41,177342642,
2021,41,177342757,
2021,41,177342636,
2021,21,177342837,
2021,41,177342785,
2021,41,179623007,
2021,41,179623268,
2021,41,177342813,
2021,41,179623022,
2021,41,177342950,
2021,41,179623279,
2021,31,177342669,
2021,31,179623112,
2021,41,179623113,
2021,34,179623084,
2021,41,179623059,
2021,31,179623041,
2021,41,179623071,
2021,41,179623262,
2021,38,167777710,
2021,41,167777755,
2021,21,167777756,
2021,41,167777570,
2021,39,167777956,
2021,41,167777850,
2021,42,167777957,
2021,41,167777943,
2021,41,175855775,
2021,41,167777980,
2021,42,179619757,
2021,38,167778263,
2021,41,167778068,
2021,41,167778218,
2021,41,167778324,
2021,41,167778289,
2021,1,170339500,
2021,3,170339501,
2021,21,167778514,
2021,41,173041620,
2021,9,175855761,
2021,3,169069475,
2021,38,169069516,
2021,42,170339563,
2021,41,169069526,
2021,1,175855782,
2021,1,170339662,
2021,41,173041592,
2021,41,169069662,
2021,41,173041625,
2021,41,179619707,
2021,41,175854536,
2021,38,169069834,
2021,21,170339519,
2021,38,175617040,
2021,38,169069721,
2021,38,173041678,
2021,38,169071863,
2021,38,169069693,
2021,38,170339665,
2021,9,169069803,
2021,41,173041737,
2021,39,173041803,
2021,41,173041736,
2021,21,179619743,
2021,41,170341640,
2021,38,170339612,
2021,37,173041876,
2021,38,173041891,
2021,21,170339607,
2021,41,175854583,
2021,41,170339616,
2021,1,170339622,
2021,7,175854589,
2021,3,170339684,
2021,1,175854625,
2021,41,173041895,
2021,1,179621674,
2021,38,173041912,
2021,41,175854663,
2021,3,179621731,
2021,9,179621731,
2021,21,179621731,
2021,3,175854678,
2021,41,173042196,
2021,38,173042227,
2021,41,173041983,
2021,21,175854724,
2021,42,175617058,
2021,41,173042010,
2021,41,178978502,
2021,41,173042180,
2021,38,173042420,
2021,9,179619764,
2021,41,173042429,
2021,41,175616930,
2021,41,173042282,
2021,1,173042316,
2021,41,179619906,
2021,1,175616977,
2021,41,175854800,
2021,38,175617001,
2021,41,179619827,
2021,41,179619863,
2021,21,175617338,
2021,41,175854779,
2021,41,178978641,
2021,1,175854713,
2021,41,175617333,
2021,3,175617470,
2021,3,175617471,
2021,41,175617520,
2021,38,178978492,
2021,1,178978701,
2021,41,178978731,
2021,41,175617641,
2021,42,178978706,
2021,41,175617803,
2021,41,179619913,
2021,41,175617777,
2021,39,175617872,
2021,38,175854771,
2021,32,175854787,
2021,41,178978604,
2021,41,179619825,
2021,41,175854900,
2021,39,175855169,
2021,41,175855181,
2021,1,175854855,
2021,41,179619871,
2021,38,175854966,
2021,3,179619884,
2021,41,175854892,
2021,42,175854922,
2021,41,179620072,
2021,41,175855033,
2021,39,178978667,
2021,21,178978700,
2021,41,179620174,
2021,41,179619904,
2021,39,179619944,
2021,1,179619983,
2021,41,179619890,
2021,41,175856137,
2021,41,179619935,
2021,41,175855199,
2021,41,175855214,
2021,39,178981420,
2021,38,179620062,
2021,41,175855162,
2021,41,179620133,
2021,3,175855283,
2021,41,179620165,
2021,41,179619947,
2021,41,178978817,
2021,41,178978891,
2021,41,178978988,
2021,42,178978942,
2021,38,178978920,
2021,31,178978978,
2021,21,179619991,
2021,21,178979042,
2021,41,178979054,
2021,41,178979074,
2021,31,178979121,
2021,41,179620118,
2021,41,175614993,
2021,41,162903200,
2021,41,178979806,
2021,41,162899736,
2021,41,162903247,
2021,41,178980060,
2021,41,162899754,
2021,41,178980164,
2021,41,178980433,
2021,41,178980628,
2021,41,178980636,
2021,41,178980896,
2021,41,178980995,
2021,3,178980927,
2021,21,178981021,
2021,41,178981389,
2021,41,178981736,
2021,41,178981609,
2021,41,178981865,
