data_year,property_id,prop_desc_id,property_value,date_recovered,nibrs_prop_desc_id
2021,136532102,3,200,,
2021,136532104,3,3000,,
2021,136532107,3,5000,2021-01-03,
2021,136532111,3,5000,,
2021,136532111,20,122,,
2021,136532111,25,1,,
2021,136532111,61,600,,
2021,136532114,3,500,,
2021,136532101,38,400,,
2021,136532122,10,,,
2021,136532127,20,1310,,
2021,137288350,63,970,,
2021,136527545,63,121,,
2021,136527564,63,0,,
2021,136527533,63,829,2021-01-09,
2021,136532119,63,829,,
2021,136527551,3,20000,2021-01-10,
2021,136532135,3,20000,,
2021,136532135,63,800,,
2021,136527530,38,1,,
2021,136527528,6,100,,
2021,136532142,20,500,,
2021,136532215,10,1,,
2021,136532133,3,13000,,
2021,136532130,3,13000,2021-01-12,
2021,137288370,16,150,,
2021,137288370,19,68,,
2021,136527576,19,69,,
2021,136527556,26,269,,
2021,136532138,26,269,2021-01-15,
2021,136532200,60,150,,
2021,136532195,24,50,,
2021,136532148,3,40000,2021-01-23,
2021,136532151,3,40000,,
2021,136532161,35,1,,
2021,142948988,3,2000,,
2021,136527580,61,622,,
2021,137278815,10,1,,
2021,136532184,10,,,
2021,136532187,9,0,,
2021,136532172,63,0,,
2021,142972665,10,,,
2021,142972665,11,1,,
2021,136532190,63,25,,
2021,136527610,6,457,,
2021,136527610,63,50,,
2021,136532229,3,20000,,
2021,146075045,20,320,2021-01-26,
2021,146075045,25,50,2021-01-26,
2021,146075046,20,820,,
2021,146075046,25,50,,
2021,137278820,25,1,2021-01-26,
2021,137288373,25,1,,
2021,136527601,61,800,,
2021,137278812,3,18000,2021-01-29,
2021,137278812,26,300,2021-01-29,
2021,137288366,3,18000,,
2021,137288366,26,300,,
2021,136532223,25,125,,
2021,136528259,63,103,,
2021,137288395,25,800,,
2021,139163163,36,210,,
2021,136532831,3,1000,2021-01-03,
2021,139163163,42,2298,,
2021,139163163,63,680,,
2021,136532220,63,300,,
2021,136532833,3,1000,,
2021,137278823,8,1,,
2021,136528258,20,100,,
2021,137278823,63,30,,
2021,136528261,3,10000,,
2021,137288393,63,200,,
2021,136532832,6,10,,
2021,137278832,54,1000,,
2021,136528260,11,1,,
2021,137288405,10,,,
2021,136532829,38,1,,
2021,137278833,63,40,,
2021,142953262,20,400,,
2021,137288396,63,310,,
2021,137278844,3,30000,,
2021,142953285,38,800,,
2021,136532835,10,,,
2021,137288404,19,67,,
2021,136532835,16,1,,
2021,137288402,19,67,2021-02-10,
2021,137288401,61,730,,
2021,136528269,63,100,,
2021,136528267,20,400,,
2021,137288417,11,1,,
2021,137288420,20,3800,,
2021,136528264,63,10,,
2021,136532836,38,499,,
2021,137278836,20,900,,
2021,136528266,63,80,,
2021,142109568,30,108,,
2021,136528274,20,399,,
2021,142953204,6,1400,,
2021,137288409,3,1000,,
2021,136528276,2,58,,
2021,142953225,19,284,,
2021,137278839,3,150,,
2021,137288410,3,500,,
2021,140201244,34,9000,,
2021,140201245,6,2050,,
2021,140201245,16,1395,,
2021,140201245,17,5000,,
2021,140201245,26,2535,,
2021,140201245,28,1200,,
2021,140201245,36,1805,,
2021,140201245,38,1700,,
2021,140201245,45,1000,,
2021,140201245,47,0,,
2021,140201245,63,386,,
2021,137288411,3,500,,
2021,136532837,63,100,,
2021,137278845,3,500,,
2021,137288425,3,500,,
2021,136528279,10,,,
2021,137288423,3,500,,
2021,136528279,11,1,,
2021,137288426,3,100,,
2021,137288424,3,23000,,
2021,136528271,63,300,,
2021,137278843,3,23000,2021-02-15,
2021,137288428,63,350,,
2021,136528272,54,100,,
2021,140199524,10,,,
2021,136532843,63,50,,
2021,136528281,3,500,,
2021,137278847,63,756,,
2021,142109610,10,,,
2021,141163613,36,7168,,
2021,142953250,36,10,,
2021,142953251,36,9200,,
2021,142953251,54,1700,,
2021,142953274,29,200,,
2021,136528273,20,600,,
2021,136528286,19,40,,
2021,142953320,15,753,,
2021,142953320,19,8551,,
2021,136528275,20,701,,
2021,136528291,10,,,
2021,137288437,3,18600,2021-02-18,
2021,136528291,11,1,,
2021,137278853,3,18600,,
2021,137278846,3,5000,,
2021,139163182,63,250,,
2021,137288433,20,571,,
2021,139168592,20,1753,,
2021,139168592,47,0,,
2021,137278848,63,50,,
2021,136528288,3,20000,,
2021,136528285,3,20000,2021-02-13,
2021,136532839,37,10000,,
2021,137288435,19,320,2021-02-20,
2021,136532839,38,4500,,
2021,136528290,10,,,
2021,136528290,11,1,,
2021,137288436,19,320,,
2021,142109698,8,375,2021-02-21,
2021,136528290,63,1,,
2021,142953356,3,100,,
2021,136528297,38,1,,
2021,136532844,3,1,,
2021,142953401,3,35000,2021-02-16,
2021,142953402,3,35000,,
2021,136528284,19,1,,
2021,142109698,19,44,2021-02-21,
2021,142109698,61,24,2021-02-21,
2021,136528293,10,,,
2021,142109700,8,375,,
2021,136528293,11,1,,
2021,142109700,19,44,,
2021,142109700,61,24,,
2021,137288431,3,10000,2021-02-22,
2021,142953371,26,200,,
2021,142953371,42,200,,
2021,137278850,3,10000,,
2021,136528294,7,500,,
2021,136528294,63,500,,
2021,137278850,61,600,,
2021,137288434,36,4600,,
2021,136532842,63,100,,
2021,136528295,10,,,
2021,136528295,11,6,,
2021,137278849,20,7000,,
2021,137278852,3,500,,
2021,142953222,3,5500,,
2021,137288438,20,300,,
2021,149085929,10,,,
2021,142953230,63,100,,
2021,142953241,36,198,2021-03-03,
2021,142953242,36,198,,
2021,149085929,11,1,,
2021,142948938,3,10000,2021-03-01,
2021,142115352,7,400,,
2021,142115352,13,300,,
2021,142115352,49,40,,
2021,142115352,63,60,,
2021,142953271,25,50,,
2021,142948939,3,10000,,
2021,142948958,38,1800,,
2021,142948977,38,1000,,
2021,142953281,38,300,,
2021,139163093,20,4500,,
2021,140201294,19,3900,,
2021,140201294,31,22391,,
2021,140201294,63,3000,,
2021,140201295,20,3640,,
2021,142953319,20,6500,,
2021,142953351,51,0,,
2021,142948990,38,1800,,
2021,137278854,38,1800,,
2021,142953231,20,100,,
2021,142953231,51,0,,
2021,142953244,20,130,,
2021,142953244,36,150,,
2021,142953254,63,20,,
2021,145133899,3,1000,2021-02-26,
2021,142953255,51,0,,
2021,142953255,63,20,,
2021,142953268,10,,,
2021,142953268,11,1,,
2021,142953268,63,1,,
2021,142953280,9,0,,
2021,142953280,20,500,,
2021,142953280,25,50,,
2021,142953289,19,149,,
2021,142953301,19,4,,
2021,142953314,7,399,,
2021,142953329,19,4,,
2021,142953342,63,299,,
2021,145133900,3,1000,,
2021,140199483,9,0,,
2021,146753860,8,114,,
2021,146753860,9,0,,
2021,141163227,20,188,,
2021,142953349,63,200,,
2021,142953369,28,800,,
2021,142953253,38,1000,,
2021,142949124,3,15000,2021-03-12,
2021,142953264,38,1000,,
2021,142949125,3,15000,,
2021,139163309,3,100,,
2021,142953283,8,50,,
2021,142953283,19,441,,
2021,142953299,38,2800,,
2021,142953304,38,500,,
2021,142953321,38,1550,,
2021,139163309,30,200,,
2021,142949150,63,795,,
2021,142948937,38,1,,
2021,139168398,9,0,,
2021,142948942,24,1200,,
2021,139168662,3,30000,2021-04-03,
2021,139168663,3,30000,,
2021,142948962,3,2000,,
2021,142949065,51,0,,
2021,142953373,63,100,,
2021,139163330,3,7000,2021-04-04,
2021,139163331,3,7000,,
2021,142949296,3,1500,,
2021,142949299,63,1050,,
2021,142109470,20,5,,
2021,142953243,20,950,,
2021,139168692,35,1,,
2021,142109470,38,25,,
2021,142109470,61,200,,
2021,142949423,20,400,,
2021,142949423,61,900,,
2021,142949423,63,10,,
2021,141163279,3,1000,2021-03-12,
2021,141163280,3,1000,,
2021,140199557,3,3000,2021-03-28,
2021,140199558,3,3000,,
2021,142949405,6,3,,
2021,142949405,63,1,,
2021,142949493,20,5000,,
2021,142948994,20,1340,,
2021,142953265,21,1,,
2021,139168455,63,0,,
2021,142949000,3,3500,,
2021,142953258,63,2000,,
2021,142953273,3,120,,
2021,142953276,52,0,,
2021,142949000,16,75,,
2021,142949000,34,292,,
2021,139163108,21,3550,,
2021,139163110,11,1,,
2021,142949002,38,800,,
2021,142953291,20,800,,
2021,142953308,42,300,,
2021,139168476,52,0,,
2021,139168498,19,1000,,
2021,139168534,38,300,,
2021,140201331,10,,,
2021,140201331,11,1,,
2021,140201331,13,1,,
2021,139168635,20,4,,
2021,139168635,63,131,,
2021,139168669,63,0,,
2021,139168710,10,,,
2021,139168710,11,1,,
2021,139168710,13,1,,
2021,139168557,9,0,2021-04-10,
2021,139168557,25,50,2021-04-10,
2021,139168557,53,100,2021-04-10,
2021,139168557,63,50,2021-04-10,
2021,139168558,9,0,,
2021,139168558,25,50,,
2021,139168558,53,100,,
2021,139168558,63,50,,
2021,139168577,20,30,,
2021,139168577,25,20,,
2021,139168652,3,800,,
2021,139168681,33,400,,
2021,139168601,20,490,,
2021,139168642,6,1,,
2021,139168664,10,,,
2021,139168664,63,0,,
2021,139168665,25,5,,
2021,139168693,19,121,2021-04-10,
2021,139168694,19,121,,
2021,139168728,3,6000,,
2021,139168774,20,2440,,
2021,139168774,61,500,,
2021,142949007,13,500,,
2021,142949007,63,134,,
2021,142949015,8,42,,
2021,142949033,63,439,,
2021,139168801,63,0,,
2021,139168733,47,0,,
2021,139168779,19,45,,
2021,139168611,63,1,,
2021,139168612,19,8,,
2021,139168636,3,30000,2021-04-21,
2021,139168639,3,30000,,
2021,140201398,10,,,
2021,140201398,13,1,,
2021,139168688,20,150,,
2021,140201329,30,5000,,
2021,139168714,11,1,,
2021,139168687,19,200,,
2021,139168715,6,164,2021-04-25,
2021,139168715,25,41,2021-04-25,
2021,139168715,43,32,2021-04-25,
2021,139168715,63,99,2021-04-25,
2021,139168716,6,164,,
2021,139168716,25,41,,
2021,139168716,43,32,,
2021,139168716,63,99,,
2021,142949041,63,367,,
2021,139163128,6,32,,
2021,139163128,26,379,,
2021,139163128,63,789,,
2021,139163149,63,330,,
2021,142949070,63,0,,
2021,142949155,3,1000,,
2021,142115422,63,50,,
2021,139163165,8,287,,
2021,142949185,3,500,,
2021,140199578,20,1000,,
2021,140201344,3,5000,2021-04-27,
2021,140201345,3,5000,,
2021,140199578,61,2460,,
2021,142949238,3,38000,,
2021,142949267,10,,,
2021,142949267,11,1,,
2021,142109508,3,5000,2021-04-06,
2021,144132824,51,0,,
2021,142109509,3,5000,,
2021,142949325,8,482,2021-03-23,
2021,142949326,8,482,,
2021,142949012,20,40000,,
2021,142949027,6,8,,
2021,142949027,8,225,,
2021,142949035,10,,,
2021,139163219,38,200,,
2021,142949108,8,362,,
2021,139163235,16,455,,
2021,142949030,20,150,,
2021,139163249,61,1199,,
2021,139163249,63,50,,
2021,142949089,63,0,,
2021,140199493,13,200,,
2021,141168419,13,1,,
2021,141168419,16,1,,
2021,141168419,17,3,,
2021,141168419,45,1,,
2021,141168419,58,3000,,
2021,140199493,51,0,,
2021,139163332,63,499,,
2021,140199444,38,100,,
2021,141168419,61,1,,
2021,141168419,63,1,,
2021,142115466,7,40,,
2021,140201393,19,5394,,
2021,139168792,6,1500,,
2021,140201443,19,419,,
2021,140201460,63,300,,
2021,140201265,3,1,,
2021,139163346,51,0,,
2021,140199469,3,612,,
2021,140201437,63,1453,,
2021,139163154,3,50,,
2021,140199529,19,314,,
2021,141168424,26,200,,
2021,140199561,20,538,,
2021,139163172,63,1,,
2021,145133949,63,500,,
2021,139163183,20,5900,,
2021,139163198,63,1,,
2021,139163216,9,0,,
2021,139163216,20,50,,
2021,139163216,25,30,,
2021,139163216,63,0,,
2021,139163415,63,150,2021-04-12,
2021,139163416,6,100,,
2021,139163416,53,100,,
2021,139163416,62,2,,
2021,139163416,63,202,,
2021,139163170,20,60,,
2021,139163170,51,0,,
2021,139163186,63,300,,
2021,139163199,63,0,,
2021,139163212,63,100,,
2021,139163229,20,20,,
2021,139163258,20,120,,
2021,140199497,20,660,,
2021,141168448,31,7000,,
2021,141168448,63,3000,,
2021,141168449,20,15860,,
2021,139163240,9,0,,
2021,139163240,20,40,,
2021,139163255,19,9,,
2021,139163266,3,1000,,
2021,139163279,3,14000,2021-04-19,
2021,139163280,3,14000,,
2021,139163310,63,0,,
2021,139163325,3,4000,,
2021,139163341,25,500,,
2021,140199523,25,50,,
2021,142972792,25,200,2021-04-21,
2021,142972793,25,200,,
2021,142972793,61,800,,
2021,140199568,20,54,2021-04-21,
2021,140199568,63,0,2021-04-21,
2021,140199569,20,54,,
2021,140199569,63,0,,
2021,139163217,63,10,2021-04-23,
2021,139163218,63,10,,
2021,139163265,11,1,,
2021,140199602,20,40,,
2021,140201471,38,450,,
2021,139163278,3,8000,,
2021,139163287,3,2200,,
2021,140199667,10,,,
2021,139163303,3,13000,2021-04-24,
2021,139163304,3,13000,,
2021,139163314,38,1400,,
2021,139163329,38,300,,
2021,139163343,63,500,,
2021,140199692,3,300,,
2021,140201342,19,300,,
2021,140201363,23,1200,,
2021,140201363,36,250,,
2021,140201391,10,,,
2021,140201391,11,10,,
2021,140201391,19,5,,
2021,140201420,11,1,,
2021,140201420,49,5,,
2021,140201420,66,50,,
2021,140199693,6,200,,
2021,139163319,20,207,,
2021,140199455,19,5687,,
2021,140201377,31,300,,
2021,139163365,63,454,2021-04-28,
2021,139163366,63,454,,
2021,139163386,19,308,2021-04-29,
2021,139163387,19,308,,
2021,141163294,38,1,,
2021,140201395,52,0,,
2021,140201395,63,0,,
2021,140199490,38,1000,,
2021,142972824,20,3680,,
2021,142109553,3,250,,
2021,141163353,9,0,,
2021,142115264,10,,,
2021,142115264,11,1,,
2021,140201429,11,1,,
2021,140201456,38,1,,
2021,140201492,8,500,,
2021,140201523,8,282,,
2021,140201570,20,20,,
2021,141163353,20,20,,
2021,141163353,25,75,,
2021,141163353,61,1000,,
2021,140199694,38,3000,,
2021,140199732,8,95,,
2021,140201448,63,15000,,
2021,140201489,63,50,,
2021,140201315,10,,,
2021,140199514,20,80,,
2021,140201366,35,3000,,
2021,140201404,43,100,2021-05-19,
2021,140201405,43,100,,
2021,140199514,63,0,,
2021,140199584,19,56,,
2021,140201542,63,1,2021-05-20,
2021,140201543,63,1001,,
2021,140199624,63,0,,
2021,140201367,6,290,,
2021,140199644,63,500,,
2021,141163359,63,300,,
2021,140199636,63,100,,
2021,140199659,24,2000,,
2021,140201396,63,450,,
2021,140201477,63,500,,
2021,140201500,3,500,,
2021,141163232,19,351,,
2021,142109502,10,,,
2021,148600948,9,0,,
2021,140201535,63,50,,
2021,140201568,36,200,2021-05-24,
2021,140199748,3,12000,2021-05-08,
2021,140199749,3,12000,,
2021,140199503,38,87,,
2021,142109542,38,500,,
2021,140201569,36,200,,
2021,140199570,63,1500,,
2021,141164980,3,1100,,
2021,140201417,10,,,
2021,140201417,11,25,,
2021,140201417,63,1,,
2021,140201417,66,50,,
2021,140201438,42,4550,,
2021,140201438,63,0,,
2021,140201462,6,50,,
2021,140201462,20,500,,
2021,140201462,61,100,,
2021,142109573,3,20000,2021-07-08,
2021,142109574,3,20000,,
2021,140199725,3,1500,,
2021,140199776,10,,,
2021,142115319,35,471,,
2021,140199776,11,1,,
2021,140199556,52,0,,
2021,142115575,20,263,,
2021,140199581,20,5,,
2021,140199581,27,100,,
2021,140199614,25,50,,
2021,140199633,61,10,,
2021,140199633,63,10,,
2021,140199656,16,1,,
2021,140199656,27,1,,
2021,141165031,63,20,,
2021,142115609,54,599,,
2021,140199682,3,24000,,
2021,141165078,61,100,,
2021,140201411,51,0,,
2021,141168496,63,1,,
2021,141165078,63,20,,
2021,140199702,10,,,
2021,141168432,20,2700,,
2021,141165146,63,50,,
2021,141165147,63,50,,
2021,140199761,63,20,,
2021,142109601,63,1000,,
2021,142109602,20,400,,
2021,140199783,36,450,,
2021,141165206,16,40,,
2021,140199810,38,1800,,
2021,141168444,20,505,,
2021,141168412,20,151,,
2021,140199843,38,300,,
2021,144132844,15,5700,,
2021,144132844,38,60,,
2021,140199845,13,500,,
2021,141165023,20,4060,,
2021,141165064,42,100,,
2021,141165065,10,,,
2021,140199878,3,2000,,
2021,140199641,63,0,,
2021,140199701,20,16,,
2021,140199723,25,100,2021-05-31,
2021,140199724,25,100,,
2021,140199724,63,40,,
2021,140199772,3,500,,
2021,140199773,25,300,2021-05-31,
2021,140199774,25,300,,
2021,140199774,63,0,,
2021,140199770,63,0,2021-05-31,
2021,141168459,63,0,,
2021,140199771,25,1,,
2021,140199771,63,0,,
2021,141165115,3,200,,
2021,141163526,25,30,,
2021,142115473,25,50,,
2021,142115473,51,0,,
2021,141168478,63,8000,,
2021,141168487,28,28000,,
2021,141168498,20,966,,
2021,141168504,38,800,,
2021,141168520,63,50,,
2021,141163526,63,0,,
2021,141163596,63,100,,
2021,141163642,7,500,,
2021,141163642,26,1000,,
2021,141163315,61,500,,
2021,141168509,8,6,,
2021,141163333,29,200,,
2021,141163351,38,600,,
2021,141163363,6,450,,
2021,141163363,10,1,,
2021,141163363,63,470,,
2021,142109459,61,800,,
2021,141168525,19,152,2021-06-17,
2021,141168526,19,153,,
2021,141168536,63,400,2021-06-19,
2021,141168537,10,,,
2021,141168537,11,1,,
2021,141168538,63,400,,
2021,141168550,38,60,,
2021,141163608,61,1300,,
2021,141168563,63,1,,
2021,141163680,10,,,
2021,141163698,3,20000,2021-06-11,
2021,142115389,9,0,,
2021,142115389,36,1317,,
2021,141163699,3,20000,,
2021,141163384,63,10000,,
2021,141168469,19,60,,
2021,141163392,20,200,,
2021,141168505,38,500,,
2021,142109482,63,1200,,
2021,142109651,10,,,
2021,142109684,3,500,,
2021,141163421,19,306,2021-06-13,
2021,141163422,19,306,,
2021,141163450,63,500,,
2021,141168492,38,1000,,
2021,141168527,3,2800,,
2021,141163487,3,500,,
2021,141168543,36,12,,
2021,141168558,38,20,,
2021,141168585,38,20,,
2021,141168607,38,10,,
2021,141168636,38,10,,
2021,142972788,35,300,,
2021,142972789,36,1749,,
2021,141163435,20,120,,
2021,141163435,63,800,,
2021,141163464,3,250,,
2021,141168476,23,340,,
2021,142111220,63,0,,
2021,141168491,38,1,,
2021,141168575,63,1000,,
2021,141168594,38,1,,
2021,141168621,63,600,,
2021,141163490,3,35000,,
