data_year,suspect_using_id,offense_id
2021,4,162898292
2021,4,162898326
2021,4,171460985
2021,4,162901869
2021,4,162901870
2021,4,162898343
2021,4,162901863
2021,4,166398753
2021,4,162898357
2021,4,166398542
2021,4,162901885
2021,4,163925318
2021,4,162901890
2021,4,162898386
2021,4,162898338
2021,4,162898335
2021,4,162898364
2021,4,166398577
2021,4,162898342
2021,4,162901876
2021,4,162898383
2021,4,162898423
2021,4,162898369
2021,4,163925340
2021,4,162898371
2021,4,162901893
2021,4,162898415
2021,4,167783594
2021,4,162898442
2021,4,162901906
2021,4,162898426
2021,4,162898399
2021,4,171461010
2021,4,162901922
2021,4,163925338
2021,4,162901929
2021,4,162898421
2021,4,162898450
2021,4,162901932
2021,4,171494067
2021,4,171494068
2021,4,162898425
2021,4,162898417
2021,4,162898440
2021,4,162901967
2021,4,163925366
2021,4,175617030
2021,4,163916171
2021,4,162898479
2021,4,162898422
2021,4,163926174
2021,4,171461049
2021,4,163925334
2021,4,166398607
2021,4,162898490
2021,4,163926201
2021,4,162898469
2021,4,163926192
2021,4,166398643
2021,4,162898464
2021,4,163925374
2021,4,171461147
2021,4,163926183
2021,4,163926190
2021,4,163925373
2021,4,163926191
2021,4,163926199
2021,4,163925383
2021,4,163925379
2021,4,163926194
2021,4,163925404
2021,4,163925385
2021,4,163926198
2021,3,163925384
2021,4,163925396
2021,4,163925403
2021,4,169072825
2021,4,163925386
2021,4,163925401
2021,4,163926200
2021,4,170341236
2021,4,170341237
2021,4,163925388
2021,4,163925393
2021,4,163925392
2021,4,163926202
2021,4,163926205
2021,4,163925409
2021,4,163925405
2021,4,163926206
2021,4,163926204
2021,4,163925410
2021,4,163926210
2021,4,163925411
2021,4,167783663
2021,4,167783665
2021,4,163925412
2021,4,170341298
2021,4,169073373
2021,4,163925416
2021,4,163926211
2021,4,163925414
2021,4,166398674
2021,4,163926216
2021,4,163926212
2021,4,171461204
2021,4,163926217
2021,4,170341412
2021,4,163926214
2021,4,163925415
2021,4,163926215
2021,4,163926218
2021,4,163925417
2021,4,166398711
2021,4,179622722
2021,4,179622723
2021,4,171460943
2021,4,171460968
2021,4,171494174
2021,4,171460995
2021,4,178981795
2021,4,166398543
2021,4,171461013
2021,4,163925420
2021,4,174371020
2021,4,167783606
2021,1,163926221
2021,4,171461098
2021,4,169072775
2021,4,171461174
2021,4,171461196
2021,4,166398864
2021,4,166398865
2021,4,171461234
2021,4,171461283
2021,4,171460942
2021,4,171460946
2021,4,171460973
2021,4,171461057
2021,4,171461123
2021,4,171461178
2021,4,171494295
2021,4,166398890
2021,4,171461334
2021,4,166398931
2021,4,171461413
2021,4,171461414
2021,4,170341106
2021,4,171461569
2021,4,171461011
2021,4,171461228
2021,4,171461318
2021,4,169072861
2021,4,167783714
2021,4,171461549
2021,4,171461643
2021,4,171461018
2021,4,171461021
2021,4,171461031
2021,4,171461032
2021,4,171461033
2021,4,166398563
2021,4,166398567
2021,4,171461036
2021,4,171461044
2021,4,171461052
2021,4,166398576
2021,4,171461072
2021,4,171461086
2021,4,171461092
2021,4,166398592
2021,4,166398622
2021,4,171494382
2021,4,171461119
2021,4,171461128
2021,4,171461241
2021,4,166398647
2021,4,171461277
2021,4,174371059
2021,4,166398691
2021,4,167783748
2021,4,171461347
2021,3,171461380
2021,4,171461381
2021,4,171461418
2021,4,170341161
2021,4,171461454
2021,4,171461050
2021,4,171461066
2021,4,171461074
2021,4,167783591
2021,4,166398725
2021,4,171461175
2021,4,166398744
2021,4,171461069
2021,4,166398770
2021,4,171461121
2021,4,171461153
2021,4,166398609
2021,4,167783628
2021,4,166398893
2021,4,167783545
2021,4,166398917
2021,4,167783588
2021,4,167783589
2021,4,167783616
2021,4,166398630
2021,4,177342241
2021,4,170341172
2021,4,167783673
2021,4,167783718
2021,4,166398657
2021,4,174371095
2021,4,174371096
2021,4,166398676
2021,4,166398698
2021,4,167783754
2021,4,166398722
2021,4,166399046
2021,4,167783788
2021,4,166398652
2021,4,166398658
2021,4,166398682
2021,4,166398699
2021,4,166398716
2021,4,166398736
2021,4,166398780
2021,4,167783634
2021,4,166398718
2021,4,166398754
2021,4,166398775
2021,4,166398792
2021,4,166398820
2021,4,166398866
2021,4,166398883
2021,4,166398909
2021,4,166398727
2021,4,167783661
2021,4,167783695
2021,4,171494247
2021,4,167783736
2021,4,166398724
2021,4,169072923
2021,4,166398791
2021,4,167783778
2021,4,166398819
2021,4,166398834
2021,4,167783811
2021,4,167783850
2021,4,167783876
2021,4,166398852
2021,4,166398870
2021,4,166398887
2021,4,166398912
2021,4,167783912
2021,4,167783913
2021,4,166398877
2021,4,167783565
2021,4,166398886
2021,4,167783597
2021,4,166398921
2021,4,166398953
2021,4,166398980
2021,4,169072879
2021,4,167783618
2021,4,167783687
2021,4,171494287
2021,4,170341205
2021,4,170341220
2021,4,169072908
2021,4,169072909
2021,4,167783774
2021,4,169072963
2021,4,167783916
2021,4,167783960
2021,4,167783654
2021,4,167783690
2021,4,167783726
2021,4,167783757
2021,4,167783815
2021,4,167783844
2021,4,169072974
2021,4,169072991
2021,4,167783834
2021,4,167783864
2021,4,167783906
2021,4,169072780
2021,4,170341153
2021,4,170341154
2021,4,167783937
2021,4,167783982
2021,4,167783640
2021,4,170341203
2021,4,167783737
2021,4,167783776
2021,4,169072803
2021,4,169075109
2021,4,170341246
2021,4,167783956
2021,4,167784012
2021,4,167784013
2021,4,167784014
2021,4,167783713
2021,4,167783753
2021,4,167783797
2021,4,167783830
2021,4,167783859
2021,4,169075183
2021,4,167783896
2021,4,169075245
2021,4,167783924
2021,4,169075335
2021,4,169075336
2021,4,167783961
2021,4,170341263
2021,4,170341264
2021,4,167783994
2021,4,170341283
2021,4,170341284
2021,4,167784023
2021,4,169075418
2021,4,167784053
2021,4,167784096
2021,4,174371138
2021,4,167783857
2021,4,167783899
2021,4,169075470
2021,4,167784098
2021,4,169075171
2021,4,179622777
2021,4,169075223
2021,4,169075224
2021,4,167784140
2021,4,167783840
2021,1,167783863
2021,4,167783888
2021,4,167783923
2021,4,167783954
2021,4,167784008
2021,4,167784009
2021,4,167784007
2021,4,169075290
2021,4,169073239
2021,4,169073344
2021,4,169073427
2021,4,169073503
2021,4,169072907
2021,4,174371176
2021,4,169072934
2021,4,169072961
2021,4,169072976
2021,4,169072989
2021,4,170341093
2021,4,169073359
2021,4,169073360
2021,4,171494413
2021,4,169073432
2021,3,169073480
2021,4,171494466
2021,4,169073505
2021,4,169073012
2021,4,169073026
2021,4,169073048
2021,4,170341120
2021,4,171494500
2021,4,170341356
2021,4,170341391
2021,4,170341392
2021,4,169073075
2021,4,170341444
2021,4,169073131
2021,4,169073147
2021,4,169073171
2021,4,169073185
2021,4,169073233
2021,4,171494241
2021,4,171494242
2021,4,174371166
2021,4,174371223
2021,4,169073099
2021,4,170343301
2021,4,174371268
2021,4,169073158
2021,4,169073159
2021,4,170343350
2021,4,169073190
2021,4,171494317
2021,4,169073209
2021,4,169073225
2021,4,169073245
2021,4,169073273
2021,4,174371308
2021,4,169073295
2021,4,174371389
2021,4,170343448
2021,4,170343449
2021,4,170343485
2021,4,170343486
2021,4,171494377
2021,4,169073129
2021,4,171494434
2021,4,169073186
2021,4,169073205
2021,4,179622816
2021,4,170343538
2021,4,170341427
2021,4,170341474
2021,4,177342420
2021,4,174371402
2021,4,170341535
2021,4,170341575
2021,4,170341288
2021,4,170341309
2021,4,170341324
2021,4,170341331
2021,4,170341341
2021,4,170341397
2021,4,170341433
2021,4,170341470
2021,4,170341499
2021,4,170341532
2021,4,170341563
2021,4,170341595
2021,4,174371452
2021,4,170341626
2021,4,170341402
2021,4,171494452
2021,4,170341567
2021,4,171494508
2021,4,171494509
2021,4,171494510
2021,4,170341606
2021,4,170341361
2021,4,170341382
2021,4,170341405
2021,4,170341430
2021,4,171494259
2021,4,170341469
2021,4,170341481
2021,4,170341462
2021,4,170341503
2021,4,174371491
2021,4,170341536
2021,4,175617105
2021,4,175617106
2021,4,170341576
2021,4,170341593
2021,4,170341594
2021,4,171494299
2021,4,170341625
2021,4,170341388
2021,4,170341631
2021,4,174371620
2021,4,174371165
2021,4,170341693
2021,4,170341737
2021,4,170341738
2021,4,170341420
2021,4,171494374
2021,4,170341453
2021,4,170341487
2021,4,170341518
2021,4,171494432
2021,4,170341884
2021,4,171494497
2021,3,170341447
2021,4,170341483
2021,4,170341519
2021,4,170341542
2021,4,171494570
2021,4,174371333
2021,4,171494607
2021,4,171494646
2021,4,171494690
2021,4,171494731
2021,4,171494446
2021,4,171494470
2021,4,171494502
2021,4,171494547
2021,4,178981834
2021,4,171494576
2021,4,171494602
2021,4,171494323
2021,4,171494365
2021,4,174371374
2021,4,171494440
2021,4,171494682
2021,4,171494726
2021,4,171494333
2021,4,171494384
2021,4,171494402
2021,4,171494441
2021,4,171494468
2021,4,174371399
2021,4,171494505
2021,4,171494529
2021,4,171494551
2021,4,174371433
2021,4,171494587
2021,4,171494628
2021,4,171494687
2021,4,174371461
2021,4,171494752
2021,4,174371177
2021,4,171494556
2021,4,177342463
2021,4,174371201
2021,4,171494634
2021,4,171494685
2021,4,171494938
2021,4,171494967
2021,4,171494543
2021,4,171494590
2021,4,171494631
2021,4,171494657
2021,4,174371234
2021,4,171494695
2021,4,171494736
2021,4,171494784
2021,4,171494877
2021,4,174371352
2021,4,171494660
2021,4,174371390
2021,4,171494703
2021,4,171494756
2021,4,171494800
2021,4,171494822
2021,4,171494823
2021,4,171494850
2021,4,171494885
2021,4,171494691
2021,4,171494740
2021,4,174371432
2021,4,171494794
2021,4,174371463
2021,4,171494848
2021,4,171494898
2021,4,174371493
2021,4,178981629
2021,4,178981630
2021,4,174371337
2021,4,174371564
2021,4,174371591
2021,4,174371291
2021,4,174371292
2021,4,174371334
2021,4,171494985
2021,4,171495026
2021,4,174371396
2021,4,171495041
2021,4,174371429
2021,4,174371430
2021,4,174371467
2021,4,174371521
2021,1,174371571
2021,4,174371646
2021,4,174371665
2021,4,174371458
2021,3,174371484
2021,3,174371485
2021,4,174371526
2021,4,174371584
2021,4,174371603
2021,4,174371633
2021,4,174371657
2021,4,174371658
2021,4,174371474
2021,4,174371510
2021,4,174371532
2021,4,174371567
2021,4,174371590
2021,4,174371607
2021,1,174371638
2021,4,174371656
2021,4,174371450
2021,4,174371595
2021,4,174371623
2021,4,174371648
2021,4,174371669
2021,4,174371691
2021,4,174371712
2021,4,174371535
2021,4,174371562
2021,4,174371586
2021,4,175617168
2021,4,174371719
2021,4,174371739
2021,4,174371764
2021,4,174371798
2021,4,174371631
2021,4,174371660
2021,4,174371683
2021,4,174371708
2021,4,174371849
2021,4,174371877
2021,4,174371647
2021,4,174371668
2021,4,174371687
2021,4,174371703
2021,4,177342501
2021,4,174371725
2021,4,174371741
2021,4,174371742
2021,4,174371772
2021,4,174371706
2021,4,174371722
2021,4,174371736
2021,4,174371760
2021,4,175616925
2021,4,175616926
2021,4,174371802
2021,4,174371817
2021,4,174371839
2021,4,174371858
2021,4,174371753
2021,4,174371788
2021,4,174371828
2021,4,174371853
2021,4,174371887
2021,4,174371907
2021,4,174371942
2021,4,174371967
2021,4,174371735
2021,4,174371919
2021,4,174371956
2021,4,174371982
2021,4,174372007
