data_year,victim_id,injury_id
2021,148764295,4
2021,152142433,4
2021,152142471,4
2021,153524148,4
2021,148764409,4
2021,149673001,4
2021,152142498,5
2021,148764473,4
2021,148761935,4
2021,149673040,4
2021,154808237,5
2021,149673039,4
2021,149668932,5
2021,153524220,6
2021,149673073,5
2021,164702678,4
2021,148762714,4
2021,148765221,5
2021,148762718,4
2021,149668950,5
2021,154808192,5
2021,148762734,4
2021,148762736,4
2021,157230436,6
2021,152142816,4
2021,156076541,4
2021,157230522,4
2021,157202403,5
2021,157202411,4
2021,160102158,4
2021,160102158,8
2021,157202390,4
2021,157202414,4
2021,160092587,4
2021,152142575,4
2021,157197435,5
2021,152142500,5
2021,153524168,4
2021,153524351,4
2021,156084253,5
2021,152149973,4
2021,152149973,8
2021,152149933,4
2021,152142617,5
2021,153524249,4
2021,154808332,4
2021,153524375,4
2021,153524420,4
2021,153524151,5
2021,152142808,4
2021,153524241,4
2021,154808317,4
2021,153524336,4
2021,154808400,4
2021,156076582,4
2021,156076583,4
2021,153524338,4
2021,154808216,4
2021,153526642,5
2021,153526643,5
2021,154810652,4
2021,153526694,4
2021,153526695,5
2021,156076694,4
2021,165334995,4
2021,153526891,4
2021,156084250,4
2021,154815200,5
2021,160092702,5
2021,154815201,5
2021,154815214,5
2021,154815215,5
2021,154808777,4
2021,157230552,4
2021,154808850,4
2021,154815184,3
2021,157230641,4
2021,156084234,5
2021,157230642,4
2021,156076881,4
2021,154808563,5
2021,160092746,4
2021,156078719,4
2021,157230453,4
2021,156084318,4
2021,157238464,4
2021,156078890,5
2021,157230514,4
2021,154808547,4
2021,165335037,5
2021,158770543,4
2021,157238634,4
2021,156076916,5
2021,160092924,4
2021,156077018,4
2021,157238547,4
2021,156076714,4
2021,156076749,4
2021,156076750,4
2021,156077006,1
2021,156077006,4
2021,160093011,5
2021,158770586,4
2021,156077036,5
2021,160102059,4
2021,156077074,4
2021,158770737,4
2021,156076855,4
2021,156076856,4
2021,156076959,4
2021,158770662,4
2021,164702717,5
2021,157230815,4
2021,157230697,4
2021,163060955,4
2021,157230874,4
2021,160102115,4
2021,160102175,4
2021,161337697,4
2021,161337725,4
2021,157230949,4
2021,161337487,5
2021,157230871,4
2021,160092862,1
2021,160102427,4
2021,160093094,4
2021,157231095,4
2021,160092917,4
2021,160092919,4
2021,160092987,4
2021,160093045,5
2021,160093046,5
2021,160093101,4
2021,160093196,4
2021,160093190,4
2021,160093120,5
2021,160093086,4
2021,162255674,4
2021,162255675,4
2021,162255386,4
2021,160093116,4
2021,160093218,4
2021,160093372,4
2021,160093321,4
2021,161337685,4
2021,160093568,4
2021,163060775,4
2021,164717454,4
2021,165335120,5
2021,161332932,4
2021,162255631,5
2021,162255632,5
2021,164717366,5
2021,160093686,5
2021,160093687,5
2021,160093455,4
2021,160093554,3
2021,161332538,4
2021,161332622,4
2021,160093652,5
2021,160093726,4
2021,163060906,5
2021,160093649,4
2021,160093663,4
2021,163060931,4
2021,161332747,4
2021,165335079,4
2021,149674048,5
2021,149674092,4
2021,149674052,5
2021,161332717,4
2021,161333186,2
2021,161332801,4
2021,149674080,5
2021,160101416,4
2021,149674077,5
2021,149674130,4
2021,163061100,4
2021,154814617,4
2021,154814618,4
2021,163061101,5
2021,163061147,4
2021,163061148,4
2021,164702642,4
2021,164702643,4
2021,163061216,4
2021,149674224,4
2021,163060523,4
2021,163060524,4
2021,163061230,5
2021,163061246,4
2021,163061214,4
2021,164702569,4
2021,164702607,4
2021,163061260,5
2021,163061239,4
2021,149674160,5
2021,149674170,5
2021,163061279,4
2021,163061280,4
2021,165335182,6
2021,149674247,1
2021,164702748,4
2021,152149705,4
2021,149674209,5
2021,152149721,4
2021,164702793,4
2021,165335359,4
2021,165334762,4
2021,149674374,4
2021,164702795,4
2021,149674272,4
2021,149674270,4
2021,152149422,5
