data_year,property_id,incident_id,prop_loss_id,stolen_count,recovered_count
2022,162304867,165126177,6,,
2022,153328329,154759129,6,,
2022,155985314,157824753,7,,
2022,151194002,152269463,3,,
2022,157201610,159229524,3,,
2022,157201611,159229525,7,,
2022,159498762,161884043,4,,
2022,160737483,163316587,4,,
2022,154797142,156440898,7,,
2022,154797149,156440907,4,,
2022,154797154,156440914,4,,
2022,154797159,156440919,4,,
2022,154797167,156440926,5,,
2022,154797168,156440926,7,,
2022,153329991,154760952,7,,
2022,158275053,160462679,4,,
2022,158275060,160462685,5,,
2022,158275061,160462685,7,,
2022,162306279,165127668,4,,
2022,147184540,147638367,7,,
2022,147184541,147638368,7,,
2022,147184542,147638370,4,,
2022,147184544,147638373,7,,
2022,148753083,149448030,5,,
2022,148753084,149448030,7,,
2022,150434992,151396730,7,,
2022,153328488,154759288,6,,
2022,148753123,149448077,4,,
2022,150435004,151396744,8,,
2022,153328500,154759299,4,,
2022,150435015,151396758,7,,
2022,151193994,152269452,7,,
2022,152342167,153608306,7,,
2022,152342168,153608306,3,,
2022,150435012,151396753,7,,
2022,150435014,151396756,7,1,
2022,162304454,165125827,6,,
2022,150435018,151396762,7,,
2022,150435019,151396763,7,,
2022,150435020,151396765,7,,
2022,150435005,151396745,7,,
2022,151193995,152269453,7,,
2022,150435008,151396749,3,,
2022,150435058,151396805,4,,
2022,153328291,154759077,6,,
2022,151193987,152269442,7,,
2022,151193988,152269443,6,,
2022,162304455,165125828,1,,
2022,151193989,152269444,6,,
2022,151193990,152269445,7,,
2022,153328293,154759083,7,,
2022,151193992,152269447,7,,
2022,162304456,165125829,1,,
2022,151193993,152269449,4,,
2022,151194000,152269461,7,,
2022,152342179,153608325,4,,
2022,162304458,165125831,7,,
2022,152342258,153608419,7,,
2022,152342260,153608421,7,,
2022,153328513,154759313,5,,
2022,153328514,154759313,7,,
2022,152342270,153608430,7,,
2022,152342276,153608440,7,,
2022,152342273,153608436,7,,
2022,160737563,163316668,7,,
2022,152342281,153608445,7,,
2022,154795909,156439618,4,,
2022,152342193,153608345,7,,
2022,153328523,154759323,7,,
2022,153328311,154759106,7,,
2022,154795903,156439611,4,,
2022,153328315,154759111,7,,
2022,153328302,154759096,4,,
2022,153328305,154759099,7,,
2022,157201652,159229571,7,,
2022,153328307,154759101,4,,
2022,157201658,159229576,7,,
2022,154795910,156439627,7,,
2022,162304457,165125830,7,,
2022,162304459,165125833,1,,
2022,153328310,154759105,7,,
2022,154795919,156439640,4,,
2022,154795921,156439645,7,,
2022,157201666,159229585,5,,
2022,157201667,159229585,4,,
2022,157201668,159229585,7,,
2022,154795930,156439654,7,,
2022,154795934,156439659,7,,
2022,154795998,156439733,7,,
2022,154796007,156439741,7,,
2022,154796014,156439749,7,,
2022,154795860,156439556,7,,
2022,155985299,157824737,7,,
2022,154795856,156439551,4,,
2022,154795858,156439554,4,,
2022,162304743,165126076,7,,
2022,155985305,157824743,7,,
2022,155985310,157824749,4,,
2022,155985311,157824750,7,,
2022,162304757,165126085,6,,
2022,162304768,165126092,7,,
2022,157201651,159229570,7,1,
2022,155985300,157824738,4,,
2022,158274051,160461617,7,1,
2022,155985304,157824742,7,,
2022,155985306,157824745,4,,
2022,157201598,159229507,4,,
2022,157201600,159229509,4,,
2022,157201602,159229511,4,,
2022,157201681,159229604,4,,
2022,157201688,159229611,7,,
2022,159498743,161884020,6,,
2022,157201698,159229620,4,,
2022,157201707,159229628,7,,
2022,157201715,159229635,6,,
2022,157201726,159229643,7,,
2022,157201734,159229652,7,,
2022,159498750,161884025,5,,
2022,159498751,161884025,7,,
2022,160737626,163316731,6,,
2022,164110671,167225984,4,,
2022,162304780,165126101,7,,
2022,162304781,165126101,5,,
2022,164110661,167225971,7,,
2022,159498756,161884032,4,,
2022,157201599,159229508,7,,
2022,158274060,160461627,4,,
2022,158274078,160461644,3,,
2022,158274084,160461650,4,,
2022,158274087,160461653,7,,
2022,158274067,160461633,4,,
2022,158274068,160461634,7,,
2022,158274070,160461636,4,,
2022,158274071,160461637,4,,
2022,158274072,160461639,7,,
2022,158274077,160461643,7,,
2022,158274066,160461632,4,,
2022,158274069,160461635,7,,
2022,158274349,160461934,7,,
2022,165444214,168740359,7,,
2022,162304809,165126122,7,,
2022,164110662,167225972,4,,
2022,158274362,160461952,4,,
2022,162304822,165126133,6,,
2022,162304462,165125836,7,,
2022,162304463,165125837,4,,
2022,162304464,165125838,6,,
2022,165444222,168740367,7,,
2022,162304466,165125841,6,,
2022,159499056,161884359,4,,
2022,159499063,161884368,4,,
2022,164110674,167225987,7,,
2022,159499079,161884386,7,,
2022,165444191,168740332,7,,
2022,164110687,167226004,7,,
2022,164110692,167226011,7,,
2022,159498716,161883993,7,,
2022,160737478,163316583,7,,
2022,160737479,163316584,7,1,
2022,162304469,165125846,7,,
2022,160737488,163316593,3,,
2022,160737491,163316596,4,,
2022,160737496,163316602,7,,
2022,160737508,163316610,3,,
2022,160737515,163316618,7,,
2022,160737528,163316632,4,,
2022,160737586,163316692,3,,
2022,164110672,167225985,6,,
2022,162304468,165125845,3,,
2022,162304471,165125849,7,,
2022,162304473,165125851,4,,
2022,152343607,153609819,4,,
2022,150435807,151397609,4,,
2022,150435808,151397609,2,,
2022,154797185,156440946,7,,
2022,148754093,149449093,4,,
2022,150435820,151397623,4,,
2022,150435830,151397638,7,,
2022,152343587,153609793,7,,
2022,159500094,161885488,7,,
2022,155986536,157826030,7,,
2022,151195146,152270723,7,,
2022,155986542,157826037,7,,
2022,151194946,152270489,7,,
2022,151194960,152270511,7,,
2022,153329219,154760081,7,,
2022,151194996,152270554,7,,
2022,155986548,157826046,7,,
2022,157203229,159231193,4,,
2022,153329192,154760050,7,,
2022,154797165,156440925,6,,
2022,154797166,156440925,4,,
2022,154797173,156440932,7,,
2022,157203232,159231197,7,,
2022,154797177,156440939,7,,
2022,155986534,157826025,7,,
2022,155986538,157826033,7,,
2022,154797188,156440949,5,,
