data_year,victim_id,injury_id
2022,179111181,4
2022,179111182,4
2022,179111183,4
2022,179111184,4
2022,168104281,4
2022,168104305,4
2022,174464709,4
2022,162828151,6
2022,162828060,4
2022,162828066,4
2022,162828074,4
2022,179112760,5
2022,162828125,4
2022,170952240,5
2022,162828130,5
2022,162828075,2
2022,164892848,4
2022,167103244,4
2022,182818673,4
2022,182818676,4
2022,164892907,4
2022,162827161,4
2022,162827143,5
2022,164892432,4
2022,167103259,4
2022,164894490,4
2022,167103260,4
2022,170952101,5
2022,167104186,4
2022,170952252,4
2022,167104211,4
2022,170952102,5
2022,170952103,5
2022,164892518,5
2022,167103335,5
2022,167103349,4
2022,168103088,4
2022,170951866,4
2022,169632586,4
2022,172872913,4
2022,168103516,5
2022,170952093,5
2022,174463308,2
2022,169632793,4
2022,168103421,4
2022,170952272,4
2022,170952285,5
2022,170952215,5
2022,172872931,5
2022,186959291,4
2022,172872927,5
2022,182818717,4
2022,169632852,4
2022,169632809,5
2022,172872928,5
2022,172872930,4
2022,172872944,4
2022,169632824,8
2022,176074613,6
2022,176074619,4
2022,172873086,4
2022,172872853,4
2022,174463303,5
2022,174463305,4
2022,174463307,4
2022,176074593,4
2022,176074598,5
2022,176074522,4
2022,177482690,4
2022,169632828,4
2022,169632836,4
2022,172874505,4
2022,180759648,5
2022,176075633,4
2022,169632860,4
2022,169632861,4
2022,169632871,4
2022,170952257,4
2022,169632875,4
2022,169632862,4
2022,185224867,4
2022,169632868,4
2022,176077211,4
2022,176077212,4
2022,170952289,4
2022,170952303,4
2022,170952304,4
2022,180759083,4
2022,170952291,4
2022,170952286,5
2022,186959281,4
2022,182816896,5
2022,182818442,4
2022,170952344,4
2022,170952312,3
2022,170952325,4
2022,180758877,5
2022,170952374,4
2022,182816898,5
2022,172874609,4
2022,172874559,4
2022,172874560,4
2022,172874703,4
2022,172874704,4
2022,172874719,5
2022,182816894,5
2022,167104229,5
2022,176077222,4
2022,172874716,4
2022,174464291,4
2022,174464401,3
2022,174464372,5
2022,174464383,5
2022,172874433,5
2022,172874402,4
2022,182818583,4
2022,176075685,4
2022,176075694,4
2022,182818606,4
2022,174464758,4
2022,176075821,4
2022,176076277,4
2022,177483301,5
2022,177483302,5
2022,176075758,5
2022,182818647,4
2022,179112798,5
2022,182818846,5
2022,164894216,4
2022,170953789,4
2022,177483329,4
2022,177483305,5
2022,177483306,5
2022,177483307,4
2022,177483312,5
2022,177483316,5
2022,182818683,2
2022,177483300,2
2022,177483300,4
2022,177483318,5
2022,180760885,4
2022,179112055,6
2022,179113526,4
2022,185225751,1
2022,185225751,4
2022,179112030,4
2022,182819961,4
2022,182817983,4
2022,179112086,4
2022,179112097,4
2022,180759669,4
2022,179112053,4
2022,182818023,4
2022,180759642,4
2022,180759650,4
2022,180759657,4
2022,180760737,4
2022,182818761,4
2022,182818043,4
2022,182818015,5
2022,182818045,4
2022,182818079,6
2022,180759679,4
2022,180759680,4
2022,182818055,6
2022,185225764,4
2022,162828910,5
2022,164893576,2
2022,162828978,2
2022,164893615,5
2022,167104302,5
2022,168104181,5
2022,169633822,5
2022,162828995,4
2022,172874321,4
2022,162829041,4
2022,182818826,4
2022,182818827,4
2022,182818828,5
2022,182818831,5
2022,162828960,4
2022,164893649,4
2022,168104251,5
2022,164893569,4
2022,168104297,5
2022,164893533,5
2022,167104006,4
2022,177484077,5
2022,164893491,4
2022,164893500,2
2022,164893508,4
2022,164893509,4
2022,167104013,4
2022,180760167,5
2022,164893564,4
2022,164893565,4
2022,167104053,4
2022,167104146,4
2022,168104120,5
2022,162829776,4
2022,167104097,4
2022,167104103,4
2022,167104059,5
2022,164894003,4
2022,164894004,4
2022,164894005,4
2022,164894021,4
2022,177484083,5
2022,164894009,4
2022,167104060,5
2022,167104070,4
2022,167104076,4
2022,167104102,4
2022,167104152,4
2022,167104177,4
2022,167104254,5
2022,167104683,5
2022,168104264,1
2022,179112504,5
2022,179112505,5
2022,179112506,5
2022,168104198,4
2022,185226636,5
2022,168104209,2
2022,168104210,4
2022,168104132,4
2022,174464759,4
2022,164894204,4
2022,167104713,4
2022,168104709,4
2022,168104771,4
2022,167104774,4
2022,167104694,4
2022,168104793,4
2022,168104792,1
2022,169633907,5
2022,168104314,4
2022,168104780,4
2022,170953531,5
2022,170953532,5
2022,168104841,4
2022,168104864,1
2022,168104348,3
2022,172874810,4
2022,168104391,5
2022,168104892,4
2022,168104876,4
2022,168104938,4
2022,168104193,5
2022,169634739,4
2022,177483678,5
2022,182818898,4
2022,182818899,4
2022,169633933,4
2022,168104295,5
2022,179112525,4
2022,169634783,4
2022,169634784,4
2022,169633957,5
2022,169633930,4
2022,172874384,4
2022,182818765,4
2022,169633970,4
2022,182820048,6
2022,172874744,5
2022,172874745,5
2022,172874765,4
2022,174464780,4
2022,174465296,4
2022,172874839,4
2022,170952861,4
2022,170952862,5
2022,170952872,4
2022,172874507,4
2022,172874508,4
2022,172874562,4
2022,170952827,5
2022,174464814,4
2022,185226770,4
2022,172874883,1
2022,172874884,4
2022,170952849,3
2022,170952851,4
2022,172874376,5
2022,176076110,3
2022,172874801,4
2022,170952841,4
2022,172874392,4
2022,170952838,5
2022,170952844,4
2022,172874846,4
2022,172874413,5
2022,172874412,4
2022,179112528,4
2022,174464892,3
2022,182820054,4
2022,177484074,4
2022,172874450,4
2022,185227037,5
2022,176076750,4
2022,177484100,5
2022,177484101,5
2022,177484104,4
2022,177484113,5
2022,177484114,5
2022,176076804,5
2022,177484119,4
2022,176076816,4
2022,179113298,4
2022,174464900,4
2022,174464845,4
2022,174464945,5
2022,172874517,4
2022,174464947,4
2022,172874510,4
2022,172874526,4
2022,174465009,4
2022,179112497,5
2022,179112498,5
2022,179112522,5
2022,177484129,4
2022,182820059,5
2022,182820060,5
2022,177484131,5
2022,177484097,5
2022,177484111,3
2022,180760907,4
2022,182820062,5
2022,182820063,5
2022,182820064,5
2022,182820065,5
2022,182820066,5
2022,179113256,5
2022,182819995,5
2022,179113337,5
2022,172874541,4
2022,172874542,4
2022,179112550,4
2022,179113316,4
2022,179113272,5
2022,172874590,4
2022,180760155,4
2022,185226619,4
2022,182819544,5
2022,182819545,5
2022,174465351,6
2022,174465238,4
2022,182818863,5
2022,182819577,4
2022,180760421,4
2022,180760422,4
2022,180760459,4
2022,180760477,5
2022,180760490,5
2022,179112547,5
2022,179112556,4
2022,185226637,5
2022,177483674,5
2022,174465428,5
2022,176076059,4
2022,176076097,4
2022,176076091,5
2022,179112589,5
2022,176076127,4
2022,174465317,5
2022,174465300,5
2022,174465323,4
2022,174465346,5
2022,174465350,4
2022,174465363,4
2022,177483659,4
2022,176076157,4
2022,182818778,4
2022,179112640,4
2022,185226510,4
2022,185226511,5
2022,176076070,4
2022,176076172,4
2022,182819491,5
