data_year,agency_id,incident_id,nibrs_month_id,cargo_theft_flag,submission_date,incident_date,report_date_flag,incident_hour,cleared_except_id,cleared_except_date,incident_status,data_home,orig_format,did
2022,20585,149448402,40390264,f,2022-02-24 13:31:48.276,2022-01-16,f,9,6,,WARNINGS,,F,128982707
2022,20585,147639233,40390264,f,2022-01-24 15:14:15.68,2022-01-16,f,19,6,,WARNINGS,,F,124239804
2022,20500,151396730,40390247,f,2022-03-22 13:01:31.581,2022-01-18,f,16,6,,WARNINGS,,F,135856965
2022,20500,149448036,40390247,f,2022-02-24 13:31:34.8,2022-01-24,f,14,6,,WARNINGS,,F,128981432
2022,20500,154759288,40390247,f,2022-06-21 17:20:11.472,2022-01-27,f,8,6,,WARNINGS,,F,144259844
2022,20585,147639183,40390264,f,2022-01-24 15:14:15.104,2022-01-18,f,16,6,,WARNINGS,,F,124239721
2022,20585,149448407,40390264,f,2022-02-24 13:31:48.374,2022-01-21,f,17,6,,WARNINGS,,F,128982713
2022,20585,149448408,40390264,f,2022-02-24 13:31:48.509,2022-01-24,f,14,6,,WARNINGS,,F,128982722
2022,20500,151396739,40390247,f,2022-03-22 13:01:31.952,2022-01-28,f,10,6,,WARNINGS,,F,135856981
2022,20500,149448077,40390247,f,2022-02-24 13:31:37.403,2022-01-20,f,11,6,,WARNINGS,,F,128981642
2022,20500,151396744,40390247,f,2022-03-22 13:01:32.311,2022-01-29,f,10,6,,WARNINGS,,F,135856992
2022,20500,154759299,40415919,f,2022-06-21 17:20:11.818,2022-02-08,f,0,6,,WARNINGS,,F,144259860
2022,20500,151396758,40415919,f,2022-03-22 13:01:33.152,2022-02-08,f,18,6,,WARNINGS,,F,135857026
2022,20585,165127487,40390264,f,2023-01-26 15:25:32.311,2022-01-24,f,16,6,,WARNINGS,,F,171101807
2022,20585,149448415,40390264,f,2022-02-24 13:31:48.653,2022-01-24,f,20,6,,WARNINGS,,F,128982734
2022,20500,152269452,40415919,f,2022-04-20 12:13:58.616,2022-02-10,f,13,6,,WARNINGS,,F,138086002
2022,20500,153608306,40415919,f,2022-05-24 12:07:28.15,2022-02-14,f,18,6,,WARNINGS,,F,141388098
2022,20585,149448459,40390264,f,2022-02-24 13:31:49.631,2022-01-26,f,9,6,,WARNINGS,,F,128982823
2022,20500,154759311,40415919,f,2022-06-21 17:20:12.392,2022-02-16,f,17,6,,ACCEPTED,,F,144259882
2022,20500,151396753,40415919,f,2022-03-22 13:01:32.739,2022-02-17,f,12,6,,WARNINGS,,F,135857016
2022,20500,151396756,40415919,f,2022-03-22 13:01:33.04,2022-02-18,f,9,6,,WARNINGS,,F,135857024
