data_year,nibrs_month_id,agency_id,month_num,inc_data_year,reported_status,report_date,update_flag,orig_format,data_home,ddocname,did,month_pub_status
2022,44077610,20500,3,2022,I,,,F,,2022_03_VT0010200_22MB000831_INC,138085988,
2022,44077610,20500,3,2022,I,,,F,,2022_03_VT0010200_22MB000917_INC,138085989,
2022,44077610,20500,3,2022,I,,,F,,2022_03_VT0010200_22MB000923_INC,171098918,
2022,44077610,20500,3,2022,I,,,F,,2022_03_VT0010200_22MB000924_INC,138085990,
2022,44077610,20500,3,2022,I,,,F,,2022_03_VT0010200_22MB000967_INC,138085992,
2022,44077610,20500,3,2022,I,,,F,,2022_03_VT0010200_22MB000989_INC,144259489,
2022,44077610,20500,3,2022,I,,,F,,2022_03_VT0010200_22MB001032_INC,138085995,
2022,44077610,20500,3,2022,I,,,F,,2022_03_VT0010200_22MB001034_INC,171098933,
2022,44086204,20500,4,2022,I,,,F,,2022_04_VT0010200_22MB001112_INC,144259497,
2022,44086204,20500,4,2022,I,,,F,,2022_04_VT0010200_22MB001117_INC,141388113,
2022,44086204,20500,4,2022,I,,,F,,2022_04_VT0010200_22MB001149_INC,138085997,
2022,44086204,20500,4,2022,I,,,F,,2022_04_VT0010200_22MB001215_INC,138086018,
2022,44086204,20500,4,2022,I,,,F,,2022_04_VT0010200_22MB001223_INC,144259502,
2022,44086204,20500,4,2022,I,,,F,,2022_04_VT0010200_22MB001335_INC,141388124,
2022,44086204,20500,4,2022,I,,,F,,2022_04_VT0010200_22MB001398_INC,148893213,
2022,44086204,20500,4,2022,I,,,F,,2022_04_VT0010200_22MB001439_INC,171098954,
2022,44086204,20500,4,2022,I,,,F,,2022_04_VT0010200_22MB001470_INC,141388428,
2022,44153406,20500,5,2022,I,,,F,,2022_05_VT0010200_22MB001486_INC,144259870,
2022,44153406,20500,5,2022,I,,,F,,2022_05_VT0010200_22MB001507_INC,141388436,
2022,44153406,20500,5,2022,I,,,F,,2022_05_VT0010200_22MB001512_INC,144259890,
2022,44153406,20500,5,2022,I,,,F,,2022_05_VT0010200_22MB001635_INC,141388470,
2022,44153406,20500,5,2022,I,,,F,,2022_05_VT0010200_22MB001643_INC,141388486,
2022,44153406,20500,5,2022,I,,,F,,2022_05_VT0010200_22MB001647_INC,141388501,
2022,44153406,20500,5,2022,I,,,F,,2022_05_VT0010200_22MB001662_INC,141388473,
2022,44153406,20500,5,2022,I,,,F,,2022_05_VT0010200_22MB001676_INC,141388485,
2022,44153406,20500,5,2022,I,,,F,,2022_05_VT0010200_22MB001678_INC,166336312,
2022,44153406,20500,5,2022,I,,,F,,2022_05_VT0010200_22MB001691_INC,141388512,
2022,44153406,20500,5,2022,I,,,F,,2022_05_VT0010200_22MB001714_INC,148893236,
2022,44153406,20500,5,2022,I,,,F,,2022_05_VT0010200_22MB001731_INC,152395891,
2022,44153406,20500,5,2022,I,,,F,,2022_05_VT0010200_22MB001749_INC,148893249,
2022,44153406,20500,5,2022,I,,,F,,2022_05_VT0010200_22MB001799_INC,141388156,
2022,44153406,20500,5,2022,I,,,F,,2022_05_VT0010200_22MB001934_INC,144259908,
2022,44153406,20500,5,2022,I,,,F,,2022_05_VT0010200_22MB001937_INC,180968587,
2022,44153406,20500,5,2022,I,,,F,,2022_05_VT0010200_22MB001947_INC,144259525,
2022,44164524,20500,6,2022,I,,,F,,2022_06_VT0010200_22MB002082_INC,148893214,
2022,44164524,20500,6,2022,I,,,F,,2022_06_VT0010200_22MB002091_INC,144259536,
2022,44164524,20500,6,2022,I,,,F,,2022_06_VT0010200_22MB002102_INC,144259509,
2022,44164524,20500,6,2022,I,,,F,,2022_06_VT0010200_22MB002117_INC,144259513,
2022,44164524,20500,6,2022,I,,,F,,2022_06_VT0010200_22MB002147_INC,155976634,
2022,44164524,20500,6,2022,I,,,F,,2022_06_VT0010200_22MB002172_INC,144259516,
2022,44164524,20500,6,2022,I,,,F,,2022_06_VT0010200_22MB002197_INC,155976641,
2022,44164524,20500,6,2022,I,,,F,,2022_06_VT0010200_22MB002211_INC,148893234,
2022,44164524,20500,6,2022,I,,,F,,2022_06_VT0010200_22MB002233_INC,148893255,
2022,44164524,20500,6,2022,I,,,F,,2022_06_VT0010200_22MB002237_INC,148893267,
2022,44164524,20500,6,2022,I,,,F,,2022_06_VT0010200_22MB002238_INC,171098939,
2022,44164524,20500,6,2022,I,,,F,,2022_06_VT0010200_22MB002253_INC,171098990,
2022,44164524,20500,6,2022,I,,,F,,2022_06_VT0010200_22MB002291_INC,144259523,
2022,44164524,20500,6,2022,I,,,F,,2022_06_VT0010200_22MB002293_INC,148893286,
2022,44164524,20500,6,2022,I,,,F,,2022_06_VT0010200_22MB002306_INC,148893297,
2022,44164524,20500,6,2022,I,,,F,,2022_06_VT0010200_22MB002332_INC,148893307,
2022,44164524,20500,6,2022,I,,,F,,2022_06_VT0010200_22MB002342_INC,155976651,
2022,44164524,20500,6,2022,I,,,F,,2022_06_VT0010200_22MB002344_INC,148893328,
2022,44164524,20500,6,2022,I,,,F,,2022_06_VT0010200_22MB002349_INC,148893342,
2022,44179339,20500,7,2022,I,,,F,,2022_07_VT0010200_22MB002478_INC,155976676,
2022,44179339,20500,7,2022,I,,,F,,2022_07_VT0010200_22MB002482_INC,155976685,
2022,44179339,20500,7,2022,I,,,F,,2022_07_VT0010200_22MB002492_INC,148893535,
2022,44179339,20500,7,2022,I,,,F,,2022_07_VT0010200_22MB002494_INC,148893549,
2022,44164524,20500,6,2022,I,,,F,,2022_06_VT0010200_22MB002504_INC,148893562,
2022,44179339,20500,7,2022,I,,,F,,2022_07_VT0010200_22MB002523_INC,148893575,
2022,44179339,20500,7,2022,I,,,F,,2022_07_VT0010200_22MB002524_INC,148893091,
2022,44179339,20500,7,2022,I,,,F,,2022_07_VT0010200_22MB002529_INC,148893109,
2022,44179339,20500,7,2022,I,,,F,,2022_07_VT0010200_22MB002532_INC,152395896,
2022,44179339,20500,7,2022,I,,,F,,2022_07_VT0010200_22MB002553_INC,162859189,
2022,44179339,20500,7,2022,I,,,F,,2022_07_VT0010200_22MB002600_INC,148893082,
2022,44179339,20500,7,2022,I,,,F,,2022_07_VT0010200_22MB002625_INC,148893085,
2022,44179339,20500,7,2022,I,,,F,,2022_07_VT0010200_22MB002668_INC,171099536,
2022,44179339,20500,7,2022,I,,,F,,2022_07_VT0010200_22MB002672_INC,152395906,
2022,44179339,20500,7,2022,I,,,F,,2022_07_VT0010200_22MB002785_INC,152395915,
2022,44179339,20500,7,2022,I,,,F,,2022_07_VT0010200_22MB002821_INC,152395919,
2022,44191929,20500,8,2022,I,,,F,,2022_08_VT0010200_22MB002906_INC,171099553,
2022,44191929,20500,8,2022,I,,,F,,2022_08_VT0010200_22MB002915_INC,162859197,
2022,44191929,20500,8,2022,I,,,F,,2022_08_VT0010200_22MB002916_INC,152395885,
2022,44191929,20500,8,2022,I,,,F,,2022_08_VT0010200_22MB002941_INC,152395883,
2022,44191929,20500,8,2022,I,,,F,,2022_08_VT0010200_22MB002948_INC,171099565,
2022,44191929,20500,8,2022,I,,,F,,2022_08_VT0010200_22MB002970_INC,152395887,
2022,44191929,20500,8,2022,I,,,F,,2022_08_VT0010200_22MB002991_INC,152395890,
2022,44191929,20500,8,2022,I,,,F,,2022_08_VT0010200_22MB003020_INC,155976631,
2022,44191929,20500,8,2022,I,,,F,,2022_08_VT0010200_22MB003027_INC,155976640,
2022,44191929,20500,8,2022,I,,,F,,2022_08_VT0010200_22MB003031_INC,152395897,
2022,44191929,20500,8,2022,I,,,F,,2022_08_VT0010200_22MB003037_INC,155976645,
2022,44191929,20500,8,2022,I,,,F,,2022_08_VT0010200_22MB003067_INC,159285157,
2022,44191929,20500,8,2022,I,,,F,,2022_08_VT0010200_22MB003082_INC,152395904,
2022,44191929,20500,8,2022,I,,,F,,2022_08_VT0010200_22MB003127_INC,152395909,
2022,44191929,20500,8,2022,I,,,F,,2022_08_VT0010200_22MB003148_INC,155976498,
2022,44191929,20500,8,2022,I,,,F,,2022_08_VT0010200_22MB003203_INC,155976501,
2022,44191929,20500,8,2022,I,,,F,,2022_08_VT0010200_22MB003205_INC,155976503,
2022,44191929,20500,8,2022,I,,,F,,2022_08_VT0010200_22MB003258_INC,155976694,
2022,44191929,20500,8,2022,I,,,F,,2022_08_VT0010200_22MB003276_INC,155976709,
2022,44205659,20500,9,2022,I,,,F,,2022_09_VT0010200_22MB003296_INC,162859214,
2022,44205659,20500,9,2022,I,,,F,,2022_09_VT0010200_22MB003332_INC,155976718,
2022,44205659,20500,9,2022,I,,,F,,2022_09_VT0010200_22MB003338_INC,155976730,
2022,44205659,20500,9,2022,I,,,F,,2022_09_VT0010200_22MB003347_INC,155976741,
2022,44205659,20500,9,2022,I,,,F,,2022_09_VT0010200_22MB003349_INC,155976755,
2022,44205659,20500,9,2022,I,,,F,,2022_09_VT0010200_22MB003401_INC,155976771,
2022,44205659,20500,9,2022,I,,,F,,2022_09_VT0010200_22MB003405_INC,162859225,
2022,44205659,20500,9,2022,I,,,F,,2022_09_VT0010200_22MB003441_INC,166336394,
2022,44205659,20500,9,2022,I,,,F,,2022_09_VT0010200_22MB003457_INC,176847393,
2022,44205659,20500,9,2022,I,,,F,,2022_09_VT0010200_22MB003465_INC,171099585,
2022,44205659,20500,9,2022,I,,,F,,2022_09_VT0010200_22MB003466_INC,176847231,
2022,44205659,20500,9,2022,I,,,F,,2022_09_VT0010200_22MB003467_INC,162859235,
2022,44205659,20500,9,2022,I,,,F,,2022_09_VT0010200_22MB003478_INC,155976496,
2022,44205659,20500,9,2022,I,,,F,,2022_09_VT0010200_22MB003500_INC,155976500,
2022,44205659,20500,9,2022,I,,,F,,2022_09_VT0010200_22MB003538_INC,159285167,
2022,44205659,20500,9,2022,I,,,F,,2022_09_VT0010200_22MB003568_INC,159285184,
2022,44216174,20500,10,2022,I,,,F,,2022_10_VT0010200_22MB003578_INC,159285192,
2022,44205659,20500,9,2022,I,,,F,,2022_09_VT0010200_22MB003590_INC,159285204,
2022,44205659,20500,9,2022,I,,,F,,2022_09_VT0010200_22MB003604_INC,159285174,
2022,44216174,20500,10,2022,I,,,F,,2022_10_VT0010200_22MB003616_INC,159285175,
2022,44216174,20500,10,2022,I,,,F,,2022_10_VT0010200_22MB003624_INC,159285178,
2022,44216174,20500,10,2022,I,,,F,,2022_10_VT0010200_22MB003649_INC,159285179,
2022,44216174,20500,10,2022,I,,,F,,2022_10_VT0010200_22MB003661_INC,159285182,
2022,44216174,20500,10,2022,I,,,F,,2022_10_VT0010200_22MB003665_INC,159285186,
