data_year,weapon_id,offense_id,nibrs_weapon_id
2022,5,188801303,
2022,42,197173550,
2022,39,193466669,
2022,41,193466670,
2022,41,182426672,
2022,41,182426696,
2022,41,188802702,
2022,3,193468256,
2022,41,181424765,
2022,42,177105427,
2022,42,177105412,
2022,21,179174506,
2022,41,181424781,
2022,21,185278519,
2022,42,179174589,
2022,41,181424853,
2022,38,181424868,
2022,41,182425437,
2022,41,185278272,
2022,42,183960443,
2022,42,187212859,
2022,41,185278511,
2022,41,188801286,
2022,7,187212875,
2022,7,187212876,
2022,31,201328347,
2022,42,187212872,
2022,41,177106408,
2022,41,177106316,
2022,41,177106322,
2022,41,177106331,
2022,41,187212874,
2022,42,187212887,
2022,41,190412807,
2022,41,190412814,
2022,41,187213028,
2022,42,187212798,
2022,42,188801281,
2022,41,188801283,
2022,42,188801285,
2022,41,190412788,
2022,42,190412793,
2022,42,190412712,
2022,42,191825609,
2022,41,199583006,
2022,41,195108600,
2022,42,201328337,
2022,42,197173171,
2022,42,195108398,
2022,42,197173173,
2022,42,197173169,
2022,35,181425744,
2022,41,177106382,
2022,41,185278658,
2022,41,177106386,
2022,41,177106332,
2022,41,179174934,
2022,41,197175043,
2022,41,179174991,
2022,3,197175061,
2022,42,187214352,
2022,42,187214321,
2022,42,188802751,
2022,42,190414497,
2022,41,193468289,
2022,42,197175208,
2022,41,179176324,
2022,38,179176597,
2022,41,181425702,
2022,41,185278667,
2022,31,181425726,
2022,41,185280217,
2022,41,195110443,
2022,41,193469024,
2022,41,197176327,
2022,41,195110282,
2022,41,197175125,
2022,41,182425879,
2022,3,183960646,
2022,41,182425786,
2022,41,185278690,
2022,41,185278701,
2022,41,185278632,
2022,42,197175081,
2022,41,183960707,
2022,3,183960663,
2022,41,183960679,
2022,3,183960685,
2022,41,183960683,
2022,41,183960691,
2022,41,187214426,
2022,42,195109192,
2022,3,190413851,
2022,3,190413852,
2022,41,183960716,
2022,42,183960724,
2022,41,185278672,
2022,41,183960729,
2022,41,183960717,
2022,41,183960721,
2022,41,190415434,
2022,41,185278705,
2022,41,185278720,
2022,41,185278707,
2022,3,185278702,
2022,41,197174821,
2022,41,185278759,
2022,41,185278729,
2022,41,185278742,
2022,41,185278791,
2022,41,187214529,
2022,41,187214479,
2022,41,187214618,
2022,31,187214629,
2022,42,190415442,
2022,41,187214626,
2022,41,188802265,
2022,41,188802382,
2022,38,188802350,
2022,41,188802363,
2022,41,197174963,
2022,41,190413910,
2022,42,190413918,
2022,39,197174988,
2022,41,190414036,
2022,38,191826239,
2022,42,190413977,
2022,42,197175016,
2022,41,191826269,
2022,38,191826243,
2022,42,191826244,
2022,38,191826249,
2022,38,191826253,
2022,41,197175051,
2022,41,197175053,
2022,42,191826238,
2022,42,191826255,
2022,42,193467543,
2022,39,199583872,
2022,42,193467516,
2022,41,197174322,
2022,42,193467575,
2022,41,193467587,
2022,41,195109215,
2022,42,193467541,
2022,41,197174363,
2022,42,195109186,
2022,31,195109194,
2022,38,195109201,
2022,41,197174383,
2022,42,197174356,
2022,42,197174385,
2022,41,197174424,
2022,41,197174425,
2022,42,195109220,
2022,41,197174397,
2022,42,199583886,
2022,42,177107152,
2022,41,179175685,
2022,31,177107221,
2022,42,179175720,
2022,3,181425814,
2022,3,182426564,
2022,42,183961683,
2022,42,177107239,
2022,41,187214239,
2022,41,187214240,
2022,42,177107286,
2022,41,197175192,
2022,41,197175193,
2022,41,177107202,
2022,32,179175756,
