data_year,bias_id,offense_id
2022,88,188801303
2022,99,197173550
2022,88,197173551
2022,88,185278318
2022,88,185278319
2022,88,188801306
2022,99,182425459
2022,88,190412731
2022,88,193466669
2022,88,193466670
2022,88,190412732
2022,99,193466672
2022,88,195108444
2022,88,182426672
2022,88,182426696
2022,88,187214292
2022,88,187214302
2022,88,187214309
2022,88,187214314
2022,88,187214324
2022,88,188802702
2022,88,177106408
2022,88,185280338
2022,88,191826753
2022,88,177106312
2022,88,177106316
2022,88,177106322
2022,88,177106331
2022,88,191826759
2022,88,193468256
2022,88,179174981
2022,88,177106367
2022,88,177106382
2022,88,197175241
2022,88,179174894
2022,88,179174898
2022,88,177106375
2022,88,179174911
2022,88,185278658
2022,88,179174929
2022,88,177106386
2022,88,177106332
2022,88,179174934
2022,88,179174935
2022,88,177105416
2022,88,197175043
2022,88,179174942
2022,88,179174991
2022,88,181424765
2022,88,181425612
2022,88,179174999
2022,88,179175008
2022,88,177105417
2022,88,177105420
2022,88,177105424
2022,88,177105427
2022,88,177105412
2022,88,179174500
2022,88,181425638
2022,88,197175061
2022,88,181425658
2022,88,181425685
2022,88,179175015
2022,88,181424770
2022,88,179174506
2022,88,185278496
2022,88,181424781
2022,88,179174550
2022,88,181424788
2022,88,185278507
2022,99,181424802
2022,88,182425448
2022,88,183960429
2022,88,183960430
2022,88,183960431
2022,88,185278519
2022,88,181424797
2022,88,181424800
2022,88,179174589
2022,88,179176571
2022,88,179176597
2022,88,197173155
2022,88,181424807
2022,88,181424808
2022,88,181424810
2022,88,181424789
2022,88,182425449
2022,88,181424793
2022,88,181424853
2022,88,179175177
2022,88,179175186
2022,88,181425674
2022,88,181425690
2022,88,181425702
2022,88,181425709
2022,88,181425669
2022,88,181425673
2022,88,181425683
2022,88,181425693
2022,88,181425645
2022,88,181424854
2022,88,185278260
2022,88,181424868
2022,88,182425437
2022,88,182425438
2022,88,182425439
2022,88,197173156
2022,88,182425440
2022,88,182425441
2022,88,185278266
2022,88,185278267
2022,88,182425443
2022,88,197173157
2022,88,185278272
2022,88,183960443
2022,88,182425445
2022,88,182425457
2022,88,185278277
2022,88,183960452
2022,88,187212859
2022,88,185278667
2022,88,197173159
2022,88,183960553
2022,88,182425824
2022,88,181425726
2022,88,182425843
2022,88,182425863
2022,88,183960650
2022,88,182425880
2022,88,182425884
2022,88,183960654
2022,88,182425826
2022,88,182425859
2022,88,182425879
2022,88,185278511
2022,88,183960555
2022,88,185278521
2022,88,183960564
2022,88,183960572
2022,88,183960574
2022,88,183960565
2022,88,183960570
2022,88,183960662
2022,88,183960642
2022,88,183960646
2022,88,182425786
2022,88,183960648
2022,88,183960649
2022,88,195108529
2022,88,183960657
2022,88,183960669
2022,88,182425790
2022,88,185278690
2022,88,185278701
